#tail	head
SLC17A3	ATP6V0A2
NFYC	SP1
ADH4	MDH2
ATP6V1F	VDAC2
ALDH1A3	LDHAL6B
ALDH1A3	FASN
ALDH1A3	DPEP1
ADAMTS2	NHLH1
ADAMTS2	ZBTB18
PHKB	PHOSPHO1
MRPS34	HSPD1
ZP2	ADAM30
CD200R1	SFTPC
HIST1H3A	ANAPC1
NKD1	TAL1
PKN1	TFAP2A
RUVBL2	SLC2A1
SP1	SUV39H2
SP1	GANAB
SP1	CATSPER2
SP1	MAN2A2
SP1	JADE2
SP1	BDH1
SP1	HSD17B2
ADH1B	CS
ADAM21	PDF
IFIH1	USP17L22
FOXB1	PDS5A
EPRS	OGA
ITPR2	CD79B
DDX21	DHX9
CRK	ESD
FHL5	DNAL4
LCK	LAX1
PQBP1	POLR2J
BMP10	TMPRSS2
TP53	WDR77
TP53	UBE2L3
TP53	HMG20B
LAMA5	ITGA1
FSHR	APPL2
HAS2	NME1
F2	GNG13
FAU	RPL22
FAU	RPL6
NUP205	HIST1H4E
RPL31	RPS2
CASP8	INS
KEAP1	RPS27A
KEAP1	SMAD7
CTNNA1	KRT8
SEPT7	HNRNPC
MAX	POMT2
MAX	CD79B
HSPE1	MDH2
CFH	TFAP2A
HIST1H1D	OGA
SLC38A1	INS
GJA1	REPIN1
CXCL9	CHRNA7
GOSR1	ANK2
GOSR1	TMEM200A
HSPA8	NUP98
SLC20A1	ATP8B4
AXL	IGKV1D-12
AXL	GNB5
ATAD2	HIST1H3G
ZNF169	STRBP
ZNF169	SOGA1
VCL	NME2
MTHFD1L	ESD
UGT1A5	CYP1A1
OGA	MDH2
OGA	PFAS
PTH2R	GNG13
HIST1H2BI	PALB2
ARHGAP29	CMYA5
HIST1H2BM	POLR2E
HIST1H2BM	PSMC3IP
ZNF764	RPS27A
HNRNPA3	PRPF40A
EIF1AX	RPS27A
NFATC2IP	MOV10
HNRNPL	HIST1H3G
RPL9P7	MCM2
CDH1	RAB1A
COL4A1	BMP3
SLC5A10	ACSL1
LRRK2	MSN
IGHV3-7	IGHA1
MEIS1	INS
RPS16	TUBA1A
HIST1H3G	ZNRD1
SLC27A4	PCNA
MAPKBP1	KRT34
FAH	ABAT
RPS27A	RPL3
RPS27A	COMMD1
MOV10	SRSF11
ABAT	IDH1
LCT	GANC
LCT	ASAH1
DHX9	SF3B2
COG2	INS
SLC30A1	INS
RPS2	SPCS2
KRT8	INS
SLC24A4	ATP6V1E2
CDCA7L	PCNA
RAB1A	STX7
KRT34	CYSRT1
PCNA	CA2
INS	PANX1
