#tail	head
IGKV2D-28	FGF8
HIST1H2AL	HIST1H4H
STT3B	TINF2
RSF1	HIST1H4B
TNFSF10	SOCS3
NFE2L2	CDKN1A
SF3A1	PA2G4
YY1	ARID4A
YY1	GPR162
YY1	SEC23A
YY1	FOXP1
YY1	MAP4K5
IRF4	JAK1
HSPA6	TUBA1A
LGALS7	PDE4DIP
TSR1	MEIS1
TRIP13	PPARA
PPARA	SNCB
PPARA	MAFB
PPARA	TMEM128
PPARA	LITAF
PPARA	VPS72
DCTN1	ATF3
USP54	TFAP4
PPP1R3D	MEIS1
PXN	RPL28
SLC25A22	TUBA1A
MYO18A	SMAD2
IGKV4-1	PIK3CG
IGKV4-1	PRKCE
PGGT1B	TSKS
KMT5A	HIST1H4L
KRT17	SLC39A14
PRKAA2	CTBP2
PNMA1	SDCBP
DDX21	RPL7
NEDD9	ITCH
LACC1	LMNA
DSP	DSG4
XPO1	PARP12
XPO1	NUFIP1
AKT1	JAK1
ZNF440	LMNA
HIST1H2BG	JUN
HIST1H2BG	CBX4
SLC30A2	CASP3
SRP19	PTBP3
ZKSCAN3	MDM4
MRPL22	ESR2
ITCH	TRIM25
CAPZA2	AKAP2
MTA1	HIST1H4B
MLF2	ESR2
RBBP5	CPSF2
MAP2	IGF2BP3
AJUBA	TFAP4
UBE2U	TRIM36
LDHC	CRYL1
MRPS28	INS
HIST1H2AC	JUN
PITPNM2	PLA2G4D
PLD4	INPP5A
GRIN2D	SLC3A2
REL	TRIM74
GATAD2B	HIST1H4E
GSPT1	ESR2
ESR2	MTERF3
ESR2	UNKL
ESR2	NFIL3
ESR2	FHL1
ESR2	PLA2G4D
FCAMR	IGLV2-14
N4BP1	JUN
EIF4EBP1	OGA
KIF1C	GIGYF1
ZMAT2	HIST1H2BE
ETV7	MEIS1
KMT2A	HIST1H2BL
CARD10	INS
NCOR2	HIST1H2BL
EIF4A2	HIST1H2BE
HSPA1A	RPS6KB2
HSPA1A	LMNA
HSPA1A	YWHAB
LMNA	REC8
JAK1	LIF
RTN2	INS
IGHV3-7	INPP5A
MEIS1	RARB
CUL4B	INS
HMG20B	HIST1H4L
SOCS3	GFRA1
EGFL7	PIGT
HIST1H2BA	SUDS3
MBTD1	HIST1H4B
GGPS1	MVD
KBTBD8	UBE2J2
HIRIP3	HIST1H2BE
DNAJB6	TUBA1A
HIST1H3E	HIST1H4F
HIST1H4C	KDM6B
RPL7	RPL12
AAR2	SF3B3
ETS2	NOTCH4
ETS2	PEG10
MRPL50	INS
FGF8	ANOS1
EGR4	PLEKHG2
MBNL2	JUN
WASF2	FGF5
HIST3H2BB	HIST1H4B
JAGN1	SACM1L
FYN	FGF5
FRG1	JUN
JUN	NFATC2
GRB2	CAD
