#tail	head
NFYC	PDGFRB
TRIM54	SMARCE1
KIF7	APP
XPO6	INS
HPDL	SUCLA2
HSP90AA1	VARS
HSP90AA1	BLNK
HSP90AA1	FCGR2A
SLC19A1	IFNG
CENPI	APP
NFE2L2	FOXO4
HOXA1	ZNF837
AMPH	CALM1
ATP2C1	PYGB
CAMK2G	STAT5B
SLC30A4	PRLR
CD4	GRAP2
NDUFS6	NDUFS5
RBCK1	SYCE1
PPIA	E2F1
NOTCH2NLA	SREBF1
NOTCH2NLA	ZNF330
CACNA1D	POU1F1
COPA	COPG2
ITPKA	LYN
ELMO1	STAT5B
FOXO4	XRN1
FOXO4	CACNG2
FOXO4	PRKAG2
FOXO4	LIN37
FOXO4	IL6ST
GNGT1	IGLV1-47
GNGT1	FFAR3
GNGT1	CXCR1
SLC27A2	CYP4F11
SLC27A2	LEFTY1
UBE2H	AREL1
UBE2H	EFTUD2
AANAT	SUCLA2
IGKV1D-16	GNG13
NGFR	APP
POLD1	INS
ATP6V0A1	JUN
BECN1	PRKAG3
XRCC1	INS
HMGCS2	ACSM1
IFNG	IFNAR1
IFNG	MAP3K1
IFNG	MID1
RPIA	SLC24A2
BAX	GTF2B
C4A	IGHV3-33
MIF4GD	PSMC1
BORCS6	CEP135
MYL10	TRPM3
AIFM1	JUN
TRAF2	PSMC1
JAK3	STAT5A
RTN4	JUN
CACNG8	PYGB
STAT5B	CSNK1G2
DDX20	DHX9
PTPN11	SOCS1
PRR20C	JUN
CFI	SLC39A1
PRPS2	ACSL1
DVL3	PPP2R5D
DVL3	CCDC88A
DVL3	IRAK1
SRRM2	LSM2
DPPA4	BTBD2
IGKV5-2	IGKC
CS	ACO1
ATL1	TMED9
SLC24A2	FXYD3
SLC24A2	P2RX7
ATG101	PRKAG3
DYNLRB1	TGFB3
G6PD	HSCB
CASP6	CALM1
STAT5A	SLC9A1
STAT5A	CREBBP
SUCLA2	PCK2
CDC25A	INS
KAT7	ABAT
FGR	S1PR1
E2F3	TFAP2C
CALM1	ZBTB24
NT5C1B	JUN
EDA	APP
AK1	GNAZ
CNOT1	JUN
BIN1	INS
KRTAP13-1	TBC1D10C
EFNB3	TFAP2C
PCM1	CAMSAP2
EDNRB	APP
GNAI1	PTK2
BANP	JUN
WDYHV1	TRIM5
CD164	HSCB
ALDH1L2	ACSM1
LDHA	MDH2
GATA1	SRA1
PPP2R5C	INS
DHX9	TUFM
CCDC136	INS
FASN	ACO1
PRDM6	AGXT
LYN	YES1
NPM1	CENPH
NPM1	HIST1H2BL
LPAR4	GNG13
PGM1	PYGB
GALK1	PYCR2
TAS2R39	GNG13
