#tail	head
FGF1	RCOR1
CLNS1A	NFE4
DLG1	SCN9A
DLG1	SLC38A1
DLG1	ARHGEF16
SPRTN	UBB
SEC11A	SEC61A2
LAMB1	FGFR1OP
CTTN	SDC4
ALCAM	RNF4
FGF19	IRAK4
ZNF580	SH3GL2
MED16	MYC
SH3KBP1	AP2S1
COTL1	ACTG1
AURKA	SEC24C
KRT15	KRT6C
BRMS1	NMI
SRP54	XPO1
APOH	GRB2
ADH1B	FMO5
HLA-G	ONECUT1
POLD2	ERCC3
SEC24C	PPP2R1A
SEC24C	NOTCH2
CXCL14	MYC
EPOR	BCR
EPOR	IL18
IGF2BP2	SGF29
ACACA	RPS6KA1
KRT38	ANKRD36BP1
XPO1	FBXL4
WASF1	IGLC6
MYC	TGFB1
MYC	HMG20A
MYC	EGF
MYC	RPL22
MYC	PDCD11
MYC	LTBR
ARFGEF1	VCL
SH3GL2	RPS6KA1
GCLM	RAB1A
UBC	ADAM10
PSMB2	PSMB11
ADAM10	DLL3
KLC1	RAB1A
KLC1	TMED7
PCF11	TAF1
EEFSEC	RPL13A
SPINDOC	ARRB2
RNF25	IVL
LRP2	UBB
LRP2	PIP4K2B
PIP4K2A	TIRAP
TTC3	NR3C1
BCHE	PTDSS1
DCAF7	PFDN5
DCAF7	SOWAHA
CCND1	POU2F1
COPZ1	STX5
CDH17	ACTG1
DOCK5	ANKRD54
AJUBA	GRB2
TAF1	TMEM248
TAF1	RAB18
TSC22D4	ZIC2
HIF1A	ZBTB47
HIF1A	GPNMB
RPS21	VCL
EPHA2	ATF3
C20orf85	OIP5
SRRM2	RPS19
GTF2A1	INTS10
COL7A1	RAB1A
PKP3	GTSE1
PSMB4	SPG21
KRT37	KRT72
CSNK2A3	ARRB2
TLR4	TIRAP
ARPC1A	RAB5A
CSNK1G2	SFN
CASK	SDC3
AHR	ZIC2
DLD	GRB2
SEC23A	DPP4
SEC23A	TUFM
MYCBP	NR3C1
SMG8	RPL13A
ACTR2	NAPA
DUT	GRB2
CRBN	RPS27A
HDAC1	HIST1H4E
CDH1	EIF2A
ZNF532	RNF4
LMNA	ACTG1
POLR3D	SMAD2
KIF4B	SEC22B
RPS27A	DLL1
UBE3A	UBB
BST2	SGF29
CBX4	RNF4
SPTBN4	GRB2
CKB	NAPA
PSMD7	PPP2R1A
COPS2	FBXW7
RAB6A	RAB5A
STX5	TGOLN2
NISCH	GRB2
LAMB3	LIMS1
UBB	TRIP10
PSMC3	BASP1
HLA-B	LILRA4
GGA2	RAB5A
