#tail	head
LCE3C	KRTAP3-2
RORC	MED1
RORC	NR1D2
TFCP2	PITX2
TFCP2	PAX5
TFCP2	CAMKV
CAMKV	APP
CAMKV	PNN
CAMKV	MAZ
KCNH3	FXYD6
KCNH3	ZEB1
KCNH3	MAZ
NPR2	ABCB1
NPR2	ESR1
NPR2	MOV10
CYP2B6	ABCB1
CYP2B6	PLA2G1B
CYP2B6	ESR1
KCNJ16	FXYD6
KCNJ16	GABBR1
KCNJ16	APP
MOV10	MAZ
MOV10	ZEB1
MOV10	SMN1
MOV10	APP
PLA2G1B	GABBR1
RORB	MED1
RORB	MAZ
RORB	PITX2
ZEB1	APP
ZEB1	C6orf62
ZEB1	MAZ
ZEB1	PITX2
ZEB1	POMZP3
MED1	ABCB1
MED1	ESR1
PAX5	SMN1
KRTAP3-2	NR1D2
APP	PITX2
APP	ABCB1
APP	FGFR1
PITX2	C6orf62
PITX2	MAZ
ESR1	MAZ
ESR1	FGFR1
ESR1	HNRNPA3
ESR1	ABCB1
HNRNPA3	PNN
HNRNPA3	MAZ
FXYD6	MAZ
FXYD6	GABBR1
FGFR1	MAZ
SMN1	ABCB1
SMN1	PNN
ABCB1	MAZ
