#tail	head
ITGAV	ACTB
KNTC1	PDS5B
SLC22A5	SLC27A4
GTF2H5	ELOA3D
AP1B1	SRRM2
LRRC6	NOG
C1QBP	CTNNB1
BMP4	HNRNPM
CACNA2D2	MYL12B
RPL23A	AAR2
CTNND1	STX4
UGGT2	TCTN1
AAAS	HSPA12A
SEH1L	ARPC1A
SEH1L	SSR1
RAB8A	TUBA4A
EXTL3	GLCE
HIST1H3F	TCF7
HIST1H3F	PPM1D
HIST1H3F	ESCO1
SSR1	ILF3
SSR1	NOG
COL4A3	ILK
GALC	CHSY1
NKX2-1	NUP107
MRPL4	MRPS30
NEK4	HIST1H2AH
EIF2AK1	MDM2
KRTAP3-1	KRTAP13-2
XYLT1	JUN
ORC2	HSPA1B
RPS5	CTNNB1
RBBP8	MDM2
NCL	CASP8
SLK	ATF3
GRIK4	CNGA1
RLF	CFB
LAPTM4A	FFAR2
RPN1	MYL12B
RPN1	SEC23B
TIMM44	RBM27
EZR	FASLG
CNTNAP3B	CCL22
GABPB1	TFCP2
H3F3A	TP53
TP53	SLC39A1
TP53	SHC1
MMP13	TGFB3
NUP107	NEK7
TRMT2A	JUN
CEBPA	ADAMTS5
VAMP3	GAPVD1
ITCH	PSME2
ACTB	IVNS1ABP
LRMP	ETS2
IKZF5	RBM27
CANX	CD1E
DCAF7	YWHAZ
ROCK1	HSPA1B
RAD51D	NFKBID
RBM4B	HNRNPM
ZZZ3	PCBD2
C19orf70	APOO
C19orf70	TMEM11
MRPS31	JUN
SORT1	AP1S3
MATR3	HNRNPH1
SRRM2	PDLIM1
SRRM2	AIMP2
CENPA	SRRT
RNF43	DVL2
MARK4	ETS2
DUSP14	NOG
SRRT	SPEN
SRRT	GTF2I
SRRT	PGD
NOG	TAP1
NOG	FZD5
NOG	AARS
NOG	PTX3
NOG	TNFRSF10B
NEU4	GAL3ST1
ARRB1	HNRNPH1
NELFCD	ELOA3D
PAK1	KIF2C
SUMO1	MDM2
ZWILCH	ATF3
AP1S3	AP3B1
TCF4	DMRT3
CDH1	TJP1
ILK	IPO7
TNIP2	LDHA
HSPA9	TUFM
NIPSNAP1	GABARAP
FMO2	BEND3
CARTPT	SHBG
DVL2	GNA15
DVL2	RSPO3
MDM2	TFCP2
PAF1	JUN
PCDHB11	ATP2A3
PCDHB11	BCL2L11
ZNF24	RBM48
HNRNPM	HNRNPU
DCN	ITGA1
DHX8	CTNNB1
NFYB	FASN
TPR	NUP88
AK7	NUDT10
KRTAP13-2	KRTAP15-1
CDH5	JUN
FASN	FOXL1
CD2BP2	HNRNPH1
