O95644|Q12968|Q13469	P16298|P48454|P63098|Q08209|Q96LZ3
O00548|Q9NR61|Q9NYJ7	Q9UM47
P01579	P15260|P38484
O00221|P25963|Q15653	O14920|O15111|Q9Y6K9
O00221|P25963|Q15653	P19838|Q04206
P15260|P38484	P42224
P01730	P06239
P19838|Q04206	Q9UM47
P01589|P14784|P31785	P23458|P52333
P42226	gene
P29459|P29460	P42701|Q99665
P23771	Q9UL17
P01100	P27361|P28482
P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	P20963
O60674|P23458	P15260|P38484
P42701|Q99665	Q14765
P23458|P52333	gene
Q13761	gene
P05112	P24394
gene	gene
P01589|P14784|P31785	P60568
O43561	gene
P29597	P42701|Q99665
O60674	P42701|Q99665
P01589|P14784|P31785	P42229|P51692
O43561	P19174
P20963	P43403
P46531|Q04721	P78504|Q9Y219
O14920|O15111|Q9Y6K9	Q04759
P05412	P45983|P45984|P53779
O15264|P53778|Q15759|Q16539	P05412
