P01308	P06213
Q14790	Q96J02
O75460	P17861
P25445	P48023
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	Q86V24|Q96A54
P05231	P08887
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P48357
P60953	Q16584
O14920	Q12933
P41159	P48357
Q99683	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P35568|Q9Y4H2
P55957	P99999
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
P19438	P19838|Q04206
gene	gene
P01375	P45983|P45984|P53779
O14543	P35568|Q9Y4H2
P19838|Q04206	gene
P18848	P35638
P35568|Q9Y4H2	gene
P05198	Q9NZJ5
Q15848	Q86V24|Q96A54
P01375	P19438
P42574	gene
P19793	Q07869
P19793	Q13133
P05412	P45983
P45983|P45984|P53779	Q99683
P31749|P31751|Q9Y243	P49840|P49841
P45983|P45984|P53779	gene
O43521	Q07812
P55210	gene
