P00533	P01133
O00329|O00459|P27986|P42336|P42338|Q92569	P01116
P62993	Q07889|Q07890
P01111|P01112|P01116	Q07889|Q07890
P23443|Q9UBS0	P42345
P31749|P31751|Q9Y243	P55211
P01100	P27361|P28482
O00329|O00459|P27986|P42336|P42338|Q92569	P00533
O43521	P10415
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
P01116	P04049|P10398|P15056
P31749|P31751|Q9Y243	P42345
P05412	P27361|P28482
P01111|P01112|P01116	P04049|P10398|P15056
P31749|P31751|Q9Y243	Q92934
P15153|P60763|P61586|P63000	P45983|P45984|P53779
P62993	gene
P31749|P31751|Q9Y243	P49841
P04049|P10398|P15056	P36507|Q02750
P11233|P11234	gene
P01116	Q12967
P42574	P43146
P27361|P28482	P36507|Q02750
P01106	P27361|P28482
P84022|Q15796	Q13485
P35222	P36402|Q9HCS4|Q9NQB0|Q9UJU2
P11233|P11234	P15153|P60763|P61586|P63000
