Q1HG44	Q9NRD8|Q9NRD9
P01266	P07306|P07307
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	O95467|P63092
P05129|P05771|P17252	Q06710
P01266	P98164
O95467|P63092	gene
P05129|P05771|P17252	Q9UNY4
O43889|P15336|P16220|P18848|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8|Q99941	P17612|P22612|P22694
O43889|P15336|P16220|P18848|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8|Q99941	P05129|P05771|P17252
P05129|P05771|P17252	Q15361
P17612|P22612|P22694	Q06710
P17612|P22612|P22694	Q9UNY4
P16473	P50148
P17612|P22612|P22694	Q15361
Q00722|Q01970|Q15147|Q9NQ66	gene
