O43353	Q9Y239
O00329|O00443|O00750|O75747|P42336|P42338|P48736	Q8WV41|Q96RF0|Q9Y5X1
P04406	Q12933|Q13546|Q15628
O75914|Q13153	P60953
Q8IZP0|Q8WUW1|Q9UPY6	gene
P42574	Q14790
gene	gene
P07355|P60903	Q09666|Q8IVF2
P49662|P51878	P57764
P01100|P05412	P27361|P28482
P51617|Q9NWZ3	Q9Y4K3
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	Q8IZP0|Q8WUW1|Q9UPY6
O60603|Q9Y2C9	P58753|Q99836
Q13075	Q9NPP4
P10301	P31749|P31751|Q9Y243
P51149|Q96AH8	Q96NA2
O14920|O15111|Q9Y6K9	P25963
P29466|Q9ULZ3	P31749|P31751|Q9Y243
P51617|Q9NWZ3	P58753|Q99836
O14733|P45985	P45983|P45984|P53779
P29466|Q9ULZ3	gene
O00220|O14763	P50591
O15264|P53778|Q15759|Q16539	P46734|P52564
Q8NB16	Q9Y572
P36507|Q02750	gene
Q14116	gene
Q07812|Q16611	gene
O14950|P10916|P19105|P24844|Q01449|Q02045|Q96A32|Q9BUA6	O75116
P84095	Q96DR7
P51151|Q9NP90	Q8IWE5
P99999	Q07812|Q16611
O75116	P61586
O00206|Q9Y6Y9	P58753|Q99836
O60602	Q99836
P01584	gene
P46734|P52564	group
P19838|Q04206	P25963
O75369|P21333|Q14315	P60709|P63261
O00329|O00443|O00750|O75747|P42336|P42338|P48736	O43739|Q15438|Q99418|Q9UIA0
O00471|Q96A65|Q96KP1	P11233
O00220|O14763	Q13158
P07737|P35080|P60673|Q8NHR9	P60709|P63261
P01100|P05412	P45983|P45984|P53779
P27361|P28482	P46734|P52564
P62330	P84077
O00505|O00629|P52294	P55060
O15264|P53778|Q15759|Q16539	P01100|P05412
O14576|O43237|P51808|P63167|P63172|Q13409|Q14204|Q8NCM8|Q8TCX1|Q8TF09|Q96FJ2|Q9NP97|Q9Y6G9	Q96NA2
O00401	Q8WV41|Q96RF0|Q9Y5X1
P51151|Q9NP90	Q8IWJ2
P20645	P51151|Q9NP90
Q9Y613	gene
O75914|Q13153	Q9UM54
O14920|O15111|Q9Y6K9	P23396
O00206|Q9Y6Y9	P08571
Q07866|Q6P597|Q9H0B6|Q9NSK0	Q8IWE5
P84095	Q92556|Q96JJ3
P29466|Q9ULZ3	Q96P20
O43318	Q9Y4K3
O00505|O00629|P52294	P19838|Q04206
P01375	P19438
P51617|Q9NWZ3	gene
P29466	P57764
O43739|Q15438|Q99418|Q9UIA0	P62330
P27361|P28482	P36507|Q02750
P50570	Q8WV41|Q96RF0|Q9Y5X1
P31749|P31751|Q9Y243	P62745|Q15669
O43318	Q12933|Q13546|Q15628
P35222	P36402|Q9HCS4|Q9NQB0|Q9UJU2
P25963	P63208|Q8NEZ5
P55210	gene
O00329|O00443|O00750|O75747|P42336|P42338|P48736	Q9UM54
P29466	P63000
Q12933|Q13546|Q15628	Q9Y572
O14920|O15111|Q9Y6K9	group
Q12933|Q13546|Q15628	Q13158
P63000	Q8IZP0|Q8WUW1|Q9UPY6
P19838|Q04206	P23396
P19838|Q04206	Q16512
O00471|Q96KP1|Q9UPT5	Q96A65
P01112	P04049
P19838|Q04206	gene
P20339|P51148|P61020	Q8NEB9
P51149|Q96AH8	Q9BQS8
Q12933|Q13546|Q15628	gene
P29466	P29466|Q9ULZ3
O75914|Q13153	P63000
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	P60709|P63261
O60499	Q8IWJ2
O14733|P45985	group
P10415	Q9Y4K3
Q99836	Q9NR96
