O14543	O14654|P35568|Q9Y4H2
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	gene
O00763	P50416|Q8TCG5|Q92523
P20333	Q12933
Q15628	gene
Q15848	Q86V24|Q96A54
O14654|P35568|Q9Y4H2	O14920|O15111|Q9Y6K9
O00253	O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478
P01189	P40763
P41159	P48357
O00763	O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478
gene	gene
P20333	gene
P01375	P19438
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P35558|Q16822
O00221|P25963|Q15653	P19838|Q04206
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P01303
O60674	Q06124
O14920|O15111|Q9Y6K9	Q04759
O14654|P35568|Q9Y4H2	P45983|P45984|P53779
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	Q15831|Q96RR4
P45983|P45984|P53779	Q04759
Q15831|Q96RR4	gene
P40763	gene
Q07869	gene
Q15831|Q96RR4	Q86V24|Q96A54
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P11166|P14672
O14654|P35568|Q9Y4H2	P42345
Q07869	Q86V24|Q96A54
O00221|P25963|Q15653	O14920|O15111|Q9Y6K9
P42345	gene
O14920|O15111|Q9Y6K9	gene
O60488|O95573|P33121|Q5FVE4|Q96GR2|Q9UKU0|Q9ULC5	P50416|Q8TCG5|Q92523
P45983|P45984|P53779	gene
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P35575|Q9BUM1|Q9NQR9
