P19174	Q13094
P01730|P01732|P10966	P06239
O95644|Q12968|Q13469	P16298|P48454|P63098|Q08209|Q96LZ3
O95267	Q07889|Q07890
O95644|Q12968|Q13469	P49841
O00221|P25963|Q15653	O14920
O00221|P25963|Q15653	P19838|Q04206
P62993	Q07889|Q07890
O43639|P16333	O75914|O96013|Q13153|Q13177|Q9NQU5|Q9P286
O43318	Q04759
O43639|P16333	gene
O14733	P45983|P45984|P53779
P06241	P08575
O95999	gene
O15264|P53778|Q15759|Q16539	Q12959
O43561	O75791
P42680|Q08881	gene
O95267	P01111|P01112|P01116
P01100|P05412	P01111|P01112|P01116
P15498|P52735|Q9UKW4	gene
P15498|P52735|Q9UKW4	P60953|P61586
O15264|P53778|Q15759|Q16539	O95644|Q12968|Q13469
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
O15264|P53778|Q15759|Q16539	gene
gene	gene
O95999|Q9BXL7|Q9UDY8	Q9Y6K9
P31749|P31751|Q9Y243	P41279
P01100|P05412	P27361|P28482
O95267	gene
P41279	Q99558
O14920|O15111|Q9Y6K9	gene
P06241	gene
P15498|P52735|Q9UKW4	P42680|Q08881
O75791	gene
P62993	gene
Q9BXL7	gene
P06239	Q13191
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P10747	P62993
P31749|P31751|Q9Y243	P49841
P04049	P36507|Q02750
P29965	Q9Y6W8
P20963	P43403
P01111|P01112|P01116	P04049
P27361|P28482	P36507|Q02750
Q04759	gene
P16410	gene
O15530	P31749|P31751|Q9Y243
P01100|P05412	P45983|P45984|P53779
P29350	Q15116
O14920	gene
Q12959	gene
