O95644|Q12968|Q13469	P16298|P48454|P63098|Q08209|Q96LZ3
O00221|P25963|Q15653	O14920|O15111|Q9Y6K9
Q96PD4	group
O15264|P53778|Q15759|Q16539	P14778|Q9NPH3
P01100	P27361|P28482
P14778|Q9NPH3	P42345
P51449	gene
Q9GZX6	group
P01584	P14778|Q9NPH3
P01137	P36897|P37173
P35869	Q16552
P08887|P40189	P40763
Q01196	Q9UL17
Q9HBE4	group
O43561	P27361|P28482
O43561	gene
P01589|P14784|P31785	P42229|P51692
P40763	P42701|Q5VWK5
P29597|Q6UWB1	Q8TAD2
O43561	P19174
Q01196	Q9BZS1
P01730	gene
P36897|P37173	P84022|Q13485|Q15796
P31785|Q9HBE5	P40763
O15264|P53778|Q15759|Q16539	O43561
P24394|P31785	P42226
O60674|P29597	Q9NPF7
P04234|P07766|P09693|P20963	gene
P42224	Q6UWB1
P06239	P43403
O43561	P45983|P45984|P53779
P05412	P45983|P45984|P53779
O15264|P53778|Q15759|Q16539	P05412
