O95644	P16298|P48454|P63098|Q08209|Q96LZ3
Q13094|Q8WV28	gene
P16220	Q16566
O14920	P25963
O43318	Q12933|Q9Y4K3
P01579	P15260|P38484
P15260|P38484	P42224
P42224|P52630	gene
P01583|P01584	P14778
Q13501	Q9NQC7
P01574	P17181|P48551
O14733	P45983|P45984|P53779
P17181|P48551	P23458|P29597
P43405	Q13094|Q8WV28
P42224	Q12933|Q9Y4K3
O14543|O15524	P23458|P29597
Q12933|Q9Y4K3	gene
O43914	Q9Y6Q6
P42680|Q06187	Q13094|Q8WV28
P01100|P05412|P15407|P15408|P17275|P17535|P53539	P45983|P45984|P53779
P23458|P29597	P42224|P52630
O00329|O00459|P27986|P42336|P42338|Q92569	P31749|P31751|Q9Y243
O15111	Q99558
gene	gene
P16298|P48454|P63098|Q08209|Q96LZ3	gene
O43318	Q02750
P63000	Q12933|Q9Y4K3
P14778	Q12933|Q9Y4K3
O15111	Q00653|Q01201
O15264|P53778|Q15759|Q16539	P01100|P05412|P15407|P15408|P17275|P17535|P53539
P16885	P42680|Q06187
P62993	gene
P19438	Q12933|Q9Y4K3
P42680|Q06187	gene
P52564	gene
O00329|O00459|P27986|P42336|P42338|Q92569	gene
Q12933|Q9Y4K3	Q14192
P19838|Q04206	P25963
O14733	gene
P01375	P19438
O15264|P53778|Q15759|Q16539	P52564
O75015|P08637|P12314|P12318|P31994|P31995	gene
P01100	Q00978
P01137|P61812	P36897|P37173
P27361|P28482	P62993
O00300	O14788
Q12933|Q9Y4K3	Q9UQC2
P13498|P14598|P19878|Q15080|Q9Y5S8	P63000
P07333	P09603
P16885	Q9UQC2
P06239|P06241	Q12933|Q9Y4K3
O00329|O00459|P27986|P42336|P42338|Q92569	P06239|P06241
O43914	P43405
O14920	gene
