P05556|P08648	Q13418
P49023	P60709|P63261
A1A4S6	P60709|P63261
P46108|P46109	Q14185
P18206	P60709|P63261
P12931	Q05397
P84095	Q96DR7
P63000	Q92558|Q9Y6W5
P56945	gene
P60709|P63261	P61586
P14317|Q14247	P50570|Q05193|Q9UQ16
P63000	Q14185
P14317|Q14247	gene
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P60953
P12830	P35222
P49023	P56945
O00329|O00459|P27986|P42336|P42338|Q92569	gene
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	Q92558|Q9Y6W5
P02751	P05556|P08648
Q14185	Q92556|Q96BJ8|Q96JJ3
P08581	Q13480
Q92556|Q96BJ8|Q96JJ3	gene
O15143|O15144|O15145|O15511|P59998|Q92747|Q9BPX5	P60709|P63261
O00401	P60953
P46108|P46109	gene
