P00533	P01133
P55957	Q16611
P05198	P19525|Q9BQI3|Q9NZJ5|Q9P2K8
P62993	Q07889|Q07890
P01111|P01112|P01116	Q07889|Q07890
O00716|Q01094|Q14209	P06400
Q13158	Q15628
P25445	P48023
O95786	Q7Z434
Q13546|Q9Y4K3	gene
P17181|P48551	P23458|P29597
P42574	P55211
O14543	P42224|P52630
P09914|Q5T764	P60228
P09914|Q5T764	P19525|Q9BQI3|Q9NZJ5|Q9P2K8
O14920|O15111|Q9Y6K9	P19525|Q9BQI3|Q9NZJ5|Q9P2K8
P23458|P29597	P42224|P52630
O15519	Q14790
gene	gene
Q13114	Q8IUC6
Q14164|Q9UHD2	Q14653|Q92985
P01111|P01112|P01116	P04049|P10398|P15056
P31749|P31751|Q9Y243	Q92934
Q14790	gene
P62993	gene
P99999	Q07812
O14727	gene
P42224|P52630	Q00978
O14920|O15111|Q9Y6K9	P25963
Q12933	gene
P19793|Q13133	P61289
P19838|Q04206	P25963
O75925	P42224|P52630
P01375	P19438
P04049|P10398|P15056	P36507|Q02750
P11802|P24941|Q00534	P38936
Q14164|Q9UHD2	gene
P27361|P28482	P36507|Q02750
P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P01574|P05013|P05014|P05015|P32881	P17181|P48551
O14920|O15111|Q9Y6K9	Q12933
P06400	P11802|P24941|Q00534
P35222	P49841
P31749|P31751|Q9Y243	P38936
P30153|P30154|P62714|P63151|P67775|Q00005|Q66LE6|Q9Y2T4	P42224|P52630
P04049|P10398|P15056	P27348|P31946|P61981|P62258|P63104|Q04917
O14920|O15111|Q9Y6K9	Q7Z434
