P38936	Q99683
P04637	Q13315
P55957	gene
P31749|P31751|Q9Y243	P55211
Q07812	gene
P10415	Q96PG8|Q9BXH1
O15392|P98170|Q13489|Q13490	P55211
Q07817	Q92934
P10415	gene
Q13315	gene
P04637	gene
P27361|P28482	Q92934
P10415	Q07812
O00329|O00459|P27986|P42336|P42338|Q92569	O15530
P25445	Q13158
P42574	Q14790
O14727|P99999	P55211
Q16611	gene
O15392|P98170|Q13489|Q13490	P31749|P31751|Q9Y243
P42771	Q00987
P31749|P31751|Q9Y243	Q92934
Q14790	gene
P31749|P31751|Q9Y243	P38936
O14727	P99999
O00329|O00459|P27986|P42336|P42338|Q92569	P04626
O15530	P31749|P31751|Q9Y243
P04626	P27361|P28482
