P00533	P01133
O95644|Q12968|Q13469	P16298|P48454|P63098|Q08209|Q96LZ3
P19784|P67870|P68400|Q8NEV1	P60484
P01579	P15260|P38484
P01100|P05412	P05412
O00221|P25963|Q15653	O14920|O15111|Q9Y6K9
O00221|P25963|Q15653	P19838|Q04206
O00329|O00459|P27986|P42336|P42338|Q92569	P29350|Q06124
P23443|Q9UBS0	P42345
Q15116	Q9NZQ7
P01111|P01112|P01116	P15260|P38484
P46734	Q99759
O00329|O00459|P27986|P42336|P42338|Q92569	P15260|P38484
O14920|O15111|Q9Y6K9	P31749|P31751|Q9Y243
O60674|P23458	P15260|P38484
P05412	P31749|P31751|Q9Y243
O60674|P23458	P40763|P42224
O95267	P01111|P01112|P01116
O00206|O60603|Q9NR96	P58753|Q99836
O15264|P53778|Q15759|Q16539	gene
O00206|O60603|Q9NR96	Q86XR7|Q8IUC6
P01100|P05412	P27361|P28482
P31749|P31751|Q9Y243	P42345
O43561	gene
P10747	Q04759
P19838|Q04206	gene
P29350|Q06124	Q15116
O43561	P19174
O14920|O15111|Q9Y6K9	Q86XR7|Q8IUC6
P52564	gene
P58753|Q99836	Q9Y4K3
P01730	gene
P01111|P01112|P01116	gene
O00329|O00459|P27986|P42336|P42338|Q92569	gene
P29350|Q06124	Q04759
O00329|O00459|P27986|P42336|P42338|Q92569	P10747
P04049	P36507|Q02750
O00329|O00459|P27986|P42336|P42338|Q92569	P20963
O15264|P53778|Q15759|Q16539	P52564
O00329|O00459|P27986|P42336|P42338|Q92569	Q9HC35|Q9UM73
P01111|P01112|P01116	Q9HC35|Q9UM73
P01111|P01112|P01116	P04049
P27361|P28482	P36507|Q02750
P19784|P67870|P68400|Q8NEV1	P29350|Q06124
P27361|P28482	P29350|Q06124
P06239	P43403
P36507|Q02750	Q9Y4K3
O95644|Q12968|Q13469	P27361|P28482
