P01308	P06213
P05019	P08069
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P31749|P31751|Q9Y243
O00329|O00459|P27986|P42336|P42338|Q92569	O14654|P35568|Q9Y4H2
O43524	Q96EB6
P01308|P05019	P08069
P31749|P31751|Q9Y243	P42345|Q8N122
P42345|Q8N122	Q13542
P23443|Q9UBS0	Q9Y261
O43524|Q12778	Q96EB6
O43524	P31749|P31751|Q9Y243
P23443|Q9UBS0	P42345|Q8N122|Q96B36
P06213	P35568
O43524|Q12778	P31749|P31751|Q9Y243
P08069	P35568
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P42345|Q8N122|Q96B36
O14654|P35568|Q9Y4H2	gene
O00329|O00459|P27986|P42336|P42338|Q92569	P01111|P01112|P01116
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	P31749|P31751|Q9Y243
O00329|P42336|P42338	gene
P01111|P01112|P01116	P08069
O00329|O00459|P27986|P42336|P42338|Q92569	gene
Q13547|Q92769	Q96EB6
P31749|P31751|Q9Y243	P42345|Q8N122|Q96B36
O43524|Q12778	P17612|P22612|P22694
P23443|Q9UBS0	P42345|Q8N122
O43741|P54619|P54646|Q13131|Q9UGI9|Q9UGJ0|Q9Y478	P42345|Q8N122
