Q14571|Q14573|Q14643	Q86YW0
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	Q13554|Q13555|Q13557|Q9UQM7
P51812|Q15349|Q15418|Q9UK32	Q99640
P08069	P17612|P22612|P22694
P27361|P28482	P51812|Q15349|Q15418|Q9UK32
Q12834	Q4G163
P14635	Q12834
O95067|P06493	Q9H2G2
O95067|P06493	Q17RY0|Q7Z5Q1|Q8NE35|Q9BZB8
O43683	Q5FBB7
P10275	P17612|P22612|P22694
P27361|P28482	gene
P30260|Q13042|Q8NHZ8|Q9BS18|Q9H1A4|Q9NYG5|Q9UJX2|Q9UJX3|Q9UJX4|Q9UJX5|Q9UJX6|Q9UM13	Q13257|Q9UI95|Q9Y6D9
P00540	Q02750
O95072	Q14674
Q12834	Q9UKT4
Q99640	gene
O95997|Q9NZH5	Q14674
O95067	Q12834
P53350	Q9H2G2
P30307	Q13554|Q13555|Q13557|Q9UQM7
O95997|Q9NZH5	Q12834
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	Q14571|Q14573|Q14643
Q13257|Q9UI95|Q9Y6D9	gene
P01308	P08069
P27348|P31946|P61981|P62258|P63104|Q04917	P30307
P06401	P17612|P22612|P22694
P53350	Q17RY0|Q7Z5Q1|Q8NE35|Q9BZB8
P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	P16298|P48454|P63098|Q08209|Q96LZ3
O14965	Q17RY0|Q7Z5Q1|Q8NE35|Q9BZB8
P06493	P30307
P24941	P30260|Q13042|Q8NHZ8|Q9BS18|Q9H1A4|Q9NYG5|Q9UJX2|Q9UJX3|Q9UJX4|Q9UJX5|Q9UJX6|Q9UM13
P06493|P14635	Q4G163
O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	P17612|P22612|P22694
