#tail	head
CES4A	ASPA
CHRNA6	ANXA2
CHRNA6	TPM2
CHRNA6	CLCA4
CHRNA6	TNNT1
PISD	AGXT
ALDH6A1	PLB1
TOB1	CEBPA
GNAQ	PRKCA
GNAQ	EDN1
GNAQ	GNG11
SRC	RPL10
SRC	RARA
SRC	PDE4D
SRC	ABCB1
SRC	PARP1
SRC	SPINT1
SRC	EDNRA
SRC	ANXA2
SRC	NOG
SRC	NKX2-1
TMA16	RPL10
CUL3	NOG
CUL3	GSTP1
CUL3	N4BP1
CUL3	ARL1
CUL3	RARA
TPM2	TBP
TPM2	NKX2-1
TMPO	NOG
TMPO	CCAR2
TMPO	PARP1
TMPO	JUN
TMPO	EIF3E
N4BP1	JUN
GPR85	NOG
GPR85	ACP2
ETS1	GPR150
ETS1	MGAT4A
ETS1	TBP
ETS1	TAL1
ETS1	KAT5
ETS1	CACNA1D
ABCB1	TYR
ABCB1	ANXA2
ABCB1	EDN1
ABCB1	ARL1
ABCB1	NR1I3
ABCB1	PARP1
AMPD3	BPNT1
AMPD3	RNF182
RARA	AURKA
RARA	NKX2-1
RARA	CAVIN2
RARA	PKM
RARA	PRKCA
RARA	RPL10
RARA	EIF3E
RAB33A	NOG
GNG11	EDNRA
GNG11	MC3R
GNG11	EDN1
GNG11	CD28
EDN1	CEBPA
EDN1	GSTP1
EDN1	EDNRA
EDN1	NOG
EDN1	ADCY1
EDN1	TYR
GFM2	PSG8
GFM2	JUN
TAL1	RNF182
TAL1	PARP1
TAL1	KIRREL2
TYR	SOD1
TYR	EDNRA
TYR	PKM
TYR	PARP1
TRRAP	TBP
TRRAP	KAT5
TRRAP	HIST2H2AC
TRRAP	AURKA
TRRAP	STAT2
TPI1	SETDB1
PAX2	RHOA
PAX2	TSPYL2
PAX2	STAT2
CEBPA	PDE4D
CEBPA	PARP1
CEBPA	SPINT1
CEBPA	JUN
CLCA4	CATSPER3
GPR150	JUN
CRYZ	AKR1B10
ASPA	AGXT
ASPA	STAT2
CATSPER3	PRKCA
RNF182	NOG
PDE4D	PKM
KIRREL2	NOG
KIRREL2	AURKA
RAB8A	ARL1
ACP2	PYGM
AGXT	PKM
STAT2	DPP9
STAT2	CAVIN2
RPL10	PARP1
RPL10	PRKCA
RPL10	RPP30
PKM	ALDH5A1
PKM	NOG
PKM	PARP1
PKM	JUN
PYGM	CACNA1D
PYGM	PARP1
EIF3E	JUN
EIF3E	MAPK1IP1L
POMC	SOD1
AURKA	SPINT1
AURKA	JUN
AURKA	NOG
DPP9	NEK2
DPP9	MYO6
ALDH5A1	AKR1B10
ALDH5A1	JUN
ALDH5A1	NOG
ALDH5A1	NMNAT2
PSG8	ACOT9
TSPAN13	TBP
PIGF	PLB1
MICU3	GSTP1
EDNRA	RHOA
EDNRA	SOD1
EDNRA	GSTP1
EDNRA	KAT5
TRPM3	PRKCA
TRPM3	ANXA2
ANXA2	NOG
NOG	PRKCA
NOG	NR1I3
NOG	GSTP1
NOG	LDHD
NOG	AKR1B10
SOD1	CD28
SOD1	CCAR2
PRKCA	CAVIN2
PRKCA	GSTP1
TBP	GTF2H3
TBP	GTF2E2
TBP	HIST2H2AC
TBP	JUN
TBP	SNAPC5
MYO6	JUN
MYO6	SPINT1
KAT5	GTF2E2
KAT5	PARP1
AKR1B10	PARP1
AKR1B10	PLA2G6
AKR1B10	PLB1
AKR1B10	LDHD
GTF2E2	SNAPC5
GTF2E2	GTF2H3
GSTP1	JUN
GSTP1	PARP1
GSTP1	PLA2G6
PPIL4	CCAR2
JUN	PARP1
RPP30	SETDB1
SETDB1	ACOT9
CD28	PARP1
SPINT1	CCAR2
