#tail	head
COG4	MAN1C1
SIRT7	PHRF1
SIRT7	HIST1H4E
SIRT7	APP
SIRT7	DLD
SIRT7	RPL3
SIRT7	HIST2H4A
SIRT7	PGAM1
SIRT7	VDAC1
SIRT7	NNT
ABAT	NDUFB5
ABAT	PSAT1
ABAT	IDH2
ABAT	GPT2
ABAT	NME2
IDH2	NNT
IDH2	ALDH3B2
IDH2	NME2
IDH2	AHR
IDH2	ALDH3B1
IDH2	PSAT1
IDH2	CYP2C19
IDH2	DLD
CTSD	AHR
CTSD	ABCC2
CTSD	CYP2C19
CTSD	ADAT2
NME2	ALDH3B1
NME2	ACSM3
NME2	GNG13
NME2	GNB1
NME2	ACSL6
NME2	GNGT1
NME2	SLC16A7
NME2	SLC1A1
NME2	GPT2
NME2	ACAD8
NME2	NT5C
NME2	TUBA1A
NME2	ACSS1
NME2	MYC
NME2	GALNT6
NME2	APRT
NME2	ALDH3B2
NME2	CMPK1
CYTH2	MYC
CYTH2	HNF4A
CYTH2	GNB1
CYTH2	TRIM23
CCL28	PF4V1
CCL28	GNB1
CCL28	GNG13
TRIM23	MYC
TRIM23	HNF4A
TRIM23	EAF2
ATP6V1F	MTAP
ATP6V1F	NNT
ATP6V1F	ACSM3
ATP6V1F	HNF4A
TMEM63B	ATP5F1B
TMEM63B	ATP5F1A
TMEM63B	LMNB1
YIPF6	ARF1
YIPF6	ACOT7
ACAD8	ACADS
ACAD8	HNF4A
ACAD8	SCD5
CFTR	RPL3
CFTR	PGAM1
CFTR	PIK3R3
CFTR	FOXO4
CFTR	LMNB1
CFTR	PRKAG1
CFTR	YWHAZ
CFTR	AIFM1
CFTR	YWHAH
CFTR	ABCB6
IGHG1	GNG13
IGHG1	GNGT1
IGHG1	TMEM115
IGHG1	ITIH1
IGHG1	IGHV3-23
IGHG1	PF4V1
IGHG1	KLK3
IGHG1	PIK3R3
FOXO4	PAGR1
FOXO4	YWHAH
FOXO4	HTN1
FOXO4	PRKAG1
FOXO4	MAZ
FOXO4	EAF2
FOXO4	ARF1
FOXO4	TUBA1A
FOXO4	APP
FOXO4	NNT
FOXO4	RRM2B
PAGR1	PAX6
PAGR1	POLR2E
PAGR1	APP
PAGR1	AHR
PAGR1	HNF4A
PAGR1	HIST2H4A
OR2W5	GNGT1
HIST2H4A	MYC
HIST2H4A	PAX6
HIST2H4A	ACOT7
HIST2H4A	POLR2E
HIST2H4A	ACSBG1
HIST2H4A	LMNB1
HIST2H4A	KLK3
HIST2H4A	RXRA
HIST2H4A	APP
SLC6A5	DLG1
SLC6A5	ALDH3B2
SLC6A5	SLC1A1
SLC6A5	RRM2B
SLC6A5	ALDH3B1
SLC6A5	SLC6A12
ATP5F1B	HNF4A
ATP5F1B	TUBA1A
ATP5F1B	NNT
ATP5F1B	TACR1
ATP5F1B	VDAC1
ATP5F1B	MYC
AHR	HNF4A
AHR	ABCC2
AHR	ATP5PF
AHR	YWHAZ
AHR	RXRA
AHR	SET
AHR	NNT
AHR	ABCB6
AHR	PIK3R3
AHR	H1F0
AHR	CYP2C19
NT5C	APRT
NT5C	CMPK1
MAST1	YWHAH
MAST1	TRPC1
MAST1	APP
ATP5PF	ATP5F1A
VDAC1	ARF1
VDAC1	DLG1
VDAC1	YWHAZ
VDAC1	TRPC1
VDAC1	HNF4A
ARF1	PKD2
ARF1	DLD
MUC6	GALNT6
CHRNA4	DLG1
CHRNA4	CYP2C19
CHRNA4	YWHAH
TACR1	ITIH1
TACR1	NDUFB5
TACR1	GNB1
TACR1	GNGT1
KLK3	ITIH1
KLK3	RXRA
ACSM3	ACSS1
ACSM3	ACSBG1
ACSM3	ALDH3B1
ACSM3	OLAH
ACSM3	ACSL6
ACSM3	ALDH3B2
ACSM3	ACOT7
POLR2E	RFC3
POLR2E	NELFB
POLR2E	RMI2
POLR2E	HIST1H4E
POLR2E	EAF2
POLR2E	RXRA
NELFB	CYP2C19
FAHD1	DLD
HNF4A	TMEM115
HNF4A	SERPINI1
HNF4A	PAX6
HNF4A	HTN1
HNF4A	ALDH3B1
HNF4A	ABCC2
HNF4A	NDUFB5
HNF4A	RFC3
HNF4A	MAZ
HNF4A	ACOT7
NNT	LAMTOR3
PRKAG1	YWHAH
PRKAG1	SET
PRKAG1	PAX6
PRKAG1	ACSL6
PRKAG1	APRT
PRKAG1	ACSBG1
PRKAG1	LAMTOR3
PRKAG1	ABCC2
GNGT1	GNG13
GNGT1	PIK3R3
ACADS	DLD
ACADS	ACOT7
ACADS	SCD5
LMNB1	MAZ
LMNB1	H1F0
LMNB1	MYC
LMNB1	HIST1H4E
LMNB1	SET
LMNB1	AIFM1
HIST1H4E	MYC
HIST1H4E	APP
HIST1H4E	YWHAZ
HIST1H4E	RXRA
HIST1H4E	ACOT7
HIST1H4E	SET
MUC5B	CHST4
MUC5B	GALNT6
MUC5B	HTN1
