#tail	head
AKR1C4	TNF
TNF	BRD4
TNF	RPL12
TNF	PSMB2
TNF	LGALS3
TNF	RPL28
TNF	ILK
TNF	CAPZA1
TNF	PLIN4
TNF	VEGFA
TNF	RPL7
TNF	PRNP
TNF	IL4R
TNF	HNF4A
TNF	CDK4
TNF	ATP2B1
TNF	AR
TNF	CYBB
HTR3C	CALM1
TRAPPC2	PYGM
JMJD6	NXF1
JMJD6	HNRNPL
CDK20	TRIM2
CDK20	XYLT2
SNCA	CALM1
SNCA	NEDD4
SNCA	NOG
SNCA	PRNP
SNCA	HTT
SNCA	ADRB2
SNCA	IL2
SNCA	APP
SNCA	IL5
AVP	NOG
AVP	CLTC
AVP	GNB3
AVP	ELAVL1
AVP	HSPA8
ITGA3	ILK
ITGA3	VTN
ITGA3	MYOD1
ITGA3	SDC4
HNRNPL	HIST1H3A
HNRNPL	VEGFA
HNRNPL	PPIL6
HNRNPL	NSMAF
HNRNPL	HSPA8
HNRNPL	GMPS
HNRNPL	SCO1
HNRNPL	BRCA1
HNRNPL	ITGA4
HNRNPL	SEMA6A
HNRNPL	NOG
HNRNPL	APP
HNRNPL	WASHC3
HNRNPL	SDC4
FAR1	EGFR
FAR1	FASN
FAR1	AKR1B1
SH3RF2	PPARA
SH3RF2	NSMAF
ZNF91	HTT
KCND1	NFE2L1
NEK9	CDK1
NEK9	NSMAF
SLC5A10	PYGM
HIST1H4C	IL2
HIST1H4C	RRP1B
HIST1H4C	FOXA1
HIST1H4C	CDK1
HIST1H4C	HDAC2
HIST1H4C	PPARA
HIST1H4C	PPARG
HIST1H4C	TINF2
HNF1A	TSPAN5
HNF1A	VTN
HNF1A	FOXO1
HNF1A	SERPINE1
HNF1A	ARID1A
HNF1A	UHRF1
HNF1A	CALM1
HNF1A	ANKRD28
HNF1A	CDK1
MRPL13	MRPS10
MRPL13	ESR2
MRPL13	MRPS33
RPSA	TINF2
RPSA	ELAVL1
RPSA	RIOK2
RPSA	HSPA8
RPSA	CLTC
RPSA	RPS15
RPSA	SMG6
RPSA	IARS2
RPSA	TUBB
RPSA	NAP1L1
RPSA	CD4
RPSA	FASN
ESR2	PACSIN3
ESR2	IRS1
ESR2	TACC1
ESR2	CDCA3
ESR2	EPHA4
ESR2	SERPINE1
ESR2	FGFR1OP2
ESR2	MLLT1
ESR2	EPN2
ESR2	RPS15
ESR2	RRP1B
