#tail	head
DNAH7	UBC
UBC	FBXO7
UBC	CUL1
UBC	NDUFB9
UBC	CLTC
UBC	SNX9
UBC	NEDD8
UBC	PABPN1
UBC	KPNB1
UBC	HNRNPC
UBC	OBSL1
UBC	PCBP2
NCL	OBSL1
NCL	PRMT1
NCL	FBXO7
NCL	CUL1
NCL	PPM1D
NCL	SQSTM1
NCL	KPNB1
NCL	SEPT9
NCL	PRPF8
NCL	NEDD8
NCL	TOP1
WBP11	PRPF8
WBP11	HNRNPC
WBP11	OBSL1
WBP11	PCBP2
WBP11	RBM8A
WBP11	PABPN1
DEK	RBM8A
DEK	SOD2
DEK	OBSL1
DEK	IFNG
RFX1	UBE2W
RFX1	CDC5L
RFX1	HSF1
RFX1	DMD
BCKDHA	SOD2
BCKDHA	PYCR3
SEPT9	OBSL1
SEPT9	LRRC3
IFNG	SOD2
IFNG	S100A13
IFNG	STAT1
IFNG	CALM1
IFNG	TNNC1
IFNG	HSF1
TRIM72	CALM1
TRIM72	CHRNB4
STAT1	PRMT1
STAT1	DMD
STAT1	HSF1
EOMES	HSF1
SNAP25	TRPM7
SNAP25	UNC13D
SNAP25	CALM1
SNAP25	FBXO7
SNAP25	STX2
SNAP25	CHRNB4
SNAP25	TRPC1
FMOD	CHST6
FMOD	B4GAT1
SQSTM1	CALM1
SQSTM1	CUL1
SQSTM1	TRPC1
SQSTM1	KPNB1
SQSTM1	RSPRY1
SQSTM1	HNRNPC
SQSTM1	PRMT1
SQSTM1	PCBP2
CHST6	B4GAT1
CHST6	B3GNT4
TOP1	OBSL1
TOP1	CUL1
C1QBP	CUL1
C1QBP	RSPRY1
C1QBP	PRMT1
C1QBP	F2
CALM1	CUL1
CALM1	DMD
CALM1	CHRNB4
CALM1	TRPM7
CALM1	HIST1H4D
CALM1	TNNC1
F2	SOD2
F2	OBSL1
F2	TNNC1
F2	S100A13
F2	TRPC1
NDUFB9	CLTC
HSF1	DMD
HSF1	PRPF8
HSF1	PPM1D
PPM1D	NTPCR
PPM1D	CDC5L
PYCR3	IVD
TRPC1	RSPRY1
TRPC1	DMD
TRPC1	TRPM7
TRPC1	TNNC1
PRMT1	FBXO7
PRMT1	HIST1H4D
PRMT1	RSPRY1
PRMT1	CUL1
TUBA4A	PRPF8
TUBA4A	OBSL1
PABPN1	RBM8A
PABPN1	CDC5L
PABPN1	PRPF8
PABPN1	HNRNPC
HNRNPC	PRPF8
HNRNPC	NEDD8
HNRNPC	OBSL1
HNRNPC	CDC5L
HNRNPC	SNX9
HNRNPC	RSPRY1
LONRF1	UBE2W
CUL1	HIST1H4D
CUL1	NEDD8
CUL1	CLTC
CUL1	CDC5L
CUL1	OBSL1
CUL1	PCBP2
BLOC1S2	STX2
PCBP2	OBSL1
PCBP2	RBM8A
PCBP2	CDC5L
PCBP2	FBXO7
PCBP2	SNX9
PRPF8	CLTC
PRPF8	FBXO7
RBM8A	CDC5L
RBM8A	OBSL1
TNNC1	CHRNB4
TNNC1	TRPM7
FBXO7	CLTC
FBXO7	NEDD8
FBXO7	S100A13
FBXO7	UBE2W
B4GAT1	B3GLCT
ADAMTS16	B3GLCT
CDC5L	KPNB1
CDC5L	OBSL1
UNC13D	STX2
SNX9	CLTC
SNX9	KPNB1
SNX9	OBSL1
OBSL1	DMD
OBSL1	CLTC
OBSL1	HIST1H4D
CLTC	NEDD8
CLTC	RSPRY1
S100A13	TRPM7
DMD	CHRNB4
