#tail	head
ST8SIA2	NCAM1
CTNNBIP1	ELAVL1
CTNNBIP1	JUP
NTS	TYR
NTS	GNG4
NTS	GNB4
NTS	GNB1
TBPL2	GTF2H4
FOXO4	ELL2
FOXO4	INSRR
FOXO4	UBR5
FOXO4	POLR1C
FOXO4	DTNA
FOXO4	JUP
FOXO4	SEMA6C
SEMA6C	DGKG
SEMA6C	OR8D2
AAAS	EGFR
AAAS	SNUPN
AAR2	CMBL
AAR2	GSR
AAR2	EEF1G
PML	EGFR
PML	H2AFX
PML	SRF
PML	HMOX1
PML	ABCB6
LCN2	HMOX1
LCN2	UGT1A10
GNG4	DGKG
GNG4	TFDP1
GNG4	GNB4
GNG4	DVL2
GNG4	EDNRA
GNG4	PIP5K1A
GNG4	NOG
ETS1	XRCC5
ETS1	DDOST
ETS1	NOG
ETS1	ELAVL1
ETS1	ERCC1
ETS1	LAS1L
HSPA7	KDM1A
HSPA7	PACSIN2
HSPA7	ELAVL1
HSPA7	MYC
SH3KBP1	GNAI2
SH3KBP1	PSMD7
SH3KBP1	SCARB2
SH3KBP1	IRS1
SH3KBP1	GNB1
SH3KBP1	SEPT6
SH3KBP1	WASL
SH3KBP1	NOG
SH3KBP1	PIP4K2B
SH3KBP1	GNB4
SH3KBP1	SLC18A3
SH3KBP1	XRCC5
SH3KBP1	ARPC5
SH3KBP1	GSTT1
WASL	PACSIN2
WASL	SLC18A3
WASL	ARPC5
WASL	SCARB2
WASL	EGFR
WASL	PIP4K2B
LTB4R2	SGCB
LTB4R2	DDOST
LTB4R2	GNB1
TRIP13	PFDN5
TRIP13	MYC
TRIP13	TES
SGCA	SGCB
TPP1	SCARB2
CDH1	EEF1G
CDH1	IRS1
CDH1	PACSIN2
CDH1	FOXA1
CDH1	XRCC5
KMT2E	GSTT1
KMT2E	H2AFX
KMT2E	ALDH2
TFDP1	MYC
TFDP1	AXIN1
DGKG	OR8D2
DGKG	GNB4
ELL2	TAF13
ELL2	POU2F1
ELL2	TAF9
PTH	GNB1
PTH	BID
RGS1	GNAI2
NSL1	WAPL
NSL1	NOG
POLR1C	GTF2H4
POLR1C	POU2F1
SSPN	DTNA
PTPN23	SHMT2
APOA2	BID
TYR	CASP8
TYR	MYC
NCAM1	EGFR
NCAM1	FOXA1
KDM1A	MTHFD1
KDM1A	H2AFX
KDM1A	PFDN5
KDM1A	MYC
KDM1A	ALDH2
DVL2	GNAI2
DVL2	SLC18A3
NCOR1	CDC27
NCOR1	NELFE
PMS1	UBR5
BID	ABCB6
BID	GSR
POGLUT1	UBR5
TAF9	POU2F1
TAF9	TAF13
TAF9	GTF2H2
TAF9	MYC
TAF9	LAS1L
CDC27	PSMD7
POU2F1	JUP
POU2F1	H2AFX
POU2F1	XRCC5
POU2F1	SRF
POU2F1	DTNA
EEF1G	TUBB3
EEF1G	PRPF38B
PIP5K1A	PACSIN2
PIP5K1A	SNAP91
PIP5K1A	EDNRA
PIP5K1A	GNAZ
CYP2S1	CADM4
SNAP91	NOG
XRCC5	MYC
PSMD7	NOG
PSMD7	MYC
GSTT1	MYC
GSTT1	GSR
GNAI2	NOG
GNAI2	TAS2R7
EGFR	EDNRA
EGFR	H2AFX
EGFR	PTPRR
EGFR	ERCC1
EGFR	PIP4K2B
EGFR	JUP
EGFR	IRS1
PRPF38B	MYOD1
PIP4K2B	SCARB2
PIP4K2B	GNB4
PIP4K2B	ARPC5
PIP4K2B	SLC18A3
CXCL16	GNB1
TES	NOG
EDNRA	GNB4
EDNRA	MYC
SH3PXD2A	NOG
ELAVL1	ARPC5
ELAVL1	KIF20B
ELAVL1	WAPL
ELAVL1	H2AFX
ELAVL1	GSR
SGCG	NOG
SGCG	SGCB
MYC	MYOD1
MYC	MTHFD1
MYC	KIF20B
MYC	ARPC5
MYC	SRF
MYC	GTF2H2
MYC	LAS1L
MYC	CSPP1
UBR5	NOG
GNB1	GLP2R
GNB1	PFDN5
GNB1	IRS1
GNB1	GNAZ
NOG	PRSS12
NOG	ALDH2
NOG	ABCB6
NOG	CADM4
NOG	GSR
NOG	GNAZ
ERCC1	GTF2H4
ERCC1	RFC3
B3GAT2	NCAN
RFC3	GTF2H4
CASP8	HMOX1
MTHFD1	GSR
MTHFD1	ABCB6
GLP2R	GNB4
GLP2R	FOXA1
TAS2R7	GNB4
UGT1A10	PIGQ
GTF2H2	TAF13
GTF2H2	GTF2H4
GNAZ	FOXA1
IRS1	FOXA1
AXIN1	DACT1
HMOX1	ABCB6
PACSIN2	SCARB2
PACSIN2	SLC18A3
GTF2H4	TAF13
SRF	MYOD1
