#tail	head
LAMP1	ACSL3
ELOA3	POLR2E
ELOA3	CDC73
OR2AE1	RTP3
CHST15	BPNT1
WTAP	HIST2H4B
WTAP	IKZF1
WTAP	DYNLL1
GNAQ	FOXO4
GNAQ	RGS2
GNAQ	GPR143
UBC	CDC73
UBC	TRIM28
UBC	BRCA1
UBC	ESR1
UBC	CCT8
UBC	POLR2E
UBC	KL
CDC14B	FOXO4
CDC14B	MRPL48
CDC14B	MAZ
ESR1	NFIB
ESR1	GTF2F1
ESR1	MAZ
ESR1	POLR2I
ESR1	MAFG
ESR1	HIST2H4B
ESR1	CDK8
ESR1	TRIM28
ESR1	SLC2A1
ESR1	FOXO4
ESR1	HSPA1L
RPS15	RPL32
RPS15	RPL26
RPS15	RPL10
RPS15	RPL30
CDK8	ELOA
TRAV8-4	PRKCQ
FOXO4	RABL6
FOXO4	GABARAPL2
FOXO4	MYCL
FOXO4	POU2F1
MRPL48	ESRRA
CMTM4	HSF1
CMTM4	COQ8A
CDC73	ELOA
CDC73	POLR2E
CDC73	GTF2F1
CDC73	POLR2I
CDC73	EAF1
CDC73	HIST1H2BL
GNAL	REEP2
GNAL	HTR2B
GNAL	REEP5
GNAL	EDNRB
GNAL	OR2T8
GNAL	OR1S2
GNAL	OR10J3
PTGDR	BRCA1
PTGDR	PLD1
PTGDR	TRIM28
ERCC4	VPS26A
ERCC4	POLR2I
ERCC4	RNF4
OR2T8	RTP1
OR2T8	GNGT1
OR2T8	RTP5
OR6C70	RTP5
KLC3	ARCN1
SLC6A7	FXYD4
SLC6A7	ZEB1
DNHD1	PWP2
GTF2F1	POU2F1
GTF2F1	GTF2A1
GTF2F1	THOC5
GTF2F1	POLR2E
MFSD4B	FXYD4
PRKCQ	EDNRB
PRKCQ	GNGT1
PRKCQ	CD79B
PRKCQ	VAV1
REEP4	GNGT1
REEP4	RTP4
REEP4	OR4D11
REEP4	OR7C1
REEP4	OR1J4
CD79B	GNGT1
POLR2E	HIST1H2BL
POLR2E	XRCC5
POLR2E	POU2F1
POLR2E	ELOA
POLR2E	ACADVL
POLR2E	SNU13
BRCA1	POU2F1
BRCA1	NOLC1
BRCA1	FAM83H
BRCA1	TRIM28
BRCA1	VARS
BRCA1	ESRRA
BRCA1	RNF4
BRCA1	ELOA
BRCA1	DCLRE1C
BRCA1	XRCC5
ESRRA	KCNIP2
CRCP	NFIB
CRCP	POU2F1
CRCP	GTF3C2
GNGT1	OR1J4
GNGT1	OR5M3
GNGT1	OR10J3
GNGT1	KL
GNGT1	RTP5
GNGT1	REEP2
GNGT1	REEP5
TOPBP1	MAZ
TOPBP1	POU2F1
TOPBP1	HIST2H4B
ENPP1	ACADVL
ECT2	SUCLG2
RPS28	SNU13
RPS28	RPL26
HSF1	SCUBE3
GTF2A1	NABP1
GTF2A1	DNAJC7
GTF2A1	NFIB
GTF2A1	TRIM28
TRIM28	CCT8
GABARAPL2	TBC1D2B
GABARAPL2	RPL10
GABARAPL2	LYAR
VARS	FOXN1
VARS	PHKB
HIST1H2BL	RNF4
HIST1H2BL	HIST2H4B
ZCCHC10	MAB21L3
RPL19	RPL5
RPL19	LYAR
RPL19	RPL30
RPL19	SNU13
RPL19	RPL32
RPL10	GTF3C2
RPL10	RPL5
SLC6A1	SLC3A1
ACSL3	SUCLG2
ACSL3	RNF4
CNDP1	HLA-DRB1
CNDP1	SLC3A1
OR1S2	RTP5
POU2F1	MAB21L3
POU2F1	XRCC5
POU2F1	LMO1
POU2F1	MAZ
COQ8A	CPT2
XRCC5	VAV1
XRCC5	ACADVL
XRCC5	HAT1
PRR13	SREK1IP1
RPL32	CDH2
RPL32	LYAR
RPL26	MAGEB2
RPL26	NOLC1
SLC1A7	SLC4A9
PWP2	RNF4
PITPNC1	MAZ
NOLC1	LYAR
NOLC1	CPT2
OR5M3	RTP1
COP1	MDM4
RPL5	RNF4
RPL5	UBA1
RPL5	RPL30
CDH2	MAZ
ANKRD27	MAZ
RNF4	MAZ
RNF4	ZEB1
OR52P1P	RTP3
PHKB	PGM2L1
KCNIP2	REEP2
KCNIP2	MAZ
OR14K1	RTP1
OR14K1	RTP3
SREK1IP1	LYAR
SNU13	ECPAS
DGKZ	IGHM
RTP1	MAZ
RTP1	OR4S2
RTP1	OR7C1
RTP1	OR4F6
VAV1	HLA-DRB1
RTP4	OR7C1
EAF1	FOXN1
OR10J3	REEP5
RTP3	OR1J4
REEP5	RGS2
REEP5	OR1J4
RGS2	DYNLL1
LHX3	MS4A1
ECPAS	SPACA1
