#tail	head
MAGED1	TAB1
POLE	BARD1
POLE	POLR2H
PIK3R5	PLCG2
PIK3R5	CYFIP1
PIK3R5	SHC1
PIK3R5	AP2A1
PIK3R5	CD247
PIK3R5	IGLC6
PIK3R5	WASF3
PIK3R5	FGFR1OP2
PIK3R5	FGFR1OP
PIK3R5	AKT3
PIK3R5	NCKAP1L
UBC	RPS21
UBC	HIST1H2BI
UBC	AP2A1
UBC	UBA7
UBC	FGF17
UBC	HNRNPR
UBC	SRSF1
UBC	AKT1
UBC	UBE2J1
UBC	ITCH
UBC	ITGB3BP
UBC	SLC11A2
UBC	E2F1
UBC	COPS6
UBC	USP11
UBC	PPARG
UBC	MOV10
UBC	SUMO1
UBC	STAMBP
UBC	HDAC6
UBC	SNRNP25
GRB7	MYOD1
GRB7	EGFR
GRB7	TRIM43
GRB7	CALM1
IDH2	IDH3A
NEU1	INS
ITGB8	MAZ
ITGB8	SHC1
IGLV6-57	PDPK1
IGLV6-57	TRPC6
IGLV6-57	FGF17
IGLV6-57	CD247
IGLV6-57	IGHG3
IGLV6-57	VEGFA
IGLV6-57	NCKAP1L
IGLV6-57	LYN
IGLV6-57	PIK3R2
IGLV6-57	IGHV1-46
IGLV6-57	CD86
STAMBP	CDKL3
STAMBP	EGFR
ESR1	PRKAA2
ESR1	HIST1H4L
ESR1	FGF18
ESR1	POLR2H
ESR1	MAZ
ESR1	UBE2D3
ESR1	LIMS1
ESR1	IGKV1-33
ESR1	TNF
ESR1	ITK
ESR1	CDK4
ESR1	CDK7
ESR1	E2F1
ESR1	HNRNPR
ESR1	GRB2
ESR1	HIST1H3B
ESR1	CALM1
ESR1	FGFR1OP2
ESR1	IGLC6
ESR1	IDH3A
ESR1	CHD4
ESR1	MYB
ESR1	IL13
ESR1	FGFR1OP
ESR1	STUB1
KMT2D	POLR2D
KMT2D	MYB
KMT2D	HIST1H2BI
CD247	FGFR1OP
CD247	PIK3R2
CD247	SHC1
CD247	BTK
CD247	FGFR1OP2
CD247	AKT3
CD247	IGLC6
CD247	BAIAP2
CD247	WASF3
CD247	IGHV1-69
CD247	GABPA
TNF	TNIP2
TNF	CASP9
TNF	NOLC1
TNF	MAOA
TNF	XDH
TNF	RARB
TNF	PTK2
TNF	CDK4
TNF	TNFRSF1A
TNF	HIST1H4L
TNF	LBP
TNF	RARA
TNF	ELAVL1
TNF	ATP2B1
TNF	SERPINA3
TNF	EEF1A1
TNF	IDH3A
TNF	SORT1
HSPA8	TNPO1
HSPA8	SRSF1
HSPA8	SF3B5
HSPA8	STUB1
HSPA8	CDK4
HSPA8	MYB
HSPA8	POLR2H
HSPA8	RBBP7
HSPA8	CYFIP1
HSPA8	RNPS1
HSPA8	CDKL3
HSPA8	MAZ
HSPA8	CD4
HSPA8	ITGA4
HSPA8	E2F1
HSPA8	HIST1H3B
HSPA8	UBR4
BAIAP2	PIK3R4
BAIAP2	ACTA1
BAIAP2	REPIN1
BAIAP2	WASF3
BAIAP2	NCKAP1L
BAIAP2	VEGFA
BAIAP2	SHC1
COPS6	CDKN1B
PIK3R4	PDPK1
PIK3R4	AKT1
PIK3R4	PRKAA2
PIK3R4	ITK
PIK3R4	NCKAP1L
PIK3R4	GRB2
RARB	HIST3H2BB
RARB	SREBF1
CALM1	SRI
CALM1	HIST1H4L
CALM1	ITGB5
CALM1	AK1
CALM1	CACNA1D
CALM1	PSMD12
CALM1	HNF1A
CALM1	SPP1
CALM1	IGKV1-33
CALM1	MAX
