#tail	head
HSD17B10	ATP1B3
ASIC4	PPARA
ASIC4	FXYD1
HMOX2	ACADSB
HMOX2	ELOVL5
TRDN	SLC24A4
TRDN	FKBP1B
TRDN	SLN
ATP1B3	ATP6V1H
ATP1B3	RPL35
ATP1B3	SF1
ATP1B3	ATP6AP1
ATP1B3	RANGRF
UNC13B	FKBP1B
UNC13B	TFAP4
HSPA5	HNRNPF
HSPA5	SF1
ATP6V1H	ONECUT1
ELOVL5	ACSBG2
SRD5A3	FMO2
GRIN2C	SLC24A4
GRIN2C	SLN
AMY2A	SLC2A10
DOC2A	TFAP4
LPCAT4	ACSBG2
LPCAT4	ACSL4
ACSL4	ACSBG2
ACSL4	ACADSB
FMO2	TFAP4
EMC2	SAFB2
EMC2	SF1
HSD17B12	SF1
SLC4A9	SLC24A4
U2AF1L4	NCBP2
U2AF1L4	SF1
ATP6AP1	SF1
ATP6AP1	SLC24A4
HNRNPF	NCBP2
NCBP2	RPL35
FKBP1B	SLC24A4
