#tail	head
COG4	VPS53
TSSK3	GATA1
TSSK3	IKZF3
TSSK3	AES
NDUFA8	VDAC2
NDUFA8	PTPMT1
RECQL5	RAD51
RECQL5	MRE11
RECQL5	INTS10
LIMA1	SP1
LIMA1	SEC24C
LIMA1	OGA
LIMA1	DENND4C
UBE2I	CTBP1
UBE2I	RELA
UBE2I	MRE11
UBE2I	ATF2
UBE2I	SLX4
UBE2I	IKZF3
UBE2I	PML
UBE2I	HNRNPM
UBE2I	RNF8
UBE2I	CSF3
UBE2I	HIST1H4L
ACSM2A	ACOT2
ACSM2A	ACSM5
CUL3	ATF2
CUL3	RTCB
CUL3	SUPT5H
CUL3	DDB1
CUL3	PLD2
CUL3	CUL4B
CUL3	KRT71
CUL3	PDHA1
CUL3	PSMC2
CUL3	HSPA8
CUL3	PSMD7
TUBB2B	PFDN4
TUBB2B	RELA
CRBN	RBM39
CRBN	IKZF3
CRBN	CSF3
SLC17A3	SLC3A1
SLC17A3	SLC13A5
HSPA8	CUL2
HSPA8	ZUP1
HSPA8	NUP214
HSPA8	GTF2F1
HSPA8	CUL4B
HSPA8	ERLIN2
HSPA8	PDHB
HSPA8	LCK
HSPA8	AP3S1
HSPA8	SMC4
HSPA8	SLC6A1
HSPA8	HNRNPM
NPM1	ZNF496
NPM1	TEKT4
NPM1	MDM2
NPM1	HNRNPM
NPM1	H2AFY
NPM1	SP1
NPM1	PML
NPM1	CUL4B
NPM1	APP
NPM1	ANXA6
NPM1	LCK
VBP1	SGF29
VBP1	OGA
RNF8	HIST1H4L
RNF8	UBE2W
RNF8	ZNF496
RNF8	MRE11
RNF8	MDM2
RBBP5	SGF29
RBBP5	GATA1
RBBP5	HIST1H2AB
RBBP5	HIST1H4L
RBBP5	SEC24C
VPS53	THOC2
VPS53	ZUP1
FES	APP
FES	PTPRD
PML	RELA
PML	SLC5A1
PML	ZMYM2
PML	NUP214
PML	TEKT4
PML	GATA1
PML	ATF2
PML	APP
TADA2B	TERF2IP
RAD21	CALML5
RAD21	CASP7
RAD21	PSMC2
RAD21	EIF3B
RAD21	SMC4
ITGB5	LCK
ITGB5	APP
ITGB5	TRPV6
ITGB5	EDIL3
ITGB5	SP1
PLD2	PLPP1
PLD2	SLC3A1
PLD2	APP
PLD2	CAD
CYP2C18	PLA2G3
EIF3B	VDAC2
EIF3B	SGF29
CUL4B	NUP214
CUL4B	HIST1H2AB
CUL4B	RTCB
CUL4B	KRT71
CNTRL	SEC24C
CNTRL	H1F0
MUC20	AP3S1
SLC6A7	SLC5A1
CALML5	SINHCAF
CALML5	TRPV6
CALML5	KHDC4
GTF2F1	PRPF6
GTF2F1	U2AF1L4
CASP7	CSF3
CASP7	RAD51
ANAPC10	HNRNPM
ANAPC10	UBE2W
ACSM5	ACOT7
ACSM5	PDE3B
ACSM5	PDHB
ACSM5	NAT2
ACSM5	MBOAT7
ACSM5	ACSL1
ACSM5	PLA2G3
UBE2W	CUL2
UBE2W	TRIM50
IKZF3	TEKT4
IKZF3	SMARCD1
NDUFV3	ENTPD3
VDAC2	ANXA6
VDAC2	APP
FXYD2	SLC13A5
RFX6	TEKT4
