#tail	head
HIST1H2AG	APPBP2
IDH2	NNT
IDH2	JUN
IDH2	UBE2N
IDH2	RDH11
IDH2	PKM
GPC6	HNF4A
RUVBL2	HIST1H4K
RUVBL2	HNF4A
RUVBL2	CHD4
RUVBL2	HIST1H4L
RUVBL2	JUN
RUVBL2	TFPT
RUVBL2	TCF7L2
MTF1	DCAF1
MTF1	OLFM2
UBE2A	RNF40
OLFM2	N4BP2L2
CEP128	IPO8
CEP128	TEX9
TEX9	CCHCR1
HSPD1	SQSTM1
HSPD1	DIABLO
HSPD1	YARS2
HSPD1	ATF1
GNG4	GNG11
GNG4	TAS2R13
GNG4	PIP4K2C
CCHCR1	PRDM6
TRIP4	SQSTM1
TCF4	JUN
TCF4	POU3F2
TCF4	BCL2L2
TCF4	HIST1H4K
TCF4	TCF7L2
RARA	ATF1
RARA	HIST1H4K
RARA	ARMCX3
NEUROD6	JUN
NOL6	JUN
FBXO6	JUN
FBXO6	HIST1H4K
DDX19B	IVL
DDX19B	NARS
DDX19B	PKM
POU3F2	DIABLO
POU3F2	CHD2
POU3F2	AGTPBP1
TCF7L2	HNF4A
TCF7L2	ATF1
TCF7L2	TRAF1
PIP4K2C	MTPN
PIP4K2C	PIP5K1C
IKBKB	SQSTM1
IKBKB	UBE2N
IKBKB	EGLN3
IKBKB	PKM
IKBKB	HMGB1
IKBKB	JUN
AGTRAP	HMGB1
AGTRAP	YARS2
AGTRAP	DIABLO
UBE2V2	UBE2N
YARS2	HNF4A
HNF4A	UBE2N
HNF4A	ACO2
HNF4A	RNF40
HNF4A	IPO8
HNF4A	AGTPBP1
HNF4A	N4BP2L2
HNF4A	VTN
HNF4A	SKI
HNF4A	JUN
NNT	SLAIN2
FAR2	HSD3B2
FAR2	LRAT
EGLN3	SLC25A22
EGLN3	PKM
EGLN3	JUN
EGLN3	SQSTM1
EGLN3	DCAF1
KLF4	CCND1
HIP1	SNAP91
HIP1	SQSTM1
HIP1	UBE2N
PKM	ACO2
PKM	NARS
PKM	SLC25A22
PKM	HIST1H4K
PKM	HMGB1
PKM	SNAP91
PKM	HIST1H4L
PKM	JUN
ATF1	SQSTM1
ATF1	HIST1H4L
ATF1	HIST1H4K
PPP1R13B	FAM184A
HIST1H4L	JUN
HIST1H4L	IVL
HIST1H4L	CHD4
HIST1H4L	UBE2N
ADK	NARS
RDH11	GINM1
TRADD	TRAF1
HIST1H4K	CCND1
HIST1H4K	CHD4
HIST1H4K	SPI1
HIST1H4K	NUP205
IKZF1	MIB2
CCND1	JUN
IPO8	JUN
HSD3B2	NARS
CHD4	JUN
CHD4	GABARAP
DIABLO	TRAF1
CHD2	SPI1
SQSTM1	JUN
JUN	SKI
JUN	SPI1
JUN	NARS
JUN	GABARAP
SKI	SPI1
