#tail	head
MYL1	TTN
CHKA	CHDH
PRPF19	U2AF1
PRPF19	GABARAPL1
PRPF19	NCBP1
PRPF19	DDX3X
PRPF19	PTPN11
PRPF19	HTATSF1
PRPF19	KPNA2
PRPF19	RPA2
TUBB2B	RPGR
TUBB2B	TUBB1
TUBB2B	TSEN2
SETD1A	HIST1H4A
SETD1A	TMPO
SETD1A	MAPK1
SETD1A	ESR2
SETD1A	HDAC2
SETD1A	HIST1H4E
SETD1A	LARP1
SETD1A	HIST1H4H
SETD1A	RAE1
SETD1A	MARCKS
RPS27A	FBXW5
RPS27A	RPL19
RPS27A	RFC1
RPS27A	UBE3A
RPS27A	RPA2
RPS27A	HIST1H4E
RPS27A	XPC
RPS27A	HIST1H4H
RPS27A	GABARAPL1
RPS27A	HGS
RPS27A	NCBP1
RPS27A	PPP2R5D
RPS27A	CCNA2
ARIH2	IL4R
ARIH2	UGP2
TMPO	HIST1H3G
TMPO	ESR2
TMPO	DDX3X
TMPO	PPP2R5D
TMPO	RRBP1
TMPO	HIST1H4A
TMPO	HIST1H4B
TMPO	DDX17
TMPO	RPA2
TMPO	HIST1H4E
TMPO	ACO2
RGL2	KPNA2
VBP1	TUBB1
RAP1B	GAB2
RAP1B	ESR2
RAP1B	RPTOR
RAP1B	KSR1
RAP1B	GCLM
RAP1B	TSEN2
RAP1B	PTPN11
RAP1B	UQCRC2
NAMPT	UBE3A
NAMPT	HNF4A
NAMPT	ESR2
NAMPT	NOSTRIN
NAMPT	MYH10
KSR1	MAPK1
KSR1	LARP1
KSR1	PPP2R5D
KSR1	RPTOR
KSR1	YWHAE
KSR1	SH3BP4
NUP188	CPSF1
NUP188	NCBP1
TSEN15	CPSF1
PLD2	HIF1A
PLD2	HNF4A
PLD2	MAPK1
PLD2	PEA15
PLD2	PLCE1
PLD2	CHDH
PLD2	RPTOR
PLD2	DGKQ
CTU1	MAGEA1
KPNA2	NCBP1
KPNA2	RAE1
KPNA2	RPTOR
KPNA2	MBD3
CASK	CEBPA
CASK	HGS
CASK	YWHAE
CASK	RET
FBXW5	KRT34
FBXW5	UBE3A
FBXW5	ADAMTSL4
TMEM184B	CLEC2D
RAE1	ESR2
RAE1	RET
RAE1	CPSF1
RAE1	NCBP1
ZBTB33	HNF4A
ZBTB33	PEX19
ZBTB33	ELAVL1
