#tail	head
PPME1	CARD14
PRPF31	HIST1H3J
PRPF31	PRPF40A
PRPF31	POLR2K
PRPF31	PCBP1
PRPF31	PRCC
PRPF31	GTF2F2
PRPF31	PELP1
KCNG2	SLC12A1
KCNG2	HTR3E
KCNG2	KCNB1
PCBP1	REXO1L1P
PCBP1	PRPF40A
PCBP1	MIF
PCBP1	BRWD1
PCBP1	POLR2K
PCBP1	SMN1
PCBP1	TRIM25
PCBP1	GTF2F2
SLC8A3	RIMS1
SLC8A3	CHRNA2
SLC8A3	LMO2
SLC8A3	HTR3E
SLC8A3	YWHAQ
SLC8A3	AKAP1
SLC8A3	TPM4
BRCA1	CSNK2A1
BRCA1	THRA
BRCA1	CSTF1
BRCA1	MSH3
BRCA1	SFPQ
BRCA1	POLR2K
PRCC	SRSF5
PRCC	TRIM25
PRCC	CSTF1
PRCC	POLR2K
RAG2	HIST1H3J
PRPF19	YWHAG
PRPF19	FN1
PRPF19	SRSF5
PRPF19	CSTF1
PRPF19	POLR2K
PRPF19	GTF2F2
YWHAQ	THRA
YWHAQ	MYB
YWHAQ	DDX39A
YWHAQ	YWHAG
YWHAQ	FN1
PRPF40A	POLR2K
YWHAG	HIST1H3J
YWHAG	LARP1
YWHAG	TRIM25
YWHAG	EWSR1
KCNK10	HTR3E
PELP1	MAP1LC3A
L3MBTL2	HIST1H3J
L3MBTL2	TRIM25
KCNB1	HTR3E
KCNB1	KCNH1
EGR2	TPM4
MYB	RIMS1
MYB	SRSF5
MYB	CSTF1
MYB	CSNK2A1
MYB	PAX5
MED27	THRA
FOXD4L3	CYSRT1
FOXD4L3	CARD10
POLR2K	GTF2F2
POLR2K	SNRPD1
POLR2K	CSTF1
CSTF1	GTF2F2
CSTF1	SRSF5
SELENBP1	FN1
SELENBP1	SFPQ
S1PR2	REL
WWOX	XRN2
WWOX	SNRPD1
WWOX	SFPQ
WWOX	TRIM25
WWOX	PPP1CA
CYSRT1	CYP2S1
PAX5	THRA
TRIM25	SFPQ
SRSF5	GTF2F2
GTF2F2	HIST1H3J
GTF2F2	EWSR1
CATSPER1	CARD10
AKAP1	TPM4
AKAP1	MYH6
SMN1	EWSR1
SMN1	SNRPD1
CUL1	SNRPD1
PPP1CA	SNRPD1
CSNK2A1	MAP1LC3A
CSNK2A1	SERPINF1
CSNK2A1	SFPQ
HIST1H3J	MSH3
CARD10	PRDM14
MAP1LC3A	EWSR1
XRN2	SFPQ
HTR3E	RIMS1
LMO2	MSH3
CACNG8	RIMS1
SFPQ	SNRPD1
SFPQ	EWSR1
