#tail	head
RPH3A	ADD2
FAM83B	ARC
CXCR2	CXCL9
CXCR2	FGF18
CXCR2	CALCA
CXCR2	FGF8
CXCR2	POMC
CXCR2	AVP
KCNK10	NOG
TRIM41	ETS1
TRIM41	AP1M1
TRIM41	ZNF408
TRIM41	DVL3
TRIM41	AMPD1
KRT6A	AP1M1
KRT6A	DMD
RBM22	POLR2D
RBM22	NCKIPSD
AP1M1	KRT5
AP1M1	DZIP3
AP1M1	NTRK1
AP1M1	GRIN2A
AP1M1	GRIN2B
AP1M1	SLC9A8
AP1M1	ETS1
AP1M1	RAB5C
SEC11C	RPL3
VAPB	YBX1
VAPB	UBL4A
RFC5	CFTR
RFC5	TOP2B
RFC5	HIST1H3D
RFC5	NTRK1
RFC5	DDB2
GNG11	CXCL9
GNG11	FGF8
GNG11	CALM1
GNG11	MYO18A
GNG11	NOG
GNG11	DRD3
GNG11	CCR9
EDN1	HSD3B1
EDN1	GSTP1
EDN1	BID
EDN1	CALM1
EDN1	NOG
EDN1	MMP13
EDN1	SOX9
EDN1	RHOA
EDN1	DRD3
AVP	NOG
AVP	UBC
AVP	RAB5C
AMPD1	RNF34
AMPD1	UBE3C
NLGN2	ZIC1
NLGN2	MYL2
MBTPS2	SREBF2
NGDN	KLC3
NGDN	RPL18A
SLC25A5	RPL3
SLC25A5	YBX1
SLC25A5	HSPA1B
SLC25A5	TRAF2
SLC25A5	TUBA1A
SLC25A5	EBNA1BP2
SLC25A5	RPL18A
FGFR4	FGF8
FGFR4	IGKV3-20
FGFR4	SREBF2
FGFR4	GRAP2
FGFR4	PTPRC
FGFR4	PTPN13
FGFR4	MTM1
FGFR4	TRAF6
FGFR4	INPP5K
FGFR4	DVL3
FGFR4	PTPN21
FGFR4	TEAD1
UBE2J1	RNF34
HSPA1B	HSPD1
HSPA1B	CHD4
HSPA1B	SF1
HSPA1B	NAPA
HSPA1B	CFTR
HSPA1B	XRCC6
HSPA1B	GSTP1
HSPA1B	SDC4
HSPA1B	RHOA
HSPA1B	CYP2E1
PDCD5	TUBA1A
SFN	RPS21
SFN	RPS19
SFN	SRSF1
RPH3AL	PNMA3
RPH3AL	TEAD1
POMC	PRL
POMC	CXCL9
POMC	CXCR3
U2AF1	POLR2D
U2AF1	RPL14
U2AF1	RPL3
U2AF1	CHD4
U2AF1	FRG1
U2AF1	MYL2
U2AF1L5	MYL2
RPS19	RPL23
RPS19	HSPD1
RPS19	RPL18A
RPS19	RPS27
RPS19	RPS15
RPS19	EFTUD2
RPS19	UBL4A
RPS19	UBA52
RPS19	APP
RPS19	EIF4A3
RPS19	RPL14
DNMT1	FGF8
DNMT1	NTRK1
DNMT1	HIST1H4J
GRIN2A	RXRA
EPHA3	RHOA
DRD3	MEF2A
DRD3	CALCA
DRD3	FGF8
RPS21	ZNF76
RPS21	RPP25
RPS21	RPS16
RPS21	HIST1H3C
RPS21	CCDC68
RPS21	EIF4A3
RPS21	MTHFD1
L3MBTL2	AMOTL2
L3MBTL2	AES
L3MBTL2	HIST1H3D
L3MBTL2	HIST1H3C
CXCR3	CCR9
CXCR3	CXCL9
CXCR3	BID
GPX2	ACOX3
RXRA	SFPQ
RXRA	PRKACA
RXRA	YY1
RXRA	HIST1H3C
RXRA	CALM1
RXRA	GRIN2B
RXRA	AKR1B10
RXRA	CD3D
GTF2E1	ARC
GTF2E1	EFTUD2
DYDC1	KRT75
KLHDC2	REPIN1
RPF1	RPL18A
FRG1	HNRNPR
FRG1	SRSF1
FRG1	EFTUD2
TECR	CD79A
TLR10	FUT7
DAPK3	HSP90AB1
DAPK3	DAXX
MVK	NXF1
MVK	GGT5
KDELR3	SPTBN2
IGKV3-20	RHOA
IGKV3-20	MYO18A
BIRC3	TRAF6
BIRC3	NOG
BIRC3	UBA52
HIST1H4J	TINF2
HIST1H4J	UBA52
HIST1H4J	ACTB
HIST1H4J	MTA1
HIST1H4J	GABARAP
HIST1H4J	DAXX
FXR2	DPPA2
FXR2	EFTUD2
FXR2	KIF2A
TRAF6	DVL3
TRAF6	UBE2I
TRAF6	RAB5C
TRAF6	HTT
TRAF6	UBC
TRAF6	NCK1
TRAF6	RPL18A
TRAF6	IRF1
TRAF6	RPL3
REPIN1	KLK2
REPIN1	SLC39A9
REPIN1	KIFC3
REPIN1	PML
REPIN1	DMD
REPIN1	SPOP
REPIN1	MYCBP
REPIN1	PRKACA
REPIN1	NEDD4L
WBP4	SRSF1
WBP4	YBX1
WBP4	SF1
CAPZA3	SPTBN2
SLC39A9	KRT5
SLC39A9	YY1
SPTBN2	TUBA1A
SPTBN2	ARCN1
SPTBN2	SCN3A
TMEM101	PKMYT1
GRAP2	KRT5
GRAP2	FAM71E2
UBE2K	RNF2
UBE2K	HTT
UBE2K	CUL5
UBE2K	DZIP3
UBE2K	NXF1
UBE2K	UBE3C
UBE2K	UBA52
PTPN13	SH3GL3
PTPN13	CD3D
PTPN13	AP2A1
PTPN13	UBA52
PTPN13	CDK7
PTPN13	PRKACA
PRKAR1B	BAG6
PRKAR1B	KIF5B
GABARAP	KRT5
GABARAP	HNRNPR
GABARAP	HSP90AB1
GABARAP	RPL18A
GABARAP	PGS1
GABARAP	ACTB
TINF2	ANXA5
TINF2	ACTB
TINF2	HSP90AB1
OSTC	ATP2B2
TOP2B	ACTB
TOP2B	PPA1
TOP2B	DAXX
IPO7	ETS1
IPO7	TES
IPO7	EFTUD2
DDB2	XRCC5
