#tail	head
KRT75	KRT37
LIMA1	EGF
LIMA1	SNX9
LIMA1	GRB2
LIMA1	RPA3
SNRPA	DDX17
SNRPA	SNRPN
SNRPA	RIOK1
SNRPA	EFTUD2
SNRPA	PPIL3
SNRPA	FN1
CXCR2	GRB2
CXCR2	MYO5B
CXCR2	CHRNA7
CXCR2	KITLG
THADA	INS
THADA	VASN
THADA	TMEM206
HSPA8	FN1
HSPA8	DDX17
HSPA8	MYB
HSPA8	ERBB2
HSPA8	HSF2
HSPA8	PPIL3
HSPA8	HDAC2
HSPA8	GAPDH
HSPA8	RPA3
HSPA8	EGF
HSPA8	SNRPN
HSPA8	ATP5F1B
HSPA8	TUBB
HSPA8	TRIM25
HSPA8	GRB2
HSPA8	HGS
HSPA8	RPL7
CDK8	TCP1
CDK8	MED17
CDK8	SMARCA4
CDK8	TBP
CDK8	ERBB2
CDK8	MED1
CHRNA7	EGF
CHRNA7	PPFIA3
CHRNA7	TMOD4
PPP2R5E	INS
PPP2R5E	CENPQ
PPP2R5E	NDEL1
PPP2R5E	EGF
IGLV2-11	PIK3AP1
IGLV2-11	EGF
IGLV2-11	KITLG
IGLV2-11	CRP
IGLV2-11	IGHG2
IGLV2-11	ERBB2
SLC39A4	GAPDH
SLC39A4	SELENON
SLC39A4	MYB
SLC39A4	APLP1
SLC39A4	INS
SLC39A4	ATP2B4
CDC73	EFTUD2
CDC73	AP3S1
CDC73	TCP1
CDC73	GAPDH
LYSMD1	PAX6
LYSMD1	RINT1
LYSMD1	INS
INS	DDX17
INS	PAX6
INS	TMTC1
INS	FKBP6
INS	ERBB2
INS	RPL5
INS	GAPDH
INS	EGF
INS	TUBB
INS	FOXO1
INS	SNRPN
INS	SNU13
INS	DOLPP1
LYG2	TEPSIN
ATP5F1B	TUBB
ATP5F1B	GAPDH
ATP5F1B	FN1
SNX9	GAPDH
SNX9	DDX17
SNX9	EGF
SNX9	HGS
DDX17	SNU13
DDX17	RIOK1
DDX17	HSF2
DDX17	GRB2
DDX17	PPIL3
DDX17	FOXO1
DDX17	RPA3
DDX17	HDAC2
CENPQ	AHCTF1
CENPQ	NDEL1
THBS1	TUBB
THBS1	FN1
THBS1	EGF
RBM26	RPA3
RBM26	RIOK1
RBM26	PAX6
TEPSIN	FKBP6
HGS	KRT86
HGS	PIK3R2
HGS	GRB2
HGS	TUBB
HGS	EGF
CRP	FN1
CRP	IGHG2
ZNF414	NPRL3
ZNF414	KRT86
AP3S1	EFTUD2
AP3S1	DUSP2
PPIL3	SNRPN
PPIL3	SNU13
PPIL3	EFTUD2
PPIL3	RALY
PPIL3	GPKOW
RALY	EFTUD2
RALY	RPA3
RALY	TRIM25
RALY	FN1
FOXO1	MED8
FOXO1	HDAC2
FOXO1	WDFY2
FOXO1	ERBB2
FOXO1	CSRNP3
FOXO1	SMARCA4
MED1	MED17
MED1	SMARCA4
MED1	MED8
MED8	GAPDH
MED8	PRKAR1B
PIK3R2	GRB2
PIK3R2	KITLG
PIK3R2	PIK3AP1
PIK3R2	EGF
PIK3R2	RINT1
MED17	INTS12
TCP1	GAPDH
TCP1	GRB2
TCP1	RPL5
TCP1	FN1
TRIM25	RPL7
TRIM25	GAPDH
TRIM25	SNU13
TRIM25	NPRL3
TRIM25	PRKAR1B
TRIM25	MYO5B
TRIM25	RPL5
TRIM25	RPA3
TRIM25	ATP2B4
TRIM25	GIT1
TRIM25	RARS
TRIM25	TUBB
HSF2	CSRNP3
HSF2	EGF
HSF2	SHC3
EGF	SHC3
EGF	ATP2B4
EGF	GRB2
EGF	GAPDH
GRB2	IGHG2
GRB2	SELENON
GRB2	ERBB2
GRB2	SHC3
GRB2	TUBB
GRB2	FN1
GRB2	KITLG
GRB2	GIT1
GRB2	EFTUD2
ERBB2	DUSP2
ERBB2	GSK3B
ERBB2	IGHG2
ERBB2	GAPDH
ERBB2	PPFIA3
EFTUD2	RPL7
EFTUD2	RARS
EFTUD2	RIOK1
EFTUD2	PAX6
EFTUD2	RPA3
EFTUD2	GSK3B
EFTUD2	MYO1E
EFTUD2	HDAC2
EFTUD2	SMARCA4
EFTUD2	TBP
EFTUD2	TUBB
EFTUD2	GIT1
EFTUD2	GAPDH
EFTUD2	SNRPN
EFTUD2	SNU13
FN1	SHC3
FN1	TBP
FN1	TUBB
FN1	GIT1
FN1	GAPDH
TUBB	RPA3
PARP14	HDAC2
PARP14	RPA3
RPL5	GAPDH
RPL5	RIOK1
RPL5	SNU13
RPL5	VASN
IGHG2	PIK3AP1
MYB	KITLG
MYB	PIK3AP1
MYB	NDEL1
MYB	GSK3B
GSK3B	TBP
GSK3B	CD274
GAPDH	PPFIA3
GAPDH	RPL7
GAPDH	ATP2B4
GAPDH	FKBP6
SHC3	PRKAR1B
SNU13	SNRPN
SNU13	GPKOW
SNU13	RPL7
TBP	SNRPN
TBP	PAX6
TBP	HDAC2
TBP	GIT1
TBP	INTS12
PPFIA3	ATP2B4
MYO1E	RPA3
NDEL1	AHCTF1
SMARCA4	PAX6
SMARCA4	HDAC2
RPL7	RIOK1
RPL7	RPA3
TMEM206	RINT1
VASN	XPO7
SNRPN	RIOK1
XPO7	CD274
GPKOW	CNKSR3
CD274	RINT1
