#tail	head
TMEM154	ELF1
FZD1	JAG2
FZD1	GNB1
FZD1	IFNW1
FZD1	DLL3
FZD1	FGF20
JAG2	GRM3
JAG2	DRD1
JAG2	FZD3
JAG2	DLL3
RPS6	REXO4
RPS6	NFIA
RPS6	ATP2A2
RPS6	JUN
DRD1	GNB1
DRD1	SERPINE1
DRD1	FGF20
DRD1	DLL3
DRD1	IFNW1
DRD1	MAPK3
ELF1	RAB25
ELF1	MAPK3
ELF1	FGF20
ELF1	NFIA
SNX3	CAV3
SNX3	AKR1C2
ITGAV	MAPK3
ITGAV	ARF6
ITGAV	SERPINE1
CACNG3	MYL9
CACNG3	ATP2A2
CACNG3	CAV3
CACNG3	GFI1
IFNW1	GRM3
IFNW1	FZD3
IFNW1	JUN
DLL3	FZD3
DLL3	GRM3
NFIA	JUN
NFIA	GFI1
CAV3	SERPINE1
CAV3	MAPK3
CAV3	JUN
REXO4	RAB11A
AKR1C2	C11orf54
RAB25	JUN
RAB25	RAB11A
GRM3	GNB1
GRM3	FGF20
GFI1	JUN
GFI1	FGF20
ARF6	RAB11A
ARF6	SERPINE1
ARF6	MAPK3
ARF6	GNB1
CCT3	JUN
CCT3	GNB1
CCT3	C11orf54
FGF20	FZD3
FGF20	GNB1
FGF20	MAPK3
ATP2A2	JUN
FZD3	GNB1
SERPINE1	JUN
JUN	GNB1
JUN	MAPK3
