#tail	head
ACO1	ACLY
UBC	TAB1
UBC	RPL22
UBC	PCNA
UBC	POLD1
UBC	SIAH1
UBC	ILF3
UBC	SRSF1
UBC	AIFM1
UBC	EGFR
UBC	MXD1
UBC	POLR2D
UBC	MDM2
UBC	TNF
UBC	PRKN
FOXD3	SIAH1
FZD2	ARRB1
FZD2	TNF
TNFRSF8	FOXO3
BNIP3L	GNB5
TNF	ADORA1
TNF	JAK1
TNF	TUBB3
TNF	IFNAR2
TNF	MDM2
TNF	F2
TNF	POLR2A
TNF	EPO
TNF	MAPK3
TNF	OXT
TNF	TAB1
TNF	PCNA
TNF	ELK1
TNF	ABCB1
TNF	IL7R
APBA3	NRXN2
APBA3	EGFR
SUCNR1	GNG2
SUCNR1	LEF1
SUCNR1	GNAT3
PRDM1	PAX4
PCNA	ABCB1
PCNA	PRKN
PCNA	LEF1
EPRS	DLD
EPRS	SLC1A7
EPRS	YWHAZ
EPRS	PSMD2
EPRS	POLR2A
EPRS	LAMTOR2
IL7R	STAT6
IL7R	EPN2
IL7R	JAK1
IL7R	AGTRAP
IL7R	FUS
IL7R	ELK1
RBM10	HIST1H3A
MKI67	HIST1H3A
MKI67	TBK1
MKI67	SF3B5
EXOC5	SCN2B
EXOC5	EPHA1
SIAH1	DLD
SIAH1	UBE2K
AANAT	YWHAZ
AANAT	F2
ABCB1	EGFR
ABCB1	IL4
ABCB1	UBE2K
ABCB1	PRKN
ABCB1	ARNT
RANGRF	SLC4A7
ILF3	RPL22
ILF3	RPL10A
ILF3	EGFR
ILF3	PHB2
ILF3	SF3B5
JAK1	IL4
JAK1	ARRB1
JAK1	CAMK2A
S1PR1	GOLPH3L
S1PR1	GNG2
S1PR1	MAPK3
S1PR1	GNAT3
RPL10A	DDOST
RPL10A	MDM2
RPL10A	DLD
RPL10A	HDAC5
AGTRAP	MAPK3
AGTRAP	RBFA
AGTRAP	SSX5
INPP4A	ITSN1
INPP4A	SUCLG1
INPP4A	PAX4
AKT1	PTPN11
AKT1	F2
AKT1	MAPK3
AKT1	BAG4
AKT1	GNG2
AKT1	CC2D1A
AKT1	STAT6
LEF1	SUCLG1
LEF1	SCN2B
LEF1	HIST1H3A
LEF1	FLRT1
LEF1	ADORA1
LEF1	IL4
LEF1	TES
LEF1	UBE2K
LEF1	PCDH17
LEF1	POLD1
VPS4B	ELK1
VPS4B	EGFR
MTOR	PRKN
MTOR	STAT6
MAPK3	RELA
MAPK3	STAT6
MAPK3	PTPN11
MAPK3	FOXO3
MAPK3	SPI1
MAPK3	MAPKAPK2
MAPK3	PAX4
F2	GNB5
GNB5	GNG2
DLAT	MMGT1
CKAP5	MDM2
RPL9P9	HDAC5
RPL9P9	FUS
RPL9P9	HIST1H2BM
RPL9P9	DDOST
KDM5A	HIST1H3A
KDM5A	ELK1
CAMK2A	KIF3A
CAMK2A	EGFR
KIF3A	DNAJC9
EPO	ADORA1
ACLY	SUCLG1
ELK1	PAX4
ELK1	PHB2
ELK1	ZNF384
SLC4A7	HNRNPM
SLC4A7	UBE2K
SLC4A7	RAB3GAP1
HIST1H3A	DNAJC9
HIST1H3A	POLR2A
HIST1H3A	SPI1
SLC1A7	LRRC7
DDOST	HDAC5
DDOST	RPL22
GNAT3	GNG2
EGFR	GNG2
EGFR	ARRB1
EGFR	YWHAZ
EGFR	POLR2A
EGFR	PPP2CB
EGFR	TMEM159
EGFR	HIST1H2BE
EGFR	PRKN
CACFD1	TMEM159
CACFD1	RBFA
STAT6	SPI1
STAT6	IL4
SUCLG1	NAT2
TES	AIFM1
SYP	RBFA
ITSN1	LSR
ITSN1	PAX4
EPN2	ARRB1
CHMP4C	CC2D1A
TBK1	RELA
TBK1	PSMD2
FOXO3	YWHAZ
KLF12	EPHA1
KLF12	ZNF384
CEP135	TXLNG
SLC25A11	BCAT1
PAX4	TXLNG
PAX4	ARRB1
PAX4	YWHAZ
PAX4	EPHA1
RELA	PPP2CB
RELA	POLR2A
RELA	PHB2
RELA	YWHAZ
YWHAZ	AIFM1
YWHAZ	ARRB1
PPP2CB	PSMD2
PPP2CB	TAB1
HNRNPM	MDM2
HNRNPM	FUS
HNRNPM	POLR2D
HIST1H2BM	SPI1
HIST1H2BM	TINF2
HIST1H2BM	RPL22
PCDH17	FLRT1
PCDH17	SPI1
POLR2D	GTF2H4
PRKN	NFKBIE
FUS	POLR2A
RALBP1	POLR2A
DLGAP5	HIST1H2BE
RPL22	MDM2
GTF2H4	POLD1
GTF2H4	POLR2A
MDM2	TAB1
