#tail	head
POFUT2	ADAMTS6
TMED9	SEC23B
VAMP7	SH3GL1
GIMAP5	JAGN1
ELL3	SUPT4H1
ELL3	EAF2
NELFB	TCEA1
NELFB	JUN
NELFB	CYP19A1
GPC1	SH3GL1
GPC1	B3GAT1
GPC6	CHST8
SPATC1L	LZTS2
SPATC1L	SYCE1
FNBP1L	PIK3CD
FNBP1L	SH3GL1
GRIPAP1	OIP5
GRIPAP1	AARD
CYP19A1	JUN
CYP19A1	IL1A
CYP19A1	CDK2
CYP19A1	KHDRBS2
DLG1	SEC23B
DLG1	SLC10A1
DLG1	SH3GL1
DLG1	CDK2
SEC23B	HOXA3
SEC23B	TCEA1
SEC23B	SH3GL1
SEC23B	TMED10
SMIM3	LZTS2
SMIM3	TMEM218
EAF2	SUPT4H1
EAF2	TCEA1
TMEM218	TMEM207
AHCYL2	JUN
TMED10	CDK2
TMED10	JUN
TMED10	CAPZB
SUPT4H1	JUN
PBX1	HOXA3
FGB	TCEA1
FGB	KHDRBS2
KHDRBS2	NPDC1
SH3GL1	PIK3CD
SH3GL1	TCEA1
PIK3CD	ERAS
CCL4L2	JAGN1
CCL4L2	SLC10A1
LZTS2	MORF4L2
LZTS2	RNF41
CAPZB	CDK2
PPP2R5E	MARK2
PPP2R5E	E2F1
GINS1	MCM6
GINS1	E2F1
E2F1	CDK2
E2F1	MCM6
ARID3A	MORF4L2
JUN	IL1A
JUN	MORF4L2
JUN	HOXA3
JUN	MARK2
JUN	ZBTB32
NPDC1	CDK2
BAG3	TMEM207
BAG3	MCM6
RNF41	P4HA1
RNF41	MARK2
TEX12	COX5B
TEX12	OIP5
OIP5	TLX3
OIP5	COX5B
TLX3	ERAS
AARD	STX2
AURKAIP1	ZFP91
AURKAIP1	P4HA1
AURKAIP1	CDK2
