#tail	head
HEMK1	KRTAP19-1
CTDSP1	FGFR2
CTDSP1	MBP
CTDSP1	WWOX
STS	PTK2
STS	TNF
GNAQ	PARP1
GNAQ	TRIM25
GNAQ	NRAS
GNAQ	INPP5B
GNAQ	AGTR2
GNAQ	WNT7A
GNAQ	RPN1
GNAQ	EDN2
GNAQ	FZD9
SUPT7L	HIST1H3B
SUPT7L	HIST1H3J
SUPT7L	SUPT3H
PTGS1	ACSL4
PTGS1	ALB
PTGS1	IFNG
PTGS1	HIST1H4B
PTGS1	CYP4F2
PTGS1	APOA2
PTGS1	PARP1
PTGS1	HIST1H4J
PTGS1	TNF
PTGS1	NPHS1
PTGS1	HIST1H4F
HTR3A	VDAC3
HTR3A	PCNX3
HTR3A	CPNE1
HTR3A	SLC9A9
HTR3A	PARP1
HTR3A	GNG5
HTR3A	GNG8
HTR3A	KCNJ15
HTR3A	APOL2
HTR3A	TCF3
HTR3A	GNG4
CUL3	PRPF8
CUL3	KRT10
CUL3	PSMA1
CUL3	EIF3I
CUL3	NTRK1
CUL3	ALDH2
CUL3	PCBP2
CUL3	HIST1H4J
CUL3	SMC1A
CUL3	TARDBP
CUL3	LARP4
CUL3	KHSRP
CUL3	USP9X
CUL3	UBE2Q1
CUL3	PSME1
CUL3	IGF2BP2
CUL3	UBE2A
CUL3	TRIM28
CUL3	HSP90AB1
CUL3	AMPD2
CUL3	HIST1H4B
ZNF445	TRIM28
GPR52	FAM189B
HSPA8	WWOX
HSPA8	JAK2
HSPA8	FASN
HSPA8	CD40
HSPA8	ERBB3
HSPA8	ADSL
HSPA8	SNAPIN
HSPA8	OGT
HSPA8	SEC61B
HSPA8	DNAJC8
HSPA8	RPN1
HSPA8	PSMA1
HSPA8	SLC31A1
HSPA8	HIST1H2BE
HSPA8	MBP
HSPA8	SCAF8
HSPA8	POLR2G
HSPA8	PCBP2
HSPA8	PHF5A
HSPA8	EIF3I
HSPA8	ALB
HSPA8	EIF4A2
HSPA8	TRIM25
HSPA8	GRB2
HSPA8	HIST1H3B
HSPA8	FAM189B
HSPA8	HSP90AB1
HSPA8	DNAJB4
TNF	CYP2B6
TNF	FGF21
TNF	CEBPA
TNF	AMPD2
TNF	NR1H4
TNF	CDK1
TNF	ALDH2
TNF	TP73
TNF	PTK2
TNF	IFNG
TNF	KLK3
TNF	SLC2A1
TNF	CYCS
TNF	HNF4A
TNF	PSME1
TNF	AGTR2
TNF	PSMA4
TNF	ALDH3B1
TNF	DDX19B
TNF	APOA2
TNF	SLC39A6
TNF	NEFL
TNF	IFNAR1
TNF	SMO
TNF	G6PC
TNF	PSMA1
TNF	ONECUT1
TNF	BAG4
TNF	TTR
TNF	KHSRP
TNF	SLC31A1
PBX1	NOTCH2NLA
PBX1	CDCA7L
PBX1	HIST1H4J
PBX1	TCF3
PBX1	NFIB
PBX1	HIST1H2BE
PBX1	TTR
PBX1	HIST2H2AA4
PBX1	HIST1H4B
PBX1	POLR2G
PBX1	HIST1H4F
PBX1	SOX2
UBE2A	ZMYM2
UBE2A	ZBED1
UBE2A	PJA1
UBE2A	HIST1H2BE
UBE2A	NCL
UBE2A	HECTD1
PRDX2	DNM1L
PRDX2	U2AF2
PRDX2	KHSRP
PRDX2	PTK2
PRDX2	PRPF8
PRDX2	RETREG2
PRDX2	SAT1
PRDX2	CYCS
PRDX2	TRIM25
PRDX2	CDK1
MME	EIF4A2
MME	RPL7
MME	NCL
MME	KRT10
MME	ALDH2
MME	VDAC3
MME	HIST1H4B
MME	EIF3I
MME	HIST1H4J
MME	HIST1H2BE
MME	HIST1H4F
MME	ACSL4
SCN5A	CROT
SCN5A	SEC61B
SCN5A	APOA2
SCN5A	KRT10
SCN5A	NEFL
SCN5A	SNTA1
SCN5A	NPHS1
SCN5A	APOC1
SCN5A	ALB
SCN5A	TTR
SCN5A	SLC9A9
SAT1	CEBPA
SAT1	RDH10
SAT1	ALDH3B1
SAT1	ALPG
SAT1	GPD2
SAT1	CHD3
SAT1	NR1H4
SAT1	PSMA1
PPP2R5E	PSMA1
PPP2R5E	PPP2R5D
PPP2R5E	MTMR6
PPP2R5E	INS
PPP2R5E	CRIP1
PPP2R5E	PSMA4
PPP2R5E	SMC1A
PPP2R5E	TRIM25
PPP2R5E	NRAS
PPP2R5E	PDS5B
PPP2R5E	PSME1
TERT	NCL
TERT	AGO2
TERT	SLC2A1
PTK2	SLC2A1
PTK2	INS
PTK2	STAT3
PTK2	ALDH2
PTK2	HSP90AB1
PTK2	IFNG
PTK2	PLK1
PTK2	CYCS
PTK2	FASN
PTK2	SLC31A1
PTK2	ERBB3
PTK2	SH2D2A
PTK2	TP73
PTK2	NR1H4
PTK2	ALB
PTK2	CEBPA
PTK2	AMPD2
PTK2	NTRK1
NR1H4	HIST1H3B
NR1H4	FASN
NR1H4	PSME1
NR1H4	TCF3
NR1H4	FXYD7
NR1H4	G6PC
NR1H4	SLC9A9
MTF2	HIST2H2AA4
MTF2	HNF4A
MTF2	HIST1H4J
MTF2	HIST1H2BE
MTF2	HIST1H4F
MTF2	HIST1H3B
CTSB	TARDBP
CTSB	NEFL
CTSB	MBP
CTSB	TRIM25
CTSB	INS
