#tail	head
KRT18	ESR1
APPL1	RAB5C
APPL1	PRKACA
KRTAP4-12	PTPMT1
FKBP6	EEF2K
PYGL	PTPMT1
PYGL	ITPR2
LCP2	IRAK4
LCP2	PIK3C3
WAS	RHOJ
WAS	ARPC5
PTPMT1	KRTAP5-9
SLC5A10	SLC25A20
ESR1	GNG3
ESR1	SASH1
ESR1	MAPK1
ESR1	GLP1R
ESR1	IGHV1-69
ESR1	SKIL
PPP2R1B	ARPC5
PPP2R1B	PSMB6
EEF2K	PRKACA
SKIL	SASH1
ITPR2	GNG3
ITPR2	PRKACA
ITPR2	IGHV1-69
GLP1R	RTRAF
RHOJ	ARAP3
KRTAP5-9	HSD3B7
SASH1	IRAK4
GNG3	IGHV1-69
MAPK1	CDX2
TBL1XR1	PRKACA
SLC7A9	HACD1
HACD1	GYG1
IRAK4	IGHV1-69
PDGFRA	IGHV1-69
PRKACA	ARPC5
IGHV1-69	PIK3C3
RAB5C	ARPC5
