#tail	head
CCNDBP1	AMPD2
SGO2	PPP2CB
SGO2	PPP2R5E
SGO2	PPARA
CACNA2D2	VIM
CACNA2D2	CATSPER3
CACNA2D2	CACNB3
ABAT	P4HA3
ABAT	NDUFC1
ABAT	EPRS
SRSF9	RNF31
SRSF9	PAXBP1
SRSF9	SNRPC
SLC1A4	SLC8A1
SLC1A4	GPT2
SRC	SMN2
SRC	ATP6AP1
SRC	JMJD6
ESR1	POLR2I
ESR1	RBM39
ESR1	HIST1H3A
ESR1	NR1H4
ESR1	CTNNB1
ESR1	PLCG1
ESR1	VDAC1
ESR1	HIST2H4A
ESR1	SF1
NFE2L1	EML3
GEMIN8	SNW1
GEMIN8	SEPHS1
SEPHS1	ALDH1A3
SEPHS1	CSNK2A1
SEPHS1	EPRS
CDK8	KPNA1
CDK8	HIST1H3D
CDK8	MED7
EPRS	SNW1
EPRS	SF1
EPRS	GFPT1
EPRS	PRKAA1
PPP2R5E	CTNNB1
PPP2R5E	NDC80
PPP2R5E	KIF2C
CDC40	SUZ12
CDC40	IGF2BP3
CDC40	SNW1
HIST2H4A	GFPT1
HIST2H4A	BARD1
HIST2H4A	MORF4L1
HIST2H4A	SIRT6
HIST2H4A	PPARA
HIST2H4A	SUZ12
HIST2H4A	HIST1H3D
HIST2H4A	JMJD6
NR1H4	PPARA
NR1H4	SERPINC1
CENPM	HIST1H3D
CENPM	PPP2CB
CENPM	RANBP2
CENPM	NDC80
BARD1	POLR2I
BARD1	HIST1H3D
BARD1	UBE2L3
BARD1	USP7
WNT4	PPARA
USP7	CSNK2A1
USP7	SNX9
USP7	PPP2CB
USP7	SUZ12
SLC25A10	PLOD1
CSNK1A1	RPL4
CACNB3	VIM
CACNB3	VDAC1
ZNF330	ZNF408
ZNF330	ZNF440
JMJD6	HIST1H3A
SNRPC	GABARAP
SNRPC	SNRPD3
AMPD2	VIM
AMPD2	RNF144B
CASK	SMN2
CASK	SNW1
CASK	RPRD1B
OTX1	WWOX
ATP6V0A4	AQP8
KPNA1	RPRD1B
KPNA1	RANBP2
SNX9	RPRD1B
SNX9	SF1
EIF3J	EIF4A2
VDAC1	NQO1
VDAC1	CSNK2A1
VDAC1	EIF4A2
ZNF408	FRAS1
IGF2BP3	RBM39
IGF2BP3	SMN2
IGF2BP3	SF1
RNF144B	UBE2D1
RNF144B	NT5C1B
MYCL	EPC2
GBGT1	ABO
GBGT1	RRM1
GBGT1	MGAT4B
UGT2B11	GYS2
BRWD3	CSNK2A1
MLN	DRD5
RPL4	CTNNB1
RPL4	GABARAP
RPL4	CHD4
RRM1	GYS2
RRM1	ABO
RRM1	SLC23A1
GYS2	PIGQ
ENTPD3	ABO
OS9	CLN5
KBTBD13	UBE2L3
YEATS4	HIST1H4A
MCPH1	RBM39
SIRT6	UBE2D1
SIRT6	CHD4
SIRT6	VIM
GFPT1	SF1
GFPT1	CTNNB1
SLC8A1	ATP6V1E2
CSNK2A1	CTNNB1
CSNK2A1	SUPT5H
CSNK2A1	WWOX
CSNK2A1	SMN2
EHMT1	HIST1H3D
PPT2	SARS2
NUP214	SNRPD3
UBE2D1	CTNNB1
UBE2D1	RNF31
HIST1H3A	AEBP2
HIST1H3A	KIF2C
HIST1H3A	HIST1H4A
HIF1A	WWOX
HIF1A	ADK
HIF1A	MIF
HIF1A	PPARA
HIF1A	FHL2
SPART	WWOX
ADK	ALDH1A3
SPINT2	POM121
NDUFC1	ENTPD1
AQP8	ATP6V1E2
AQP8	CA9
HIST1H3D	SNW1
HIST1H3D	MED14
HIST1H3D	CHD4
IGHV3-33	FGF1
SUPT5H	MED14
FAAP24	MUS81
PLOD1	GABARAP
PLOD1	P4HA3
PLOD1	SLC13A3
PPARA	RPRD1B
PPARA	VIM
PPARA	CTNNB1
UBE2M	DCTN6
UBE2M	PGD
UBE2M	SNW1
UBE2M	VIM
UBE2M	SNRPD3
POM121	SNRPD3
SRPK1	SF1
HIST1H4A	PAXBP1
PGD	SNW1
CHD4	SNRPD3
CHD4	CTNNB1
OBP2A	ALDH1A3
RPRD1B	POLR2I
RPRD1B	CTNNB1
SF1	SNRPD3
SF1	PAXBP1
SF1	PLEKHA1
SF1	CCAR1
CA9	ENTPD1
PPP2CB	SMN2
NDC80	RANBP2
NDC80	KIF2C
ENTPD1	ALDH1A3
FOXQ1	RANBP2
XRCC3	TOP3A
SLC23A1	PLCG1
TOP3A	MUS81
SMN2	SNRPD3
SMN2	RANBP2
DCTN6	SPTBN2
KIF2C	RANBP2
KIF2C	SNW1
ALDH3B1	PDE7B
POLR2I	CCAR1
NT5C1B	PDE7B
SNRPD3	SNW1
SNW1	RANBP2
SNW1	PAXBP1
PDE7B	ALDH1A3
