#tail	head
GABPB2	GALNT10
BHLHE41	NOG
TTC1	HSPA8
TTC1	SHMT1
TTC1	HSPA1B
TTC1	HIST1H4D
TTC1	JUN
ESRRA	NOG
ESRRA	PTGES
ESRRA	YY1AP1
ESRRA	HPGD
ESRRA	APP
ESRRA	GATA1
PLRG1	APP
PLRG1	HSPA8
PLRG1	RBM39
PLRG1	JUN
PLRG1	SF3B6
PLRG1	POLR2I
PIK3R6	EFNA5
PIK3R6	GRB2
PIK3R6	FGFR4
DYNLL2	TUBB8
DYNLL2	PPP2R5E
DYNLL2	TUBB
RBM39	APP
RBM39	TRMT112
RBM39	SF3B6
RBM39	JUN
ST6GALNAC5	NOG
ST6GALNAC5	ST6GALNAC3
ST6GALNAC5	CRLS1
ST6GALNAC5	JUN
ST6GALNAC5	ST6GALNAC4
FGFR4	NOG
FGFR4	MAPK14
FGFR4	IGLC2
FLYWCH2	HSPA8
HSPA8	HSPA1B
HSPA8	PRKAB2
HSPA8	APP
HSPA8	SF3B6
HSPA8	IRAK1BP1
HSPA8	POLR2I
HSPA8	TUBB
HSPA8	JUN
HSPA8	HNRNPA2B1
HPGD	PTGES
HPGD	NOG
PRKAB2	HNRNPA2B1
PRKAB2	TUBB
PRKAB2	IRAK1BP1
PRKAB2	HSPA1B
PRKAB2	HIST1H4D
PRKAB2	YY1AP1
HNRNPA2B1	GRB2
HNRNPA2B1	JUN
YY1AP1	MAPK14
PPP2R5E	NF1
PPP2R5E	NOG
PPP2R5E	APP
RUNX1	AES
RUNX1	HIST1H4D
RUNX1	GATA1
RUNX1	GCC1
RUNX1	TMEM99
RUNX1	MOV10
HSPA1B	GRB2
HSPA1B	CCAR2
HSPA1B	NOG
HSPA1B	TUBB
HSPA1B	GATA1
HSPA1B	APP
HSPA1B	IRAK1BP1
JUN	TMEM99
JUN	SHMT1
JUN	GATA1
JUN	POLR2I
JUN	MAPK14
JUN	APP
JUN	SF3B6
SHMT1	HIST1H4D
ST6GALNAC3	CRLS1
ST6GALNAC3	NOG
ST6GALNAC3	MUC19
GRB2	AES
GRB2	TUBB
GRB2	HIST1H4D
GCC1	AES
POLR2I	SF3B6
POLR2I	HIST1H4D
TUBB8	TUBB
NOG	NSL1
NOG	IRAK1BP1
NOG	MOV10
NOG	PTGIS
NOG	NF1
CCDC33	APP
CRLS1	ST6GALNAC4
TUBB	APP
TUBB	DNAH5
MAPK14	AES
MAPK14	HIST1H4D
MOV10	AES
MOV10	APP
GATA1	APP
GATA1	TRMT112
GATA1	HIST1H4D
NF1	APP
NF1	CCAR2
PTGIS	APP
APP	SF3B6
