#tail	head
PRRC2A	SIRT7
SELENOK	STT3A
SIRT7	WDR75
SIRT7	ABCF1
SIRT7	ESR2
SIRT7	RRP1B
PRKDC	CTNNB1
PRKDC	UBB
PRKDC	IFI44L
PRKDC	CDK9
PRKDC	RRP1B
PRKDC	RPA2
PRKDC	CSNK1A1
IFNA13	CTNNB1
IFNA13	IFI44L
IFNA13	KRT14
TCTN1	SEC63
RPL35A	KRAS
RPL35A	HDGF
CDR2	OAZ2
CDR2	TCHP
RPA2	FOXA1
GNA15	KRAS
GNA15	ESR2
BZW2	FOXA1
BZW2	ESR2
KRAS	CTNNB1
SEC63	CTNNB1
SEC63	PTP4A3
ARVCF	TJP1
ARVCF	CTDSPL
ARVCF	CTNNB1
WDR75	FOXA1
WDR75	ESR2
NOS3	CTNNB1
NOS3	FOXA1
NOS3	ESR2
RRP1B	HDGF
RRP1B	ESR2
UBE2L6	UBOX5
UBE2L6	ESR2
RUNX1	CDK9
RUNX1	MND1
EMC1	ESR2
CTDSPL	CDK9
IARS	TAT
IARS	CDK9
IARS	UBE2M
UBE2M	PSMC6
UBE2M	HDGF
UBE2M	PSMA5
UBE2M	UBB
TPTE	LGR4
ESR2	PSMC6
ESR2	CTNNB1
ESR2	CDK9
PSMA5	CTNNB1
PSMA5	UBB
PSMA5	PSMC6
PSMA5	CSNK1A1
FOXA1	HDGF
FOXA1	CSNK1A1
ABCF1	HDGF
CSNK1A1	CDK9
CSNK1A1	PSMC6
CSNK1A1	UBB
CSNK1A1	ANKRD6
TJP1	CTNNB1
CDK9	CTNNB1
HDGF	UBB
HDGF	CTNNB1
PSMC6	UBB
UBB	CTNNB1
UBB	UBOX5
KRT14	TCHP
