#tail	head
DPYD	CLK1
TOMM22	PTPN1
TOMM22	EWSR1
TOMM22	MKI67
TOMM22	C1orf198
TOMM22	ILF2
ZC3H11A	SERPINH1
SORD	SNW1
SORD	MTMR2
SORD	PLS3
ESR1	RNF4
ESR1	EGFR
ESR1	MYO6
ESR1	ITK
ESR1	LGALS7
ESR1	SNW1
ESR1	RPL10A
ESR1	KIF11
ESR1	DAB2
ESR1	CSNK2A1
ESR1	CEBPA
ESR1	POLR2E
ESR1	MTA2
KMT2D	CTNNB1
KMT2D	H2AFX
FOXC1	VARS
FOXC1	KCNJ13
RNF2	RBMX
RNF2	EIF6
RNF2	HECW2
RNF2	POLR2E
RNF2	SYNE2
RNF2	INS
RNF2	RPL24
RNF2	EFTUD2
RNF2	CENPM
RNF2	HIST1H4F
PTPN1	MARCKSL1
PTPN1	HSCB
PTPN1	MSN
SERPINH1	STON2
SERPINH1	MYO6
SERPINH1	SLC2A3
SERPINH1	GRB2
SERPINH1	AHCY
SERPINH1	DAB2
SERPINH1	RAE1
SERPINH1	SEC13
SERPINH1	EFTUD2
SERPINH1	SPTAN1
SERPINH1	STAU1
SERPINH1	RPL5
SLC5A3	SLC2A3
TNK2	OCRL
MKI67	SERPINB7
MKI67	NIPBL
MKI67	SP1
MKI67	POP1
IK	DDX5
IK	LSM7
MLH1	UBOX5
MMS19	EGFR
PLS3	MSN
PLS3	SDC4
PLS3	EFTUD2
CENPM	HIST1H4F
CENPM	HIST1H2BA
BARD1	EWSR1
BARD1	MSH3
BARD1	ASH2L
NIPBL	SP1
INS	RPL10A
INS	EYA3
INS	STAU1
INS	UPF2
INS	EFTUD2
INS	SLC2A3
INS	CENPU
INS	EEF1A1
INS	SLC7A5
INS	EIF6
INS	GSTT1
INS	GNPNAT1
INS	LGALS7
INS	FH
INS	DDX5
INS	HLA-DQA2
SDC4	RPL5
SDC4	STON2
SDC4	DAB2
SDC4	CTTN
SDC4	EEF1A1
ATP12A	PHKA1
ATP12A	SRPRB
ATP12A	ETV4
HLA-DQB2	HLA-DRA
RAE1	CDCA8
RAE1	SNW1
RAE1	NAPA
RAE1	SEC13
RAE1	SPTAN1
ARMCX2	XBP1
VAMP4	DAB2
ETV4	PAFAH2
ETV4	PRMT8
ETV4	STK11
ILF2	RBMX
ILF2	CUL5
ILF2	STON2
ILF2	CTTN
ILF2	RPL17
AMDHD2	HKDC1
MGST3	RNF4
DDX19B	HLA-DRA
DDX19B	LGALS7
C1QTNF9	OR5I1
BCL11A	SP1
BCL11A	STAT1
BCL11A	MTA2
BCL11A	MEF2A
RGS9	CCT7
MARS	XPNPEP1
MARS	HIST1H4F
MARS	EGFR
ACTG2	CTNNB1
ATXN10	EGFR
SEC13	FH
SEC13	DDX5
SEC13	HLA-DQA2
SEC13	RPL5
SEC13	STON2
SEC13	OCRL
SEC13	NDEL1
SEC13	SLC2A3
MTMR2	XPNPEP1
NTPCR	HKDC1
NTPCR	HECW2
NTPCR	PHKA1
SDC1	SP1
SDC1	B3GAT3
SDC1	STAT1
SDC1	TNXB
RPL10A	CENPU
RPL10A	CUL5
RPL10A	UPF2
POLR2E	HIST1H2AB
POLR2E	RBMX
POLR2E	EFTUD2
POLR2E	DDX5
POLR2E	SF3A2
HMGCR	SRD5A1
HMGCR	AKR1B1
CD74	SP1
NONO	RIOK1
STAU1	TUBB3
STAU1	RPL17
STAU1	SPTAN1
STAU1	DDX5
STAU1	VARS
CEBPA	CTNNB1
CEBPA	SMN2
CEBPA	IL1RAPL1
MAP3K14	ITGAV
MAP3K14	RPL5
MAP3K14	DDX5
POU6F2	SMN2
EIF6	RPL17
EIF6	RAN
HLA-DRA	KIF11
HLA-DRA	ITK
CD40	RNF4
AHCY	EWSR1
AHCY	STON2
AHCY	HIST1H4F
AHCY	CSNK2A1
AHCY	SLC29A2
AHCY	XBP1
VARS	SNW1
VARS	EGFR
GRB2	OCRL
GRB2	CLTB
GRB2	DDX5
GRB2	TSC2
GRB2	DUSP13
GRB2	ITPR2
STON2	RPL5
STON2	MYO6
STON2	SLC2A3
STON2	DDX5
CSNK2A1	EFTUD2
CSNK2A1	RBMX
CSNK2A1	SP1
CSNK2A1	MEF2A
CSNK2A1	EGFR
EFTUD2	SPTAN1
EFTUD2	FARSB
NAPA	ASH2L
NAPA	DAB2
NAPA	FH
NAPA	CTNNB1
MRPL40	MRPL35
UBE2D2	RNF4
UBE2D2	HECW2
UBE2D2	CTNNB1
CLK1	DENND4A
CLK1	RBMX
CLK1	RNF4
CTTN	C1orf198
CTTN	SLC2A3
CTTN	MARCKSL1
CTTN	FH
CTTN	SMN2
EYA3	SP1
PEX14	TUBB3
PEX14	KIF11
SLC4A7	SNW1
SLC4A7	SYNE2
HIST1H4F	RNF20
HIST1H4F	MORF4L2
HIST1H4F	RNF4
HIST1H4F	MTA2
SART1	RBMX
SART1	DDX5
SART1	RNF4
SART1	SNW1
SART1	POLR2A
MARCKSL1	SP1
MARCKSL1	SNW1
BCOR	SP1
PRPF4	DDX5
PRPF4	SNW1
SEC61A1	RNF4
LGALS7	HECW2
LGALS7	TUBB3
LGALS7	SSBP1
EWSR1	CTNNB1
EWSR1	PRMT8
EWSR1	EGFR
EWSR1	SMN2
EWSR1	TRA2B
EWSR1	BCL9L
EWSR1	PRKCSH
EGFR	DUSP23
STK11	ITGAV
TUBB3	ITGAV
TUBB3	SNW1
TUBB3	MSN
TUBB3	SP1
ITK	OCRL
DAB2	SNW1
FUT1	ABO
RPL5	SNW1
RPL5	NIFK
GUCY2C	PDE6G
MEF2A	SLC29A2
MEF2A	HIST1H2BA
MEF2A	HAO1
ITGAV	ITGA5
ITGAV	STAT1
SYNE2	NDEL1
GUCA1C	PRKG2
GUCA1C	PDE5A
SPTAN1	RPL17
SPTAN1	DDX5
RNF4	BAZ1B
RNF4	MORF4L2
RNF4	GNPAT
RNF4	RPL17
RNF4	HIST1H2BA
RNF4	DDX5
SP1	DDX5
SP1	BCL9L
SP1	NDEL1
SP1	FH
SP1	TAOK2
SP1	CPT1B
SP1	ITPR2
STAT1	IRF1
STAT1	MORF4L2
DUSP23	BAZ1B
RPL24	RIOK1
HIST1H2AB	SMN2
FARSB	DDX5
RBMX	DDX5
NDEL1	OFD1
MYO6	POLR2A
MYO6	SMN2
MYO6	CTNNB1
SF3A2	POLR2A
SF3A2	LSM7
UPF2	OR5I1
UPF2	IRF1
CLTB	OCRL
ONECUT1	ANKRD1
ONECUT1	RNF20
HIST1H2BA	MORF4L2
CTNNB1	POLR2A
ASH2L	BCL9L
ASH2L	H2AFX
SMN2	SNW1
SMN2	SLC2A3
SMN2	DDX5
CEP44	OFD1
OR5I1	HOXD13
HAUS7	GSTM1
AKR1B1	SLC2A3
DDX5	POLR2A
EEF1A1	MORF4L2
MORF4L2	SNW1
SMU1	TRA2B
SMU1	RIOK1
FH	SNW1
