#tail	head
GABPB2	NUP155
EEF1D	BCAR3
EEF1D	PRPF8
PPP4R2	PSMA1
PPP4R2	SNRPA1
VASN	SNRPA1
VASN	LRRC40
LRRC40	USP47
LRRC40	PGK2
LRRC40	LRRC57
ETFA	RDH13
HADHA	RPRD1B
HADHA	STON2
PFKL	PRPF8
PFKL	MTHFD1
NFE2L1	LEF1
NFE2L1	PSMA1
NFE2L1	CREBBP
NFE2L1	LRRC57
MECOM	CREBBP
MECOM	LEF1
RDH13	ALPI
RDH13	DEFA5
ASXL2	CREBBP
ALPI	STON2
ALPI	RPRD1B
SNRPA1	PRPF8
FABP7	CREBBP
FABP7	MGLL
ADAMTS3	COL2A1
RANBP9	FXR1
USP47	RPRD1B
HTRA1	DEFA5
HTRA1	COL2A1
STON2	RPRD1B
BCAR3	DEFA5
PRPF8	MTHFD1
KRTAP3-1	SPAG8
PGK2	BPGM
BPGM	MTHFD1
