#tail	head
SLC17A4	SLC5A10
THBS2	THBS3
SLC9A1	SLC25A20
SLC9A1	SLC27A4
SLC9A1	NFKB1
CCDC71L	CBX5
CCDC71L	SP1
NFKB1	COMMD6
NFKB1	SORT1
NFKB1	COPS5
NFKB1	SP1
BUB3	PSMB4
BUB3	PSMB7
BUB3	SF1
BUB3	PSME1
BUB3	MIS12
BUB3	TOP1
BUB3	RPSA
BUB3	SORBS1
BUB3	CDC5L
BUB3	PARP1
PLEKHA8	SP1
PLEKHA8	PI4KA
SLC1A4	SLC25A13
PSMC1	COPS5
PSMC1	UBE2C
PSMC1	PSMB7
PSMC1	CDC5L
PSMC1	COPS4
SRSF11	PPP1CA
SRSF11	SF1
MIS12	UBE2M
HIST1H2BN	ASB9
SLC5A10	SLC25A20
SLC5A10	SLC27A4
TRIM32	UBE2C
TRIM32	UBE2Q2
SP1	TBP
SP1	IGF2BP3
SP1	GABARAP
SP1	HNRNPA1
SP1	ITGB1
SP1	THBS3
SP1	PARP1
SP1	CANX
SP1	COPS4
SP1	STX4
SP1	PPP1CA
SP1	CAVIN1
DUSP14	PI4KA
PI4KA	CALML3
POLR1A	CAVIN1
POLR1A	TBP
ASB3	DCUN1D2
ASB3	ELOC
ASB3	COPS4
ASB3	UBE2M
UBE2C	ELOC
UBE2C	ASB1
RPL24	TMPO
RPL24	RPS9
RPL24	UBE2M
RPL24	HNRNPA1
RPL24	RPSA
LLGL1	STX4
LLGL1	CD46
UBE2Q2	ASB1
UBE2Q2	KLHL3
UBE2Q2	ELOC
TOP1	GABARAP
TOP1	HNRNPA1
TOP1	COPS5
TMPO	SF1
TMPO	HNRNPA1
TMPO	CDC5L
TMPO	HIST1H2BC
TMPO	PARP1
TMPO	CBX5
TMPO	CANX
TMPO	PPP1CA
TMPO	RPS9
SLC27A4	SLC25A20
SORBS1	GRIA1
SORBS1	SF1
SORBS1	HNRNPA1
SORBS1	IGF2BP3
ZBTB1	SPATA6L
ZBTB1	RPS9
ZBTB1	CAVIN1
COMMD6	COPS4
COMMD6	ASB9
COMMD6	COPS5
COMMD6	UBE2M
COMMD6	ASB1
COMMD6	KLHL3
COMMD6	ELOC
UBE2M	RPSA
UBE2M	RPS9
UBE2M	COPS5
UBE2M	ELOC
UBE2M	CALR
UBE2M	ASB1
UBE2M	PSMB7
UBE2M	CANX
AP1M2	SORT1
AP1M2	RPSA
RPSA	ITGA4
RPSA	HNRNPA1
RPSA	CBX5
RPSA	COPS4
RPSA	RPS9
CANX	GRIA1
CANX	HNRNPA1
COPS5	CTNNB1
COPS5	LARP1
COPS5	PARP1
COPS5	ASB1
COPS5	ELOC
COPS5	RPS9
COPS5	CDC5L
COPS5	HNRNPA1
PPP1CA	ITGA4
STX4	CTNNB1
ASB1	COPS4
ASB1	DCUN1D2
CBX5	CTNNB1
CBX5	HIST1H2BC
CBX5	PARP1
ELOC	PSME1
ELOC	PSMB4
ELOC	COPS4
LARP1	HNRNPA1
LARP1	RPS9
TBP	HIST1H2BC
TBP	CAVIN1
MSN	HNRNPA1
MSN	ITGA4
MSN	CALR
MSN	CTNNB1
SLC25A20	SLC25A13
CALR	SF1
CALR	GABARAP
SLC25A13	CTNNB1
SORT1	PARP1
KLHL3	DCUN1D2
CDC5L	GABARAP
CDC5L	IGF2BP3
DCUN1D2	COPS4
SF1	HNRNPA1
SF1	ITGA4
SF1	IGF2BP3
PSMB4	PSMB7
PSMB4	HNRNPA1
HIST1H2BC	HNRNPA1
HNRNPA1	IGF2BP3
HNRNPA1	CTNNB1
HNRNPA1	GABARAP
HNRNPA1	PARP1
HNRNPA1	RPS9
HNRNPA1	ITGA4
RPS9	GABARAP
PARP1	ITGA4
