#tail	head
CCNDBP1	THAP7
ADPGK	SLC2A14
PRKDC	ANXA2
PRKDC	ESR2
PRKDC	RAD50
PRKDC	AR
PRKDC	AUP1
PRKDC	CDC34
PRKDC	NUP35
KLHL11	UBE2R2
TRMT10B	NPM1
DNAJA2	SAFB
DNAJA2	NPM1
CCDC14	MEF2A
CCDC14	CCNB2
CCDC14	CCDC18
CCDC14	FGFR1OP
AKAP8	ESR2
CDC34	FAF2
CDC34	NCAPD2
CDC34	FBXO30
CCDC184	WDYHV1
NPM1	ANXA2
NPM1	PRKN
NPM1	ESR2
NPM1	CDC5L
NPM1	RAN
NPM1	HIST1H2BE
NPM1	ARF1
NPM1	APP
NPM1	DZIP1
MRPS26	AIFM1
WDYHV1	IL16
WDYHV1	INPP5K
WDYHV1	CYSRT1
WDYHV1	NUP35
WDYHV1	RPS6KA3
TMEM216	ACSL3
TMEM216	HNF4A
PPP1R3A	RPS6KA3
PPP1R3A	PPP1R9B
PPP1R3A	MEF2A
PPP1R3A	PPP1R11
CCNB1	EP300
CCNB1	GORASP1
CCNB1	TLE1
CCNB1	PRKN
CCNB1	RUNX2
CCNB1	NCAPD2
CCNB1	CDC5L
CCNB1	NDC1
CCNB1	CCNB2
CCNB1	BIRC5
IGLV2-11	GRAP2
IGLV2-11	FGF7
IGLV2-11	FGFR1OP
IGLV2-11	ESR2
IGLV2-11	TEC
SLC2A14	ACSL3
CCDC28B	UBL5
SERPINE1	ESR2
SERPINE1	EP300
SERPINE1	ITGB3
SERPINE1	APP
TDRD5	ONECUT1
EP300	BCL2
EP300	PRKN
EP300	RUNX2
EP300	STAT5A
EP300	EXO1
EP300	RAD50
EP300	RPL27
EP300	POU3F2
EP300	AR
THAP7	CYSRT1
THAP7	APP
THAP7	RUNX2
FAM8A1	AUP1
ATP5PF	ATP5ME
RPL27	NAP1L1
RPL27	RNPS1
RPL27	HNF4A
RPL27	RPL39L
RNPS1	ZNF165
RNPS1	NDC1
RNPS1	NUP35
RNPS1	NUP93
RNPS1	SART1
RNPS1	RPL26
RNPS1	ESR2
RNPS1	CDC5L
RNPS1	LUC7L3
RNPS1	RPL39L
RNPS1	RPL26L1
ARF1	CHRM3
ARF1	SPTB
ARF1	FOLR1
POU3F2	AIFM1
POU3F2	TXN
POU3F2	TEF
POU3F2	SPTB
POU3F2	FGF7
FGF18	TEC
FGF18	ESR2
FGF18	IGHV1-69
FGF18	GNB3
FGF18	FGF7
FGF18	IGKV2-28
PPP2R5A	ZNF598
PPP2R5A	BCL2
PPP2R5A	PSMA3
MLXIPL	ESR2
TEF	AIFM1
TEF	CRYGD
TEF	FGF7
TEF	HNF4A
TEF	MEF2A
NUP93	NDC1
NUP93	NUP35
NUP93	RAN
NUP93	ESR2
MRPL15	HNF4A
NDUFB3	APP
NDUFB3	HNF4A
NDUFB3	NDUFS7
NDUFB3	VNN3
HNF4A	NCAPD2
HNF4A	CDC5L
HNF4A	AR
HNF4A	VCL
HNF4A	RPL26
HNF4A	EXO1
HNF4A	OGFOD1
HNF4A	FAM20C
INPP5K	ESR2
INPP5K	NECAP2
INPP5K	PLEKHA1
INPP5K	PACSIN2
ZNF598	ACSL3
ZNF598	AIFM1
ZNF598	ANXA2
ZNF598	NCAPD2
TLE1	ONECUT1
TLE1	FOXA3
HIST3H3	HIST1H2BE
HIST3H3	RAD50
HIST3H3	RAN
FAF2	UBXN1
FAF2	AUP1
BCL2	APP
DRG2	ADSL
FOXA3	TOMM40
CCDC18	FGFR1OP
RPS6KA3	SRF
ACSL3	ESR2
ACSL3	APP
ESR2	H1F0
ESR2	IGHV1-69
ESR2	STAT5A
ESR2	TRAF4
ESR2	ADSL
ESR2	RPL26L1
ESR2	NDUFS7
ESR2	APP
ESR2	VCL
ESR2	GRAP2
ESR2	GORASP1
ESR2	ATP5ME
ESR2	NUP35
IGKV2-28	FGFR1OP
REPS2	PACSIN2
REPS2	PLEKHA1
AR	TOMM40
AR	WDR77
AR	UBE2R2
RUNX2	ALYREF
SF3B5	SART1
CNTF	CYSRT1
CNTF	APP
CNTF	MEF2A
CNTF	SRF
RPL26	WDR77
RPL26	RPL39L
SART1	LUC7L3
SART1	ALYREF
SART1	PRKN
SART1	UBL5
TRAF4	CATSPER4
TRAF4	SPTB
RPL26L1	RPL39L
RPL26L1	PRKN
RPL26L1	WDR77
TNC	FAM20C
TNC	TLN2
TLN2	CDC5L
TLN2	GRAP2
MEF2A	SPTB
MEF2A	PRMT8
RAD9A	RAD50
HBA1	NAP1L1
NDC1	BIRC5
WBP1	SYVN1
NDUFS7	NDUFAF6
SLC20A2	AIFM1
EXO1	ERCC8
CYSRT1	KRTAP8-1
NAP1L1	PSMA3
NAP1L1	ALYREF
PPP1R11	PPP1R7
PPP1R11	YAF2
ANXA2	SAFB
ANXA2	RAN
ANXA2	HIST1H2BE
PRMT8	ALYREF
RHOXF2	KRTAP8-1
LRR1	COMMD8
FOXJ2	LUC7L3
FOXJ2	RORA
UBE2R2	PRKN
UBE2R2	RORA
LUC7L3	ALYREF
LUC7L3	CDC5L
AMELX	FAM20C
CCNB2	APP
CCNB2	GORASP1
CCNB2	NCAPD2
CCNB2	BIRC5
TOMM40	SAFB
NDUFS6	AIFM1
NDUFS6	VNN3
PSMA3	KRTAP8-1
SPTB	GORASP1
AIFM1	PRKN
AIFM1	TXN
UBL5	TXN
PLEKHA1	NECAP2
FGFR1OP	FGF7
FGFR1OP	GNB3
FGFR1OP	RAD50
FGFR1OP	GRAP2
VNN3	RORA
ALYREF	WDR77
SAFB	WDR77
SAFB	VCL
WDR77	HIST1H2BE
ITGB3	VCL
ITGB3	APP
PRKN	VCL
PRKN	APP
DGKA	GNB3
BIRC5	HIST1H2BE
BIRC5	RAN
GNB3	FGF7
GNB3	CDC5L
KRTAP8-1	APP
IL16	ZNF165
FGF7	GRAP2
FGF7	SRF
CRYAA2	APP
HIST1H2BE	RAN
SRF	VCL
APP	VCL
