#tail	head
CEP63	TEX9
PRKDC	CTNNB1
PRKDC	AAR2
SIRT7	EIF2S1
SIRT7	KDM1A
SIRT7	PYGB
SUCLA2	EGFR
SUCLA2	SLC27A2
SUCLA2	ENTPD4
SUCLA2	CAD
SUCLA2	ENTPD8
SUCLA2	ATP1A2
SUCLA2	CTPS1
AGXT2	SDSL
AKR1C3	ADIPOQ
AKR1C3	MLH1
AKR1C3	HSD3B1
AKR1C3	AVP
FTCD	GNPDA1
FTCD	MTHFD1L
FTCD	CTPS1
FTCD	NADSYN1
GBA	MPO
GBA	ACAT1
ESR1	NCOA3
ESR1	NME1
ESR1	ZBTB33
ESR1	IGF1
ESR1	EGFR
ESR1	RAB11FIP1
ESR1	HIST1H2BO
ESR1	HSPB1
ESR1	JAK2
ESR1	HOXA10
ESR1	CYP21A2
ESR1	REPIN1
ESR1	STAT5A
ESR1	KCNJ15
ESR1	MTOR
ESR1	RPL9P9
ESR1	EIF2S1
CYP2C9	STAT5A
CYP2C9	IGF2
CYP2C9	IL1R1
CYP2C9	PARP1
CYP2C9	IGF1
CYP2C9	ADIPOQ
CYP2C9	HSD3B1
DECR1	DEGS1
DECR1	GMPR2
DECR1	DHRS4
DECR1	HADHB
DECR1	ME1
TNF	SLC5A1
TNF	IRS1
TNF	NFATC1
TNF	GCLM
TNF	IGF2
TNF	ATF1
TNF	CSF1R
TNF	FUS
TNF	RPL9P9
EXOC3	CTNNB1
DNAJA3	ADIPOQ
DNAJA3	EGFR
IGF2	AVP
IGF2	SHBG
IGF2	NCOR1
IGF2	IGF1
IGF2	SLC5A1
IGF2	HOXA10
C1GALT1	MGAT5
C1GALT1	GCNT7
TRIM14	EIF2S1
TRIM14	GCLM
TRIM14	AAR2
TRIM14	GCDH
AAR2	DNAJC10
AAR2	EGFR
AAR2	PARP1
AAR2	GCLM
AAR2	HSPB1
AAR2	MTHFD1L
PDE6D	GMPR2
HOXC6	KLF12
HOXC6	ADIPOQ
HOXC6	REPIN1
HOXC6	NCOR1
AASDHPPT	SEC23B
AASDHPPT	PLCG1
AASDHPPT	ACAA1
AASDHPPT	OGA
RGPD3	AKIRIN2
RGPD3	CDK1
XRN2	OGA
XRN2	KDM1A
SHBG	ADIPOQ
SHBG	IGF1
IGF1	IL11
IGF1	MPO
IGF1	TXN
IGF1	HSD3B1
IGF1	PARP1
IGF1	SLC5A1
EHD4	PTPRM
EHD4	STAT5A
NCOA3	SLC5A1
NCOA3	HIF1AN
NCOA3	HIST4H4
IGLV1-47	TRPC7
IGLV1-47	ERBB3
IGLV1-47	PLCG1
TFDP1	NCOR1
FGF12	DLG2
ME1	DEGS1
ME1	NADSYN1
ME1	CTPS1
ME1	NME1
CUL7	CCDC8
CUL7	STAU1
CUL7	ATF1
CUL7	CDK1
CCDC8	PARP1
BNIP2	RASGRP4
DLG4	DLG2
DLG4	RASGRP4
DLG4	SLC22A5
DLG4	SLC38A1
AVP	ADIPOQ
MUC6	B3GNT5
MUC6	B3GNT2
HIF1AN	KDM1A
HIF1AN	NFKBIE
HIF1AN	TCF12
ACSM3	BAAT
ACSM3	SLC27A2
ACSM3	NME1
ACAA1	BAAT
ACAA1	DBT
PHF12	KLF12
TCF12	DLG2
TCF12	NCOR1
TCF12	GCLM
MTHFD1L	NME1
MTHFD1L	PTPRM
MTHFD1L	MAT2B
MTHFD1L	NFATC1
ACAT1	HGSNAT
ACAT1	ACSS1
KDM1A	HIST1H2BO
KDM1A	GCLM
PYGB	DLG2
PYGB	SLC27A2
PYGB	PAN2
PYGB	NADSYN1
PYGB	CTPS1
MRPS22	TMEM126A
SEC23B	CTNNB1
ADIPOQ	IRS1
ADIPOQ	MED14
ADIPOQ	NCOR1
GCLM	CAD
GCLM	EGFR
GCLM	UPP2
GCLM	SLC22A4
GCLM	OGA
GCLM	NADSYN1
GCLM	CTPS1
MTOR	STAT5A
MPO	JAK2
MPO	CTNNB1
CSF1R	PARP1
UPP2	CAD
UPP2	MAT2B
UPP2	ATP1A2
SHMT1	GMPR2
SHMT1	HACD1
SHMT1	SLC38A1
ERBB3	PLCG1
ERBB3	JAK2
ERBB3	STAT5A
ERBB3	ABI2
ERBB3	CTNNB1
SLC22A5	ATP1A2
SLC22A5	GRIN2C
SLC22A5	SLC22A4
SLC22A5	EGFR
SLC22A5	SLC6A3
MARK2	REPIN1
MARK2	PKD1
MARK2	GAB1
ACER1	DEGS1
HGSNAT	DBT
RPL9P9	FUS
OGA	FUS
OGA	HIST1H2BO
PUS3	CCNO
IL1R1	IL11
IL1R1	JAK2
SLC22A4	GRIN2C
AFF2	ATF1
RHAG	GNPDA1
ATF1	NFATC1
ATF1	EGFR
