#tail	head
GOLT1B	SNTB2
SUMO2	LEF1
SUMO2	HIST1H4K
SUMO2	HIST2H4B
SUMO2	ALAS1
SUMO2	VCP
SUMO2	BAD
SUMO2	EEF1G
SUMO2	RCOR1
SUMO2	HNRNPF
SIRT7	DCAF13
SIRT7	STAG2
SIRT7	DST
SIRT7	RPL38
SIRT7	TNPO1
SIRT7	HNRNPF
SIRT7	HIST1H4K
SIRT7	KARS
DCAF13	JUN
DCAF13	RNF4
CACNA2D2	LEF1
CACNA2D2	FOXO4
CACNA2D2	ANXA2
CACNA2D2	GNG12
CACNA2D2	STIM1
CACNA2D2	HCAR3
RPL35A	AGO1
RPL35A	JUN
RPL35A	CFTR
RPL35A	U2AF1
HAUS6	CEP89
HAUS6	OGA
HAUS6	ACTR1A
HAUS6	CEP97
HAUS6	JUN
HOMER1	NRXN2
HOMER1	OGA
SNRPA	PCBP3
SNRPA	TST
SNRPA	SF3B4
SNRPA	TNPO1
SNRPA	HIST1H3H
SNRPA	U2AF1
SNRPA	CUL3
SNRPA	HNRNPF
SNRPA	CFTR
SNRPA	RBM15
CUL3	LRRC7
CUL3	KRT1
CUL3	COMMD4
CUL3	HNRNPF
CUL3	SERBP1
CUL3	TUBA4A
CUL3	TIPRL
CUL3	RBM14
CUL3	GART
CUL3	MTDH
CUL3	AGO1
CUL3	PGM3
CUL3	ACTR1A
CUL3	CCT7
CUL3	SEC24C
CUL3	HIST1H2BE
CUL3	IARS
RBM15	MYC
RBM15	CWC22
RBM15	SF3A3
RBM15	OGA
RBM4	DDX51
RBM4	CARM1
RBM4	MYH13
RBM4	HNRNPF
RBM4	MYC
ALAS1	SLC27A3
ALAS1	AMT
ALAS1	ACSF3
ALAS1	DLD
ALAS1	ADH6
CEP89	TUBA4A
CEP89	CEP97
CEP89	TCTN1
MGAT4C	MGAT3
FOXO4	SF3B4
FOXO4	TNPO1
FOXO4	SRSF2
FOXO4	VGLL4
FOXO4	PSEN1
FOXO4	GRM5
FOXO4	NLK
FOXO4	H3F3A
FOXO4	RCOR1
FOXO4	KMT2A
FOXO4	SPZ1
FOXO4	SPI1
FOXO4	PPP1CA
FOXO4	DST
FOXO4	MED1
SYNJ2	WNT5A
SYNJ2	AP2A2
SYNJ2	UPP2
SYNJ2	HGS
SYNJ2	CFTR
SYNJ2	PARP2
CFTR	AP2A2
CFTR	IARS
CFTR	TP53
CFTR	COPB2
CFTR	VCP
CFTR	SLC6A4
CFTR	PCBP3
CFTR	SFXN1
CFTR	RPL36
CFTR	HGS
CFTR	AIFM1
CFTR	SGIP1
CFTR	SEC24C
CFTR	JUN
CFTR	STON1
SF3B4	SF3A3
SF3B4	CCT7
SF3B4	POLR2I
SF3B4	RNF4
SF3B4	HNRNPF
SF3B4	LEF1
SF3B4	CWC22
PTGER4	PSEN1
PTGER4	DST
PTGER4	ZNF337
STXBP2	TCF3
STXBP2	MYC
ENTPD5	IMPDH1
ENTPD5	B4GAT1
ENTPD5	MGAT3
PPP1CA	CCDC8
PPP1CA	SMARCA5
PPP1CA	H3F3A
PPP1CA	TERF2
PPP1CA	DLD
PPP1CA	SRSF2
PPP1CA	TP53
PPP1CA	BAD
