#tail	head
CLEC10A	TSPO
NR1H3	SULT2A1
MARCH8	ARNT
MARCH8	UBE2D1
SUMO2	HIST1H4K
SUMO2	NUP153
SUMO2	STAT6
SUMO2	RANBP2
SUMO2	KAT2B
SUMO2	SOD1
SUMO2	HIST4H4
SUMO2	DDX3X
TRBC1	PTK2
TRBC1	GRAP2
TRBC1	CD86
PCBP1	DDX3X
PCBP1	HIST1H1D
PCBP1	PIK3CA
PCBP1	TP53
PCBP1	MED20
PCBP1	SHKBP1
PCBP1	SNRPA1
PCBP1	SKP1
PCBP1	MCM2
PCBP1	TFDP1
SYNJ1	PLA2G2E
SYNJ1	PI4KB
SYNJ1	PLCXD2
SYNJ1	CLTC
SYNJ1	IGKV4-1
CACNA2D2	CACNB1
CACNA2D2	EDN1
CACNA2D2	ACTG2
CACNA2D2	ACTN2
CACNA2D2	PYGB
CACNA2D2	DLG4
CACNA2D2	PRKCE
CACNA2D2	VDAC3
FAM221B	TSC2
FAM221B	TRIM50
FAM221B	RB1CC1
PLA2G2E	CPT1B
PLCXD2	OCRL
PPP2R1B	PTPDC1
PPP2R1B	RANBP2
PPP2R1B	ACADM
PPP2R1B	PIK3CA
COMMD5	KBTBD8
SESN2	PRKAG2
SESN2	PIK3CA
SESN2	RELA
SESN2	TP53
PTK2	PGR
PTK2	TSC2
PTK2	DUSP5
PTK2	ACTN2
PTK2	TRMT6
PTK2	CXCL10
PTK2	RELA
PTK2	STAT6
PTK2	EYA2
PTK2	CALR
PTK2	LGR4
PRKCE	CXCL10
PRKCE	TNFRSF1A
PRKCE	MAPK14
PRKCE	ZAP70
PRKCE	IGKV4-1
FLT3	TPTE2
FLT3	EYA2
CBLL2	PIH1D2
CBLL2	AK2
CBLL2	UBE2D1
VDAC3	DLG4
VDAC3	GRIN2A
VDAC3	CACNB1
VDAC3	CD4
ATP5F1B	CALR
ATP5F1B	ATP5F1C
MYLPF	CACNB1
AMPD2	CNOT10
AMPD2	CNOT3
AMPD2	FBXO9
AMPD2	ATIC
AMPD2	KBTBD8
OGFR	SRRM1
TFDP1	TRMT6
TFDP1	MCM2
TFDP1	SRRM1
TFDP1	TP53
TFDP1	HIST1H1D
TFDP1	BRMS1L
EDN1	TP53
EDN1	MAPK14
EDN1	CXCL10
EDN1	RELA
EDN1	STAT6
EDN1	TNFRSF1A
EDN1	SOD1
MCM2	KAT2B
MCM2	PYGB
MCM2	SNU13
MCM2	SNX9
MCM2	ACTG2
MCM2	HIST1H4K
MCM2	CLTC
AKR1D1	ACADM
LGR4	DDX3X
SNX9	JUP
SNX9	PRKAG1
SNX9	SHKBP1
DLG4	ACTG2
DLG4	ACTA2
PLAUR	HIST1H4K
PLAUR	HIST4H4
ATP5F1C	CLTC
ATP5F1C	ACADM
ATP5F1C	GSTT1
ATP5F1C	AK2
ATP5F1C	MED20
ATP5F1C	PTCH1
PTCH1	CLTC
KAT2B	SOD1
KAT2B	PGR
KAT2B	UBE2D1
KAT2B	PRKAG2
KAT2B	POLR2F
KAT2B	ACTN2
KAT2B	RELA
ACTG2	OCRL
ACTG2	ACTN2
ACTG2	JUP
ACTG2	CDH20
ACTG2	HNRNPA1
ACTG2	MYH1
GJB7	PYGB
CACNB1	PYGB
CACNB1	ACTN2
CNOT3	AK2
CNOT3	PRKAG1
POLR2F	HIST1H4K
POLR2F	SRRM1
POLR2F	PPIE
POLR2F	HIST1H4J
TRIM50	DDX3X
TRIM50	HNRNPA1
PYGB	OCRL
PYGB	GRIN2A
PYGB	DUSP10
PYGB	CLIC2
AK2	NARS
AK2	EXOSC5
AK2	SOD1
AK2	KBTBD8
DUSP10	ACTA2
RPL4	ARNT
RPL4	ACTA2
RPL4	SQSTM1
ACTA2	OCRL
ACTA2	CLIC2
ACTA2	MAPK14
ACTA2	HNRNPA1
ACTA2	CDH20
PRKAG1	PRKAG2
PRKAG1	STAT6
PRKAG1	SHKBP1
PRKAG1	RHEB
LIN37	TUBB3
LIN37	HIST1H4K
LIN37	TEX11
TPT1	RHEB
MYH1	TP53
ARNT	TP53
ARNT	CLTC
ARNT	RELA
ARNT	DDX3X
PGR	HIST1H4K
PGR	TP53
TPTE2	ABL1
TPTE2	PIK3CA
TPTE2	PI4KB
CXCL10	HIST1H4J
CXCL10	PIK3CA
CXCL10	HIST1H4K
CXCL10	CALR
CXCL10	HIST4H4
ZAP70	PTPRM
ZAP70	DUSP5
ZAP70	MAPK14
ZAP70	UBE2L3
ZAP70	CD4
TRMT6	NETO2
TRMT6	SNU13
IL36B	IL1F10
IL36A	STAT6
IL36A	IL1RL2
TP53	MAPK14
TP53	DDX3X
TP53	HIST1H1D
TP53	ABL1
TP53	CLTC
TP53	UBE2D1
TP53	SOD1
TP53	HMGB2
CALR	HIST1H4J
CALR	SQSTM1
CALR	EYA2
CALR	SHKBP1
AMY1B	SLC2A4
AMY1B	MUC7
UBE2D1	SKP1
UBE2D1	FBXO9
UBE2D1	RELA
ABL1	EYA2
ABL1	MAPK14
ABL1	MICAL1
CD4	MAPK14
CD4	FNBP1
CD4	CD86
CD4	HNRNPA1
CD4	GRAP2
SLC2A4	CLTC
UBE2L3	SKP1
UBE2L3	RELA
UBE2L3	RNF217
ACTN2	CLIC2
ACTN2	SLC6A19
GSTT1	SHKBP1
GSTT1	SNRPA1
GSTT1	SQSTM1
GSTT1	JUP
GSTT1	GGT7
GSTT1	TSC2
GSTT1	SOD1
PPIE	SNRPA1
PPIE	PRPF18
PPIE	DDX3X
TUBB3	JUP
RB1CC1	RHEB
RB1CC1	PRKAG2
RB1CC1	PIK3CA
PRPF18	SNRPA1
PRPF18	DDX3X
PRPF18	SRRM1
PIK3CA	GRAP2
PIK3CA	RELA
PIK3CA	CLTC
PIK3CA	OCRL
PIK3CA	STAT6
PIK3CA	RRM2
EXOSC5	PIH1D2
EXOSC5	PRKAG2
EXOSC5	TEX11
HIST1H4K	MAPK14
HIST1H4K	CD86
HIST1H4K	TNFRSF1A
NUP153	SMARCC2
NUP153	SRRM1
NUP153	POLDIP3
FNBP1	CLTC
FNBP1	OCRL
TNFRSF1A	HIST4H4
TNFRSF1A	SOD1
SMARCC2	SRRM1
SOD1	MAPK14
RELA	MAPK14
RELA	CLTC
RELA	HIST4H4
RELA	SKP1
CLTC	OCRL
CLTC	HNRNPA1
CLTC	SHKBP1
POLDIP3	RANBP2
POLDIP3	HNRNPA1
HIST1H4J	DDX3X
TSC2	PRKAG2
FBXO33	SKP1
CD86	GRAP2
SQSTM1	HNRNPA1
SQSTM1	OCRL
SQSTM1	MAPK14
OCRL	SHKBP1
SRRM1	HNRNPA1
SRRM1	RANBP2
MAPK14	HIST4H4
HIST4H4	DDX3X
NARS	JUP
