#tail	head
ERCC5	UVSSA
NUMB	APP
NUMB	XPO1
NUMB	SGF29
NUMB	PSMD1
NUMB	PSMC3
CD36	PXN
HIST2H3D	ATF2
HIST2H3D	PADI6
HIST2H3D	CDCA8
HIST2H3D	HIST1H3F
HIST2H3D	HIST3H3
HIST2H3D	HOXB3
HIST2H3D	KIF3A
LARS2	NME1-NME2
AHR	ZEB1
AHR	ATF2
AHR	TGFB1
AHR	GTF2A1
AHR	AGR2
AHR	CCND2
AHR	ESR2
AHR	HNRNPL
AHR	SORT1
AHR	REL
AHR	FOXD3
KPNA1	NUP54
KPNA1	PKM
KPNA1	OGA
KPNA1	LMNA
STIM1	TRPM7
STIM1	MAP4K4
STIM1	TMEM17
STIM1	STIM2
STIM1	TPM3
CENPQ	CENPU
CENPQ	CDCA8
CENPQ	XPO1
LSM4	SNRNP40
LSM4	RBMX
LSM4	MAGOH
LSM4	PRPF4
LSM4	SF3B6
EXOC4	RABEP1
EXOC4	HNRNPL
PSMD1	NXF1
PSMD1	BIRC2
PSMD1	HDAC5
HSFY1	TOX2
HNRNPL	SF3B1
HNRNPL	EFTUD2
HNRNPL	SRRT
HNRNPL	OGA
HNRNPL	ITGA4
HNRNPL	SRC
HNRNPL	SNRPE
HNRNPL	HDAC5
HNRNPL	DHX15
HNRNPL	DDX3X
HNRNPL	RABEP1
HNRNPL	XRCC5
PPP2R5A	XPO1
PPP2R5A	UBA52
ITPR1	TPM3
ITPR1	MYL12A
ITPR1	ESR2
ITPR1	BCL2L1
ITPR1	CDK5R1
HOXB3	HIST1H2BJ
HOXB3	NKX2-1
HOXB3	PPARA
HOXB3	HIST1H2BO
HOXB3	STAT5A
MAGEB6	HACL1
MTHFD1L	DHFR
MTHFD1L	AAR2
MTHFD1L	PCK1
MTHFD1L	OGA
POLR2C	CUL5
POLR2C	RBMX
POLR2C	DDX3X
POLR2C	MAGOH
POLR2C	HIST1H2BO
POLR2C	DHX15
POLR2C	ESR2
POLR2C	POLR2D
UBE2J1	HSPA5
FOXJ3	HNF1A
FOXJ3	MAX
HNF1A	TSG101
HNF1A	ACSL4
HNF1A	ANPEP
HNF1A	FOXD3
HNF1A	MYOG
HNF1A	ARNT
HNF1A	CNTF
AMT	AOC1
RPS6KA3	HIST1H3F
RPS6KA3	ZEB1
KBTBD8	UBA52
KBTBD8	UBE2V1
ESR2	LDHA
ESR2	STAT5A
ESR2	UBTF
ESR2	TMED10
ESR2	PHB2
ESR2	HSP90AB1
ESR2	RPN2
ESR2	ACSL3
ESR2	DBNL
ESR2	XAB2
ESR2	PEX13
ESR2	TTN
ESR2	DGAT1
ESR2	SLC25A24
ESR2	S100A16
ESR2	SGF29
ESR2	CD59
ESR2	IGLV2-23
SUV39H1	THRA
SUV39H1	E2F3
SUV39H1	HDAC5
KDM2A	SUCLG2
KDM2A	FOXO4
KDM2A	SUCLG1
KDM2A	NRF1
HIST2H2AA4	RARA
HIST2H2AA4	POLR2J
HIST2H2AA4	HIST1H2BJ
HIST2H2AA4	UBTF
HIST2H2AA4	TINF2
RUNX2	ATP6V0A1
RUNX2	WRN
HIST1H3F	BRIP1
HIST1H3F	MCM5
HIST1H3F	KAT2B
HIST1H3F	SF3B1
HIST1H3F	PKM
HIST1H3F	POLR2J
HIST1H3F	RFC2
HIST1H3F	ROCK1
HIST1H3F	BCAS3
HIST1H3F	CDCA8
HIST1H3F	INTS1
HIST1H3F	BCL9L
HIST1H3F	HIST2H3A
HIST1H3F	HIST1H2BI
HIST1H3F	HNRNPK
LZIC	FSD1
DGAT1	ACSL4
DGAT1	SUCLG1
NKX2-1	PSMC3
NKX2-1	RARA
NKX2-1	NUP98
NKX2-1	NOTCH1
NKX2-1	PPARA
NKX2-1	FOXO4
RPS19	REL
HIST1H2AJ	CUL1
HIST1H2AJ	CUL5
HIST1H2AJ	POLR2A
HIST1H2AJ	HIST2H4B
HIST1H2AJ	HIST1H2BI
HIST1H2AJ	CENPI
SF3B6	SNRPE
SF3B6	MAGOH
SF3B6	RNPS1
SF3B6	OGA
SF3B6	SRRT
LDHA	ITGA4
LDHA	MAX
LDHA	CUL5
LDHA	POR
LDHA	XPO1
ADRA1A	TCF3
S100A16	APP
UNC119B	SRSF9
NUP54	POM121C
NUP54	MAGOH
NUP54	NXF1
PPARA	CSNK1E
PPARA	WRN
PPARA	RPL27
HIST2H3A	UBTF
HIST2H3A	KAT2B
HIST2H3A	HIST3H3
BCAS3	KAT2B
BCAS3	TGFB1
PGAM5	NTRK1
PGAM5	MAGOH
HMBS	AOC3
HMBS	FOXO4
GLYR1	FNTB
GLYR1	HIST1H3H
GLYR1	NXF1
GLYR1	TSG101
GLYR1	BOLA2
GLYR1	ARNT
SLC25A24	SLC25A3
PNPO	RHAG
PNPO	AOC1
PNPO	OGA
PNPO	AOC3
RABEP1	NTRK1
RABEP1	ESRRA
PNPLA7	APP
ZEB1	MAP4K4
ZEB1	ZNF395
ZEB1	FOXD3
ZEB1	NRF1
ZEB1	AGR2
MCM5	E2F1
MCM5	CCNA2
MCM5	HIST1H2BO
MCM5	FANCD2
RBMX	POLR2A
RBMX	DHX15
RBMX	SNRPE
