#tail	head
CHEK2	HIST1H3J
NTRK1	SMC2
NTRK1	ACOT1
SMC2	HIST1H3A
SMC2	HIST1H3I
SMC2	AURKA
SMC2	HNF4A
HNF4A	RSPRY1
HNF4A	EEF1AKNMT
HNF4A	SLC25A14
SPTAN1	IARS
PSMA6	FBXL7
PSMA6	PRKN
PSMA6	PSMC6
RIC3	ATP2A2
RIC3	AURKA
HIST1H3I	SARNP
HIST1H3I	AURKA
PNN	SGTA
TLR2	ATG16L1
TLR2	SIGLEC5
PRKN	AURKA
PRKN	MEOX1
IARS	AGBL5
IARS	AURKA
EIF4A3	MEOX1
HIST1H3J	MAPK14
HIST1H3J	TPX2
HIST1H3J	SMC1A
RARS	SGTA
MAPK14	HIST1H3A
MAPK14	RSPRY1
HADHB	ACOT1
HADHB	RSPRY1
PSMC6	RSPRY1
PSMC6	FBXL7
AURKA	PAFAH1B1
AURKA	RSPRY1
HIST1H2AJ	SMC1A
SHKBP1	SGTA
