#tail	head
FAM209A	TMEM100
MRPS10	MRPL48
MRPS10	MRPL38
MRPS10	ELAVL1
COG4	GOLGA2
MRPS11	MRPL42
SLC9A1	SLC1A5
UBC	JUN
UBC	XIAP
UBC	EIF3A
UBC	BABAM1
UBC	GTF2I
UBC	CENPS
UBC	HSPD1
UBC	ACP2
UBC	HIST1H2BH
UBC	PRKCZ
UBC	PDS5A
UBC	ESR1
UBC	HSP90AB1
UBC	MYCN
UBC	OTUD6B
UBC	USP4
UBC	MORC3
UBC	UBE2H
MRPL42	HSPD1
MRPL42	MRPL44
EIF4E2	REL
EIF4E2	HUWE1
EIF4E2	KRTAP10-5
EIF4E2	CGN
EIF4E2	NF1
BMI1	PTBP3
BMI1	EPAS1
BMI1	HSPA7
BMI1	MEPCE
KRT8	ATF2
KRT8	ESR1
KRT8	HSPD1
KRT8	SOS1
VSX1	PPP1R1B
VSX1	AP5M1
VSX1	IL1RAPL1
ADGRF2	JUN
ESR1	PSMD2
ESR1	IFNAR1
ESR1	DNAJB11
ESR1	PDE4B
ESR1	TRIM28
ESR1	SEPHS1
ESR1	NRF1
ESR1	MYC
ESR1	EPAS1
ESR1	AGR2
ESR1	MAP3K1
ESR1	UBB
ESR1	RPS26
ESR1	HUWE1
ESR1	SLC25A5
SLC6A20	FOXO4
DYNLL2	PDS5A
DYNLL2	ERCC6L
DYNLL2	KIF3A
MYCN	HUWE1
CREB3L1	MMD2
RPS26	SSR1
RPS26	HSP90AB1
MPV17	GATA2
MPV17	JUN
SEPHS1	DCK
SEPHS1	SEPT7
SEPHS1	CLTC
SEPHS1	PKM
SEPHS1	RPSA
SEPHS1	AASDHPPT
SEPHS1	DNAJB11
SEPHS1	UACA
SEPHS1	TRIM28
ZBTB3	SMYD1
ZBTB3	SP1
MLYCD	AACS
JADE2	SP1
ADCYAP1	FSHB
ADCYAP1	RELA
ADCYAP1	PDE4B
ADCYAP1	ARMC8
RNF115	UBB
SLX1B	CENPS
FMNL3	FOXO4
FOXO4	ELL2
FOXO4	TRIM8
FOXO4	GATA2
FOXO4	BIN1
FOXO4	SEMA6C
FOXO4	SOS1
FOXO4	MAZ
FOXO4	FOXF2
FOXO4	RNF138
SEMA6C	APOC1
SEMA6C	PDE4B
SEMA6C	SLC1A5
SLC1A5	SPTLC2
SLC1A5	GMPS
SLC1A5	APOC1
SLC1A5	JUN
DVL1	CBL
DVL1	CLTC
DVL1	EPOR
DVL1	HUWE1
BPIFA1	FOXF2
CBL	SH3GL1
CBL	TRIM8
RAB7A	CAPZA2
RAB7A	ELAVL1
RAB7A	MAZ
HIST2H2BE	MYC
HIST2H2BE	CUL1
HIST2H2BE	BABAM1
HIST2H2BE	ATF2
LIF	KRTAP12-3
LIF	TCF3
HSPD1	SEC24C
HSPD1	SNRNP70
HSPD1	SH3GL1
HSPD1	MRPL38
HSPD1	NDUFS1
HSPD1	SEC23A
HSPD1	OTUB1
HSPD1	HSP90AB1
HSPD1	MRPL48
MRPL48	MRPL45
MRPL48	MRPL38
MRPL48	SLC25A5
MRPL48	MRPL44
SOS1	KRT7
SOS1	IFNAR1
SOS1	BIN1
SOS1	PRKCZ
CANX	PTGIR
HSPA7	OTUB1
HSPA7	RELA
HSPA7	NUP107
HSPA7	NUP133
HSPA7	GRB2
HSPA7	HAUS1
HSPA7	ELAVL1
HSPA7	HSP90AB1
HSP90AB1	SEC23A
HSP90AB1	TCF3
HSP90AB1	RPSA
HSP90AB1	SP1
HSP90AB1	SEPT7
HSP90AB1	EIF4EBP1
HSP90AB1	MAZ
HSP90AB1	PITX2
HSP90AB1	MEPCE
HSP90AB1	SEC24C
HSP90AB1	MYC
HSP90AB1	SNRNP70
ZC3HC1	CUL1
ZC3HC1	AASDHPPT
ZC3HC1	MAPK3
SSR1	RPL5
SSR1	AASDHPPT
SSR1	MYC
SSR1	EIF3A
SSR1	GTF2I
SSR1	CLTC
AASDHPPT	SEC23A
AASDHPPT	RPSA
TRIM54	GTF2I
TRIM54	JOSD1
ARMC8	MRPL38
ELL2	SNAPC1
KLHL12	NDC80
OTUB1	OTUD6B
OTUB1	UBE2D4
OTUB1	SLC25A5
ILF2	HSD17B10
ILF2	DDIT4L
ILF2	JUN
ILF2	HUWE1
MGST3	MRPL45
MGST3	HSD17B10
MGST3	SP1
MGST3	PLPP4
MGST3	P4HA1
NF1	MAPKAP1
NF1	PITX2
NF1	JUN
NF1	DENND4C
GTF2B	REL
GTF2B	TMEM41B
GTF2B	RPRD2
C1orf35	SNRNP70
C1orf35	DDIT4L
C1orf35	SH3GL1
ANAPC10	JUN
ANAPC10	MYC
ANAPC10	ATF2
ANAPC10	PSMD2
ANAPC10	PTBP3
ANAPC10	UBE2H
ANAPC10	NT5C1B
HHATL	FNDC9
REL	UBE2D4
REL	NME7
REL	CALM2
REL	CLTC
REL	PSMD2
REL	UACA
REL	GRB2
ID4	ATF2
ID4	MAZ
MYH14	GRB2
MYH14	GOLGA2
MYH14	OTUD6B
PIP4K2C	SH3GL1
PIP4K2C	CLTC
PIP4K2C	TCF3
PIP4K2C	EPOR
PDS5A	CENPS
PDS5A	NUP133
PDS5A	KIF18A
DBI	NIPSNAP1
MRPL38	PRKCZ
MRPL38	UBE2H
MRPL38	JUN
SLC25A5	ALPP
SLC25A5	MYC
SLC25A5	ELAVL1
SLC25A5	FOXF2
SLC25A5	PRKCZ
ZNF250	TRIM28
TEX264	SNX14
TEX264	NRF1
POLR2C	POLD1
POLR2C	UBB
POLR2C	SRSF2
POLR2C	SNAPC1
PLPP4	PLD6
MDH1	HSD17B10
MDH1	RPL5
MDH1	TNKS2
MDH1	SEC24C
MDH1	LDHD
MDH1	RPSA
RUSC1	MYC
RPS14	RELA
RPS14	JUN
RPS14	UBB
RPS14	MEPCE
RPS14	GRB2
RPS14	AK6
STK4	DDIT4L
MAPK3	FOXF2
MAPK3	SP1
MAPK3	AGTR1
MAPK3	BRAF
MAPK3	EPOR
MAPK3	PKM
SH3GL1	EIF3A
SH3GL1	TBC1D2
SH3GL1	GRB2
SH3GL1	UBB
SH3GL1	RPL5
TWISTNB	HIST1H2BH
SENP2	SP1
SENP2	JUN
SENP2	NUP133
SENP2	ATF2
SENP2	HCCS
BIN1	ZBTB17
BIN1	PKM
BIN1	MYC
BIN1	AGTR1
TRIM28	SEC24C
TRIM28	SEPT7
TRIM28	MEPCE
TRIM28	SP1
TRIM28	SNRNP70
TRIM28	UBE2H
TRIM28	HUWE1
ESYT1	MYC
MEPCE	MAZ
MEPCE	SNRNP70
MEPCE	USP4
MEPCE	MYC
UACA	SEC23A
UACA	SEC24C
UACA	SNRNP70
MAMSTR	TCF3
PTBP3	ELAVL1
PTBP3	FOXF2
GRB2	KRT7
GRB2	UBB
GRB2	POLD1
GRB2	BABAM1
GRB2	KIF3A
GRB2	EPOR
GRB2	IFNAR1
GRB2	DDIT4L
GRB2	AGTR1
GRB2	MATR3
GRB2	DNAJB11
GRB2	PKM
GRB2	ELAVL1
RPSA	SNRNP70
RPSA	CAPZA2
RPSA	SEC23A
RPSA	TBC1D2
RPSA	CGN
RPSA	COPS4
RPSA	DNAJB11
DRD5	IFNA21
DENND4C	MAPKAP1
MEOX1	HMGB3
KIF18A	NUP107
KIF18A	CLIP1
KIF18A	NUP133
KIF18A	RAB1B
KIF18A	CAPZA2
KIF18A	NDC80
PKM	RELA
PKM	HUWE1
PKM	ATF2
PKM	CAPZA2
PKM	DCK
PKM	EPAS1
ACSM6	AACS
CPT1C	SUCLG2
BRAF	FOXF2
BRAF	PRKCZ
RNF138	UBE2D4
RNF138	UBB
RNF138	SP1
CALR	HUWE1
CALR	SP1
CALR	ATF2
ALPP	AACS
KIF3A	RAB1B
SPTLC2	SP1
USP28	EPAS1
PDE4B	SLC27A2
PDE4B	PITX2
PDE4B	PRPS1
NUP133	NUP107
MATR3	RELA
TMEM41B	SP1
TMEM41B	ATF2
UBB	HIST1H2BH
UBB	SEC24C
UBB	RELA
UBB	RNF217
UBB	UBE2H
UBB	CUL1
UBB	AURKB
UBB	PSMA1
UBB	ST8SIA3
PRPS1	JUN
PRPS1	GMPS
PRPS1	AACS
RNF217	NT5C1B
EIF4EBP1	EIF4E
MRPL44	MRPL45
NME7	HAUS1
NME7	PSMA1
NME7	ADH7
MRPL45	NRF1
IFNA21	FZD7
IFNA21	HCCS
IFNA21	IFNA4
COG3	HAUS1
COG3	GCC2
COG3	SEC24C
ADH7	LDHD
ADH7	UGT1A9
ADH7	PANK3
RPL5	MAZ
POTEE	SP1
POTEE	SEPT7
POTEE	CINP
POTEE	SEC23A
HSD17B10	GMPS
HSD17B10	AACS
RRM2B	CPT1B
RBMXL1	FDXACB1
HMGB3	ATF2
AACS	CPT1B
SP1	RAB1B
SP1	CTR9
SP1	SLC27A2
SP1	HAUS1
SP1	SEC24C
SP1	CLTC
SP1	GOLGA2
SP1	NRF1
SP1	IFNAR1
SP1	CALM2
SP1	SNAPC1
TRIM8	JUN
TRIM8	NFIL3
PRELID1	ATF2
AURKB	DTL
AURKB	JUN
AURKB	NUP107
RAB1B	NRF1
RAB1B	SEC24C
RAB1B	SEC23A
TBC1D2	SEC23A
ELAVL1	PANK3
ELAVL1	JUN
ELAVL1	CUL1
ELAVL1	SEPT7
ELAVL1	DCK
ELAVL1	EPAS1
ELAVL1	DNAJB11
DTL	ATF2
DTL	NRF1
CALM2	RELA
CALM2	FOXF2
CALM2	TCF3
CALM2	HUWE1
BABAM1	DDIT4L
BABAM1	HIST1H2BH
BABAM1	COPS4
BABAM1	TNKS2
BABAM1	HUWE1
MYC	JUN
MYC	RELA
MYC	P4HA1
MYC	PITX2
MYC	SNAPC1
MYC	CGN
MYC	ZBTB17
MYC	SRSF2
C6orf141	USP4
SNAPC1	NRF1
GATA2	TCF3
EIF4E	EIF3A
GTF2I	SNRNP70
GTF2I	SEC23A
GTF2I	SEPT7
SEC23A	EIF3A
SEC23A	SEC24C
SEC23A	CGN
PSMA1	GOLGA2
PSMA1	AGR2
PSMA1	TNKS2
SLC27A2	CROT
DNAJB11	FSHB
UBE2H	JUN
UBE2H	ZBTB17
CLIP1	CENPS
TCF3	MAZ
TCF3	EPAS1
TCF3	GRIK3
RELA	PRKCZ
GOLGA2	ARL16
GOLGA2	HAUS1
GOLGA2	SRSF2
CENPS	HIST1H2BH
SNRNP70	NRF1
SNRNP70	SEPT7
SNRNP70	JUN
SNRNP70	CUL1
NFIL3	DCAKD
NFIL3	IL1RAPL1
UBE2D4	MAP3K1
APOC1	CROT
APOC1	RABEPK
RPRD2	JUN
ATF2	SEC24C
ATF2	HIST1H2BH
ATF2	SNAP25
GRIK3	MAZ
IL1RAPL1	MAZ
NDC80	HIST1H2BH
NDC80	ERCC6L
SUCLG2	GMPS
SUCLG2	CROT
GMPS	DCK
GMPS	JUN
COPS4	SEC24C
PSMD2	HUWE1
PSMD2	MAZ
SEC24C	NRF1
SEC24C	JUN
SEC24C	CGN
SNAP25	JUN
PRKCZ	EPOR
PRKCZ	NIPSNAP1
PITX2	DDIT4L
PITX2	JOSD1
TNKS2	NRF1
SRSF2	HUWE1
HIST1H2BH	JUN
HIST1H2BH	CTR9
CLSTN3	JUN
CPT1B	MAZ
NRF1	EIF3A
AGR2	DDIT4L
AGR2	FSHB
AGTR1	FSHB
JUN	FSHB
JUN	MAZ
SEPT7	EIF3A
EIF3A	MAZ
