#tail	head
AREG	SYNJ2
KPNA5	ANP32A
KPNA5	HIST2H4A
DNAJA3	NTRK1
DNAJA3	PRL
PTPRC	EPHA2
IGF2	TF
IGF2	CDK4
IGF2	PRL
IGF2	NR3C1
IGF2	F2
SYNJ2	SGIP1
PRDX6	DUSP4
PRDX6	CASP3
DUSP12	EPHA2
DUSP12	WEE2
DUSP12	NTRK1
AAR2	HNRNPA3
HIST2H4A	HIST1H3B
HIST2H4A	TAF1
HIST2H4A	CENPH
HIST2H4A	BRD2
HIST2H4A	METTL3
HIST2H4A	ANP32A
HIST2H4A	POLR1B
HIST2H4A	HIST1H2BN
HIST2H4A	ASF1B
HIST2H4A	OGA
TAF1	ANP32A
TAF1	POLR2J
TAF1	ZNF263
TAF1	EEF1E1
TAF1	COX7A2L
KRT10	F2
ACACA	NXF1
ACACA	LEF1
ACACA	NTRK1
ACACA	DCAF6
COX7A2L	ONECUT1
FTH1	CASP3
ZBTB9	TFCP2
DUSP1	F2
DUSP1	PRAG1
DUSP1	NTRK1
DUSP1	STYK1
DUSP1	CASP3
PRL	CDK4
PRL	CASP3
PIFO	EPHA2
DUSP4	PRAG1
DUSP4	STYK1
DUSP4	CDK7
DUSP4	EPHA2
DUSP4	LEF1
NUF2	CENPH
LEF1	GMCL2
LEF1	ZNF775
LEF1	HIST1H2BN
LEF1	SOX2
LEF1	HIST1H2AB
LEF1	NXF1
LEF1	MN1
CDK7	CDK4
CDK7	POLR2J
CDK7	POLR1B
POLR2J	HIST1H2BN
POLR2J	HIST1H3B
POLR2J	UBB
CBFB	HIST1H2AB
CBFB	HIST1H2BN
CBFB	CDK4
CBFB	HIST1H3B
DCAF6	NR3C1
STAM	NTRK1
STAM	TRAF7
OGA	NUDCD1
OGA	SYNCRIP
DUSP2	STYK1
DUSP2	NTRK1
UPP1	PTPN6
UPP1	EYA1
UPP1	NUDCD1
UPP1	CUTA
COL4A3BP	TRAF7
SOX2	MACF1
SOX2	CDX2
ANP32A	NR3C1
UBB	SGIP1
UBB	TRAF7
UBB	TF
FAM98B	NXF1
TF	CASP3
HIST1H3B	BRD2
HIST1H3B	ASF1B
HIST1H3B	ATXN1
HIST1H3B	NR3C1
HIST1H3B	HIST1H2AB
KLK10	GMCL1
NXF1	HIST1H2AB
NTRK1	PTPN6
MN1	ONECUT1
MN1	CDX2
ADCYAP1R1	NR3C1
COX5A	BRD2
PRAG1	EYA1
GMCL2	IKZF1
PTPN6	EPHA2
HIST1H2AB	HIST1H2BN
CASP3	MAPK8
MAPK8	TFCP2
MAPK8	CDK4
CDK4	HIST1H2BN
TFCP2	CUTA
ZNF775	CARD10
ZNF775	NR3C1
ATXN1	NR3C1
TRAF7	ZNF263
HIST1H2BN	CENPH
NR3C1	SYNCRIP
HNRNPA3	SYNCRIP
CARD10	ZBTB26
SYNCRIP	METTL3
