#tail	head
PTPRG	TYK2
LRP6	POMK
FGFR1	TYR
FGFR1	FGFR3
FGFR1	PTPN9
FGFR1	IGKV4-1
SLC13A1	SLC7A1
ATP5F1A	DDAH1
ATP5F1A	RPS8
IL33	IGHV1-46
IL33	FGFR3
IL33	DVL2
NCL	AHCY
NCL	ENO1
SCN2B	DNM2
SCN2B	SLC9A8
CYP2C9	BAX
CYP2C9	LEPR
CYP2C9	PSMC5
ERN1	DDAH1
DVL2	DNM2
DVL2	RSRC1
DNM2	ERBB2
DNM2	CAPZB
DNM2	DNALI1
FGB	POU2F1
POMK	MS4A13
WNT8A	GRM4
POLR2K	SRSF1
POLR2K	MED26
POLR2K	POU2F1
LEPR	ERBB2
CAPZB	AHCY
CAPZB	CD59
C4B	IGKV4-1
BAX	DDAH1
BAX	TYR
CDC40	SRSF1
CDC40	SF3B5
POLR2G	MED26
POLR2G	POU2F1
POLR2G	SRSF1
PSMC5	LTA
KITLG	IGHV1-46
KITLG	IGKV4-1
ERBB2	PTPRS
SLC7A1	HERPUD2
SRPK1	SRSF1
SRPK1	DGCR8
POU2F1	SRSF1
POU2F1	TENT4B
IGKV4-1	IGHV1-46
DGCR8	TENT4B
MED29	ENO1
PTPN9	ENO1
TYR	CD59
