#tail	head
SPANXA1	SETBP1
PIK3R5	AP2S1
PIK3R5	NF1
PIK3R5	SH3GL1
PIK3R5	IGHV3-33
PIK3R5	UBB
AKR1C3	PPARGC1A
TNFSF11	PLK1
TNFSF11	PSMD9
TNFSF11	TRAF6
SLC9A8	SEC61B
SLC9A8	KRT6A
SLC9A8	ATP1B3
SLC9A8	SLC7A7
CALD1	TRDN
CALD1	AHCYL1
CALD1	TPCN1
CALD1	FOXA1
RUNDC3A	TBRG1
RUNDC3A	AP2S1
RUNDC3A	INS
ATP1B3	GAPDH
ATP1B3	SCN5A
ATP1B3	SET
TCEA2	GLYR1
KRT6A	SCN5A
CACNA2D1	GNAI2
CACNA2D1	STX1A
CACNA2D1	RYR1
CACNA2D1	MYL6
PRDX2	VCAM1
PRDX2	NFKB1
PRDX2	LARS
PRDX2	INS
PRDX2	PDGFRB
FAM192A	KIF3A
FAM192A	PSMB9
SCN5A	SNTG2
HTR3C	CLCA4
HTR3C	NFATC2
HTR3C	STX1A
HTR3C	PPP3R1
HTR3C	MYL6
HIST2H3D	ATRX
HIST2H3D	MCM2
HIST2H3D	MYBBP1A
HIST2H3D	FOXA1
HIST2H3D	SET
BAG5	SH3GL1
BAG5	INS
BAG5	SET
HNRNPDL	CYLD
HNRNPDL	TRAF6
HNRNPDL	SH3GL1
HNRNPDL	CHD3
HNRNPDL	SET
INS	RPS2
INS	VPS41
INS	MRPL51
INS	DENND4C
INS	TRAF6
INS	YWHAG
INS	PPP3R1
INS	FOXA1
INS	AGO2
INS	RPL24
INS	PIGQ
INS	HSP90AA1
INS	PPARGC1A
INS	GAPDH
INS	VRK3
INS	MCM2
INS	MRPS6
INS	HIVEP3
INS	WDR61
INS	SETDB1
INS	BMPR1A
INS	AMT
INS	EPHB6
INS	AHCYL1
INS	CAPZA2
INS	CTSE
SLC43A1	HACD1
EVA1A	FOXA1
PPARGC1A	MYBBP1A
PPARGC1A	NFKB1
PPARGC1A	PRKAG3
AGO2	RPS2
AGO2	HIST2H3C
AGO2	MYBBP1A
AGO2	HERC5
AGO2	RPL24
AGO2	NCBP1
MAP3K21	DENND4C
MUC20	GCNT4
MCM2	VCAM1
MCM2	TRDN
MCM2	RPS28
MCM2	HIST2H3C
MCM2	NFATC2
MCM2	FBXO7
MCM2	WEE1
MCM2	UBB
MCM2	MYL6
MCM2	HSP90AA1
MCM2	YWHAG
MCM2	PYHIN1
MCM2	CHD3
MCM2	RPL24
MCM2	RPS9
TNNI1	AHCYL1
TNNI1	RYR1
TNNI1	TRDN
HERC5	RPS2
HERC5	PYHIN1
NF1	CYLD
NF1	STAT1
NF1	PGAP1
NF1	CD2BP2
NF1	NFATC2
NF1	TRAF6
TAT	BCAT2
TAT	LARS
RPS9	RPL24
RPS9	VCAM1
RPS9	EIF3C
RPS9	HSP90AA1
RPS9	GAPDH
RPS9	SEC61B
RPS9	MYL6
RPS9	RPS28
MRPL38	DAP3
MRPL38	MRPL51
MRPL38	MRPS6
CYLD	PSMA7
CYLD	PLK1
CYLD	GAPDH
CYLD	LATS2
CYLD	MUCL1
PPP3R1	TPCN1
PPP3R1	PSMA7
CLCA4	TPCN1
GCLM	GNAI2
GCLM	AMT
GCLM	SLC25A18
GCLM	OXR1
GCLM	HACD1
GCLM	UBE2K
GCLM	CHD3
GCLM	MYL6
NCBP1	SRSF4
NCBP1	PYHIN1
NCBP1	RPL24
NCBP1	CD2BP2
SH3GL1	CLTA
SH3GL1	GNAI2
SH3GL1	CAPZA2
RPS28	NFKB1
RPS28	RPL24
RPS28	LARS
RPS28	CHD3
LATS2	UBB
LATS2	DND1
WDR61	ASB15
WDR61	UBB
WDR61	UBE2K
GBP3	NFATC2
RYR1	MYL6
