#tail	head
TMEM8B	HNRNPL
SYNJ1	WNT5A
SYNJ1	SF1
SYNJ1	SEC13
SYNJ1	ARPC1A
SYNJ1	RPRD1B
SYNJ1	DENND1A
SYNJ1	SUCLA2
SYNJ1	IGHM
SYNJ1	AGTR1
UCHL3	TCF3
APOE	IFNA1
APOE	SEPT2
TNF	APOA1
TNF	PRL
TNF	KRT7
TNF	CSF3
TNF	RAP1B
TNF	COL4A2
TNF	IGF1
TNF	APOA2
TNF	STIM1
TNF	WNT5A
TNF	NOS2
TNF	SLC8A1
TNF	DYNLL1
TNF	ONECUT1
RAP1B	GAB2
RAP1B	PIP5K1C
RAP1B	CSK
RAP1B	PTK2B
RAP1B	PTK2
HTR3C	NFATC2
HTR3C	TMOD3
OSM	APP
LPCAT4	HADHB
LPCAT4	MBOAT1
LPCAT4	STARD10
LPCAT4	ALDH5A1
LPCAT4	SUCLA2
ATP1A1	RAD18
ATP1A1	RPRD1B
ATP1A1	SEC13
ATP1A1	EGFR
ATP1A1	PHGDH
ATP1A1	HGS
ATP1A1	ALDH7A1
ATP1A1	PIH1D1
ATP1A1	MBOAT1
ATP1A1	CTTN
IGF1	SF1
IGF1	GRM7
IGF1	PTK2B
IGF1	GRB2
IGF1	TFAP4
IGF1	HSD17B7
IGF1	GSTP1
IGF1	FGF9
CASK	SNW1
CASK	CTTN
CASK	SEH1L
CASK	IL15RA
PRKAR1A	PPP1CA
PRKAR1A	XPO1
STIM1	SNW1
STIM1	FABP5
STIM1	TRIM72
STIM1	PTK2
STIM1	APOA2
STIM1	REPIN1
STIM1	KNG1
STIM1	CXCL8
ECI1	HADHB
MAOA	GSTP1
MAOA	HTR3A
MAOA	PTK2
ARHGEF7	PTK2
ARHGEF7	EGFR
KRTAP11-1	TENT5D
HNRNPL	AES
HNRNPL	SH3BP2
HNRNPL	SUGP2
HNRNPL	PRPF4
HNRNPL	MTHFR
HNRNPL	GULP1
HNRNPL	DCAKD
HNRNPL	MAPT
HNRNPL	LSM8
HNRNPL	JAK2
HNRNPL	OGA
HNRNPL	SNW1
HNRNPL	PTK2
HNRNPL	INTS6
HNRNPL	SEC13
HNRNPL	AIMP1
HNRNPL	ARHGEF4
TYR	HBEGF
TYR	IL13
TYR	CAT
