#tail	head
CORO1B	PHGDH
ZBTB8OS	PRKAG2
ITGB8	SRC
ITGB8	TCF3
ITGB8	COL8A2
ITGB8	ACTBL2
ITGB8	COL20A1
ITGB8	TIMM29
ITGB8	ITGA3
SRC	ITGA3
SRC	SEC24C
SRC	MAZ
SRC	REPIN1
SRC	WDR5
SRC	CASK
SRC	TULP4
SRC	EPSTI1
SRC	TP53
SRC	HIST1H3D
SRC	SERPINH1
SRC	STAT1
SRC	APP
SRC	ACTBL2
SRC	FGFR1OP
SRC	FBXO22
SRC	ZBED1
ZBTB14	TPM1
ZBTB14	PATZ1
ZBTB14	HEXIM2
FOXC1	FOXA1
FOXC1	ZIC5
FOXC1	POU2F1
TNF	TIMP2
TNF	APP
TNF	ALOX15
TNF	PRKN
TNF	CCL11
TNF	SPTB
TNF	PARP1
TNF	CXCL5
TNF	SIN3A
TNF	SFPQ
TNF	GDF9
TNF	NRK
TNF	SOD1
TNF	LYZ
TNF	F5
F5	MAZ
F5	RAB1A
F5	SEC24C
F5	GOLGA2
F5	GORASP1
DCUN1D5	WDR5
DCUN1D5	COPS5
DCUN1D5	SKP1
DCUN1D5	COMMD9
SERPINH1	TP53
SERPINH1	OGT
SERPINH1	SFPQ
SERPINH1	ZBED1
SERPINH1	EPSTI1
SERPINH1	DSG2
SERPINH1	COL8A2
SUSD4	POGLUT1
SUSD4	GFPT2
CHPF2	UGT2B10
CHPF2	POGLUT1
PNP	ADK
PNP	PARP1
PNP	PAICS
YBX3	TCF3
YBX3	HIST1H3D
YBX3	BLK
YBX3	COPS5
CXCL5	EFEMP2
CXCL5	CCL11
PHGDH	ZBED1
PHGDH	CASK
PHGDH	APP
PHGDH	DNAJB2
PHGDH	TPM1
PHGDH	HDAC5
PHGDH	FBXO22
PHGDH	MAZ
PHGDH	OGT
PHGDH	ACTR2
PHGDH	STAT1
PLA2G4F	TP53
PLA2G4F	KRT9
CASK	STAT1
CASK	SEC24C
CASK	IRF8
CASK	PRKN
CASK	TBR1
SLC25A13	EGFR
SLC25A13	PAICS
SLC25A13	GDF9
KLB	PIP4K2C
KLB	FGF3
ACTR2	SEC24C
ACTR2	SFPQ
COL20A1	ITGA3
ITGA3	ACTBL2
ITGA3	EGFR
HAPLN1	MAZ
HAPLN1	APP
HAPLN1	FOXA1
PIP4K2C	KIT
PIP4K2C	FGFR1OP
PIP4K2C	TCF3
PIP4K2C	FGF3
PIP4K2C	CSNK2A2
CACNB1	MYL6B
CACNB1	REPIN1
CACNB1	TPM1
CACNB1	CACNG2
NGDN	FOXA1
USP9X	SEC24C
USP9X	HEXIM2
USP9X	GPSM1
USP9X	HDAC5
ACTBL2	GDF9
ACTBL2	TP53
ACTBL2	PRKN
ACTBL2	CYP51A1
ACTBL2	EGFR
ACTBL2	COPS5
ACTBL2	HIST1H3D
ACTBL2	GOLGA2
BLK	EGFR
BLK	KIT
POGLUT1	B4GAT1
POGLUT1	OGT
MARK2	TP53
POU2F1	PARP1
POU2F1	NRK
POU2F1	TBR1
POU2F1	CACNG2
POU2F1	PATZ1
POU2F1	MAZ
POU2F1	ZBTB10
SNTG2	UTRN
TP53	CSNK2A2
TP53	TPM1
TP53	MFAP4
TP53	PPP2CA
TP53	AS3MT
TP53	USP15
TP53	GOLGA2
TP53	CELF6
TP53	PARP1
TP53	REPIN1
TP53	SIN3A
TP53	EFEMP2
TP53	APP
TP53	STAT1
TP53	EGFR
TP53	PRKN
TP53	PRKAG2
PATZ1	FGF3
PATZ1	FGFR1OP
SIN3A	WDR5
SIN3A	CACNG2
SIN3A	CSNK2A2
SIN3A	OGT
SIN3A	GOLGA2
B4GAT1	FOXA1
USP15	TCF3
USP15	COPS5
MFAP4	TCF3
MFAP4	EFEMP2
OGT	SFPQ
OGT	ALDH18A1
OGT	HDAC5
OGT	SEC24C
OGT	WDR5
MYL6B	REPIN1
MYL6B	APP
MYL6B	TCF3
MYL6B	TPM1
MYL6B	CHRNB3
SFPQ	ZBED1
SFPQ	EPSTI1
SFPQ	PARP1
SFPQ	PAICS
SFPQ	HDAC5
SFPQ	FBXO22
ALOX15	LYZ
ALOX15	TIMM29
ADK	TCF3
MAGOHB	ZBTB10
MAGOHB	GOLGA2
MAGOHB	PPP2CA
EGFR	HIST1H3D
EGFR	APP
EGFR	RAB1A
EGFR	KRT9
EGFR	PPP2CA
EGFR	TPM1
COMMD9	FBXO22
COMMD9	COPS5
ZIC5	FOXA1
HIST1H3D	ZBTB10
HIST1H3D	MLLT1
HIST1H3D	TPM1
HIST1H3D	HDAC5
ZBED1	GPSM1
PAICS	REPIN1
PAICS	TIMP2
PAICS	FOXA1
HDAC5	WDR5
TRIM32	SCGB1A1
CYP51A1	FAM189A2
METTL8	APP
METTL8	DCAF8
METTL8	REPIN1
STAT1	FGFR1OP
STAT1	SPTB
IRF8	COPS5
ALDH18A1	TCF3
ALDH18A1	GFPT2
LPCAT3	HRASLS5
CACNG2	TPM1
CACNG2	MAZ
CACNG2	APP
FBXO22	COMMD1
TBR1	REPIN1
TBR1	TCF3
COPS5	SKP1
COPS5	APP
COPS5	WDR5
COPS5	TULP4
HRASLS5	APP
HRASLS5	GGACT
WDR5	FOXA1
WDR5	GOLGA2
WDR5	SEC24C
SOD1	APP
SOD1	PRKN
SOD1	COMMD1
SOD1	PPP2CA
SOD1	PARP1
RAB1A	GOLGA2
RAB1A	TCF3
RAB1A	CD55
RAB1A	GORASP1
RAB1A	FOXA1
GOLGA2	SPTB
GOLGA2	GORASP1
GOLGA2	TPM1
GOLGA2	CD55
TCF3	HEXIM2
TCF3	NRK
TCF3	ASB2
TCF3	PRKAG2
KIT	FGFR1OP
KIT	FGF3
HEXIM2	CSNK2A2
SPTB	GDF9
SPTB	GORASP1
TIMM29	APP
SEC24C	EPSTI1
SEC24C	DSG2
SEC24C	TPM1
SEC24C	MAZ
SEC24C	CD55
FGFR1OP	FGF3
DSG2	FOXA1
COMMD1	TULP4
COMMD1	PRKN
