#tail	head
TMED9	ARF1
MATK	TCF3
MATK	ERBB4
MATK	PTPN9
SSH2	TCF3
SNX19	ELAVL1
SNX19	TRIM25
BMI1	GCM1
BMI1	HSPA8
BMI1	NME4
BMI1	AKT1
BMI1	PHGDH
BMI1	CHD3
BMI1	CDKN3
BMI1	TRIM25
BMI1	CENPO
BMI1	ELAVL1
RFX1	BARHL2
RFX1	HSPA8
CDC16	ATP5PF
CDC16	PSMD13
CDC16	HOOK1
CDC16	HOOK3
CDC16	CDK2
HSPA8	CHD3
HSPA8	VARS
HSPA8	FBXW7
HSPA8	ISG15
HSPA8	HIST1H3J
HSPA8	CDK2
HSPA8	SF3B3
HSPA8	TOMM20
HSPA8	GNAI2
HSPA8	DPH1
HSPA8	TRIM25
HSPA8	FIP1L1
HSPA8	SHC1
HSPA8	CBX8
HSPA8	CENPO
HSPA8	SF1
HSPA8	POLR2D
TCEA2	OSBPL3
SEPT5	PLEKHF2
G6PC2	GANC
G6PC2	HKDC1
SLC30A4	TP73
SLC39A4	KLKB1
SLC39A4	TP73
SLC39A4	ZFPL1
APLP1	HAP1
PHGDH	PSMD13
PHGDH	SF1
PHGDH	VAPA
PHGDH	MYL6
PHGDH	ELAVL1
PTPA	AKT1
COX7A2L	TRIM25
SF3B3	GTF2F2
SF3B3	WDR33
SF3B3	POLR2D
SF3B3	SF1
SF3B3	CHD3
EARS2	NME4
ATP5PF	TOMM20
ATP5PF	NME4
IL4I1	TCF3
USP54	TRIM25
CPS1	ELAVL1
CPS1	GAPDH
CATSPER2	MYL6
CATSPER2	ACTN3
CATSPER2	TNNT2
CDK2	VARS
CDK2	TCF3
CDK2	ALDH2
CDK2	RACK1
CDK2	GATA2
CDK2	NTRK1
CDK2	TMED10
CDK2	TP73
CDK2	CALR
ARF1	TMED10
ARF1	GIT1
NEURL1	ELAVL1
NEURL1	TCF3
DPH1	TP73
DPH1	MAT1A
PIP5K1C	PIK3C2B
PIP5K1C	ERBB4
PIP5K1C	AKT1
PIP5K1C	GNA14
PIP5K1C	GNB2
PPP2R5A	PSMD13
PPP2R5A	ITGB3BP
PPP2R5A	BUB1
PPP2R5A	SHC1
GLUL	GAPDH
GLUL	NME4
GLUL	GPT2
GLUL	PLEKHF2
SLC11A2	UQCRB
SLC11A2	IGF1R
NSG1	TP73
SUOX	COX6B2
AKT1	RET
AKT1	DDIT4L
AKT1	BUB1
AKT1	JAG2
AKT1	SHC1
AKT1	CTNNA1
AKT1	FBXW7
AKT1	GATA2
SSH1	GAPDH
SSH1	IGF1R
MRI1	NTRK1
CDKN3	NTRK1
CDKN3	ABL1
CDKN3	RET
ANXA1	CACNA2D3
ANXA1	MYL6
ANXA1	GNB2
ANXA1	GNAI2
ANXA1	GPSM2
ANXA1	CACNA1A
ANXA1	GAPDH
ANXA1	CACNG6
ANXA1	CACNG2
TMED10	TRIM25
ACTN3	DDIT4L
ACTN3	CACNA1A
ACTN3	CACNG6
ACTN3	TCF3
ACTN3	CACNA2D3
ACTN3	GRIN2C
WDR33	FIP1L1
PSMD13	INSIG2
PSMD13	NTRK1
WEE2	PTPN9
