#tail	head
CES4A	ACSM2A
CACNA2D2	MYBPC3
CACNA2D2	CALM1
CACNA2D2	STIM1
CACNA2D2	SLC8A3
IL37	CASP4
SRSF10	EED
SRSF10	POLR2L
JCHAIN	IL6
JCHAIN	GCLC
JCHAIN	SLC8A1
JCHAIN	NFKB1
RPL9	EED
RPL9	DUX4
RPL9	METTL14
RPL9	RSL1D1
RPL9	RPL18
ACSM2A	CPT2
ACSM2A	LYPLA1
PDK1	ABL1
PDK1	DLD
PDK1	HIBCH
PDK1	ACAA2
PDK1	INS
TMPO	EED
TMPO	RPS11
TMPO	RPL35
TMPO	RPS2
TMPO	TPM1
TMPO	MCM7
TMPO	EXOSC8
CALM1	APP
CALM1	CFTR
CALM1	DES
CALM1	YWHAZ
CALM1	ADRA2B
CALM1	TPM1
CALM1	SLC8A1
CALM1	STIM1
CALM1	CDK9
CALM1	SLC8A3
CALM1	TMOD2
CALM1	TNNC1
CFTR	PSMD11
CFTR	INS
CFTR	CPT2
CFTR	UBB
CFTR	SNCA
CFTR	PSMA6
CFTR	SOD2
CFTR	DES
CFTR	IL6
CFTR	HMOX1
CFTR	HSP90B1
SF3B4	METTL14
SF3B4	RNF4
ENTPD8	VNN3
ENTPD8	CPT2
ENTPD8	ACSM5
ENTPD8	SLC25A16
ENTPD8	ETFDH
MAPK6	RSL1D1
MAPK6	MCM7
MAPK6	POLR2L
ATP7B	CPT2
ATP7B	S100A8
ATP7B	UCP1
ATP7B	APP
ATP7B	HSP90B1
ATP7B	INS
GNAI1	GPR1
GNAI1	STIM1
GNAI1	SLC8A3
GNAI1	CNGB1
S100A8	TUBA4A
S100A8	ADRA2B
S100A8	IL6
S100A8	SCT
S100A8	SLCO2B1
S100A8	STIM1
S100A8	UCP1
HIBCH	DLD
PLEKHO1	CYP4F2
INS	RPS2
INS	RPL35
INS	RPS11
INS	XPOT
INS	IL10
INS	CHD4
INS	PTGS2
INS	KAT2B
INS	RUSC1
INS	ETS2
INS	IL6
INS	TAOK1
RSL1D1	RPL23A
RSL1D1	APP
RSL1D1	DLD
RSL1D1	CHD4
RSL1D1	RPL9P8
RSL1D1	EED
MCM7	RFC5
MCM7	RPA2
MCM7	NFKB1
MCM7	HDAC5
RFC5	POLR2L
RFC5	MRE11
RFC5	BRCA1
RFC5	ERCC1
RFC5	FANCF
RFC5	GTF2H1
ZNF687	RNF4
ACAA2	APP
ACAA2	VNN3
ACAA2	ACSM5
ACAA2	DLD
ACAA2	CPT2
RPL23A	BRCA1
RPL23A	RPS2
POLH	APP
SNCA	PTGS2
SNCA	OAS1
SNCA	CASP4
SNCA	GCLC
SNCA	SCT
SNCA	AKR1B1
SNCA	UBB
SNCA	NFKB1
SNCA	SELL
STIM1	TNNC1
STIM1	RAN
STIM1	ACTA2
STIM1	SCT
ACSM5	CPT2
ACSM5	OAS1
ACSM5	SLC25A16
ACSM5	PNLIP
ACSM5	LYPLA1
KAT2B	SOD2
KAT2B	ACTA2
KAT2B	TRIM55
KAT2B	MOAP1
KAT2B	CDK9
ETS2	IL10
ETS2	SP6
ETS2	SMG1
ETS2	NFKB1
ETS2	MAP4K4
METTL14	RPL9P8
METTL14	RPS11
METTL14	RPS2
CYP4F2	PTGS2
CYP4F2	ABL1
NDUFB3	VNN3
BRCA1	ERCC1
BRCA1	BLM
BRCA1	EED
BRCA1	SUPT6H
BRCA1	RPL9P8
BRCA1	RPS2
BRCA1	RPL35
BRCA1	RNF4
BRCA1	RPS11
BRCA1	PSMA6
BRCA1	MAP4K4
BRCA1	RAN
BRCA1	YWHAZ
PTGS2	NFKB1
PTGS2	SOD2
PTGS2	DES
PTGS2	IL10
PTGS2	IL6
DES	IL10
DES	TRIM55
DES	SLC8A3
GCLC	IL10
GCLC	APP
GCLC	HMOX1
ADRA2B	CYP2E1
ADRA2B	YWHAZ
RPA2	EXOSC8
RPA2	MRE11
RPA2	YWHAZ
RPA2	RUNX2
RPA2	POLR2L
RPA2	LIG1
RPA2	APP
ACTA2	AKR1B1
ACTA2	RPL35
ACTA2	AFM
MAPK8IP3	MAP2K4
MAPK8IP3	RIC8A
TLE3	ATP2A1
TLE3	APP
FANCF	MRE11
FANCF	BLM
RUSC1	MOAP1
RUSC1	EXOSC8
EXOSC8	RPS2
RPS2	SMG1
RPS2	RPS11
RPS2	RPL38
RPS2	CHD4
RPS2	RPL18
SLC8A1	CNGB1
SLC8A1	IL6
SLC8A1	RUNX2
RXRB	GTF2H1
RXRB	MAP4K4
RXRB	HMOX1
PRMT6	MAZ
PRMT6	OAS1
IL10	TRIM55
IL10	JPH1
IL10	MAZ
RUNX2	SMURF2
JUND	TPM1
JUND	MEF2A
SLC39A12	HMOX1
ATP2A1	APP
DLD	AKR1B1
CDK9	MAZ
ABL1	IL6
ABL1	AIRE
ABL1	MAZ
UBB	HDAC5
UBB	RNF4
UBB	RAN
UBB	YWHAZ
UBB	RPL18
UBB	POLR2L
UBB	APP
UBB	NFKB1
UBB	SMURF2
ITGAL	MAZ
ITGAL	TUBA4A
OAS1	CPT2
OAS1	UCP1
RPL35	RPL9P8
RPL35	RPL18
RPL35	DUX4
MAP2K4	CYP2E1
MAP2K4	IL18BP
NFKB1	PSMA6
NFKB1	HDAC5
NFKB1	POLR2L
NFKB1	HMOX1
NFKB1	SLCO2B1
ETFDH	VNN3
HDAC5	SOD2
HDAC5	RAN
HDAC5	RPL9P8
HDAC5	RPS11
RNF4	BLM
RNF4	HMOX1
PSMA6	SMURF2
PSMA6	EPB41
PSMA6	DUX4
SLC25A16	ALDH3B2
UCP1	APP
UCP1	CASP4
CPT2	ALDH3B2
CPT2	APP
RPL9P8	EED
RPL9P8	DUX4
RPL9P8	SMG1
RPL9P8	RPL38
RPL9P8	CHD4
JPH1	GATA1
JPH1	APP
JPH1	MAZ
JPH1	NOL9
ALDH3B2	CYP2E1
SMURF2	MYBPC3
SLCO2B1	PSMD11
SLCO2B1	IL6
SLCO2B1	APP
CHD4	RPS11
CHD4	GATA1
CHD4	RPL18
TAOK2	TUBA4A
ERCC1	GTF2H1
MYBPC3	TRIM55
MYBPC3	APP
MYBPC3	MAZ
TNNC1	TPM1
TNNC1	TMOD2
TNNC1	GATA1
TNNC1	CNGB1
TNNC1	OXT
YWHAZ	SUPT6H
YWHAZ	MAZ
LIG1	GTF2H1
GATA1	MAZ
GATA1	SP6
SUPT6H	POLR2L
POLR2L	BLM
POLR2L	GTF2H1
RPL18	DUX4
RPL18	RPS11
EED	MAZ
EED	RPS11
EED	HSP90B1
GTF2H1	MAZ
GTF2H1	MLLT1
GTF2H1	BLM
RPS11	RPL38
SOD2	CYP2E1
SOD2	HMOX1
SOD2	APP
TUBA4A	RAN
