#tail	head
COPZ2	KIF1A
SNX29	TRAF1
KLHL21	APP
KLHL21	ZBTB44
ALMS1	NME7
AK3	APP
AK3	B3GALT5
AK3	MGAT3
IGKV2-30	AXL
IGKV2-30	PRKCD
IGKV2-30	PIK3R1
PIK3R1	KRAS
PIK3R1	PRKCD
HNF4A	OCRL
HNF4A	SUSD4
HNF4A	MRPL46
HNF4A	ARCN1
HNF4A	RINT1
HNF4A	SLC17A2
B3GALT5	POGLUT1
B3GALT5	MGAT3
CCDC136	ZNF230
SGF29	ERLIN2
SGF29	RINT1
SGF29	HSPD1
SGF29	OCRL
SGF29	RNH1
SGF29	PROSER3
SGF29	MARCKSL1
SGF29	SEPT7
DKKL1	ITGA8
PRMT9	TACC3
KRAS	HSPD1
KRAS	HSP90AA1
KRAS	SPTBN1
ZBTB43	GMCL2
MRPL49	MRPL46
AHCYL2	TGOLN2
AHCYL2	RBM23
AHCYL2	ZBTB44
SIT1	TMEM140
TGOLN2	ARCN1
TGOLN2	WASH3P
TGOLN2	OCRL
KIF1A	TRAF1
EGLN3	HSPD1
EGLN3	TJAP1
EGLN3	MYO1C
EGLN3	RNH1
IGLC3	ERLIN2
IGLC3	DOCK1
IGLC3	CALM1
IGLC3	OCRL
UTP14C	RINT1
PLN	CACNA1E
PLN	APP
PLN	CALM1
CALM1	MYO1C
CALM1	PHKG2
CALM1	SLC24A4
OCRL	MYO1C
OCRL	SEPT7
MRPL46	HSPD1
FARP1	PLEKHA7
SUSD4	ITGA8
TRAF1	FAM161A
HSPD1	PLEKHA7
HSPD1	HNRNPH1
HSPD1	APP
HSPD1	SEPT7
HSPD1	HSP90AA1
PHKG2	PPP1R3C
PHKG2	SLC17A2
SEPT7	SPTBN1
SEPT7	MYO1C
SEPT7	ERLIN2
FAM161A	RINT1
ARCN1	RINT1
HSP90AB1	PAFAH1B1
HSP90AB1	HSP90AA1
HSP90AB1	AXL
HSP90AB1	PLEKHA7
MRPL30	MARCKSL1
MYO1C	SPTBN1
HSP90AA1	NME7
HSP90AA1	PLEKHA7
HSP90AA1	APP
HSP90AA1	HNRNPH1
HSP90AA1	ERLIN2
SLC17A2	SLC24A4
RNH1	PLEKHA7
PPP1R3C	APP
PAFAH1B1	NME7
MARCKSL1	PLEKHA7
CATSPER4	PRKCD
SPTBN1	RINT1
SPTBN1	ERLIN2
SPTBN1	PLEKHA7
APP	SLC24A4
ERLIN2	PLEKHA7
