#tail	head
ACIN1	HNF4A
IGHV3-33	CYFIP2
IGHV3-33	IGLC2
PTGS2	APP
PTGS2	SOD2
PTGS2	IL12B
PTGS2	HNRNPD
UCHL5	PSMA8
UCHL5	APP
SUDS3	PPARA
SUDS3	HIST1H3A
BRD1	KAT6A
BRD1	ZNF512B
PSMB8	PSMD4
HNF4A	PRKACA
HNF4A	GAPDH
HNF4A	MTR
HNF4A	ESR1
MRFAP1	ABI1
IGHV3-48	KLRC2
IGHV3-48	FCGR2A
IGHV3-48	ESR1
ESR1	HPCAL1
ESR1	HIST1H3A
ESR1	USP12
ESR1	TTF1
ESR1	DCXR
ESR1	HSD17B1
RBBP7	PRKACA
AHCYL1	TPD52L2
USP6	MDFI
INTS11	TBP
HIST1H4H	HIST1H3G
HIST1H4H	APP
HIST1H4H	IL2
HIST1H4H	CCNA2
HIST1H4H	KAT6A
HIST1H4H	HDAC2
POLR3D	BRF1
MAP1LC3B	HNRNPD
IL12B	IL18R1
IL12B	ADRB2
IL12B	GAPDH
IL12B	PRKACA
PPARA	SOD2
PPARA	IL18R1
PPARA	NEUROG2
PPARA	TGFA
PCBD2	BRF1
BRF1	APP
BRF1	POLR3B
BRF1	TBP
S1PR2	HPCAL1
GAPDH	JUN
GAPDH	SOD2
JUN	PAX4
JUN	HDAC2
JUN	EIF3E
JUN	TGFA
JUN	CCNA2
JUN	ZNF207
CTRL	ANKRD40
ZNF512B	HIST1H3G
TTF1	TAF9B
TTF1	HIST1H3A
NFIA	HIST1H3G
NFIA	PAX4
HSD17B1	PRKACA
FCAMR	IGLC2
CREB3L4	GTF2B
HDAC2	TP73
TGFA	IGLC2
TBP	HIST1H3G
TBP	EHMT2
DTX2	HPCAL1
HNRNPD	PSMD4
IGLC2	BCR
PRKACA	APP
HIST1H3A	PSMD4
PRSS33	ANKRD40
