#tail	head
KLHL14	ABCC1
FLOT2	SEC24C
FLOT2	SGF29
FLOT2	HSP90AB1
FLOT2	SLC2A1
FLOT2	PKD1
FLOT2	SPTB
FLOT2	SRC
FLOT2	TRPC1
FLOT2	TXNRD1
FLOT2	SH3KBP1
VSX1	HS3ST1
SRC	TPTE
SRC	KAT2B
SRC	PDE6G
SRC	UBXN1
SRC	NFE2
SRC	PAICS
SRC	FCGR1A
SRC	SLC5A1
SRC	AIRE
SRC	CALR
SRC	RUNX1
SRC	SNW1
SRC	HSP90AB1
SRC	HIST1H3F
SRC	DDX1
SRC	CBL
SRC	DNAJB11
FGFBP3	RXRA
GAN	DCUN1D5
GAN	TUBA1A
GAN	TAF1
GAN	AMPD3
GAN	HSP90AB1
GAN	SPTB
IL12B	SDR16C5
IL12B	ADIPOQ
IL12B	SLC5A1
IL12B	IL3RA
IL12B	LEPR
IL12B	NOG
WDR47	NOG
DCUN1D5	WDR5
DCUN1D5	EPAS1
E2F1	CHL1
E2F1	EXO1
E2F1	TIPIN
E2F1	EHMT2
E2F1	POLA1
E2F1	MEF2C
E2F1	EMC3
E2F1	CDC45
E2F1	EPAS1
E2F1	DCK
TRIM26	DACH2
CBL	BIN1
CBL	KITLG
CBL	ITGA4
AAGAB	SGF29
AAGAB	CTTN
PHKG2	ENTPD4
PHKG2	TPTE
PHKG2	HIST1H3F
PHKG2	ATP1B4
TAF1	EIF1B
TAF1	EPAS1
TAF1	SEC61B
TAF1	CALR
TAF1	HIST1H3G
TAF1	DDX5
TAF1	TNFSF10
TAF1	AIMP1
KRTAP10-5	RBP3
KRTAP10-5	OTX1
CHL1	TRPC1
CNTFR	JAK2
CNTFR	KITLG
CNTFR	IL3RA
CNTFR	LEPR
SH3KBP1	YAP1
SH3KBP1	PRRC2A
SH3KBP1	MDH2
SH3KBP1	KITLG
SH3KBP1	VAMP3
SH3KBP1	SGF29
SH3KBP1	EIF3B
SH3KBP1	NOG
SH3KBP1	PDHA1
SH3KBP1	SEC24C
SH3KBP1	BIN1
HSP90AB1	SNW1
HSP90AB1	SMN1
HSP90AB1	FOXM1
HSP90AB1	FGFR3
HSP90AB1	DDX5
HSP90AB1	ACD
HSP90AB1	SEC24C
AMPD3	DCD
AMPD3	CNOT1
AMPD3	SEC61B
AMPD3	TTR
EIF3B	SAFB
DCXR	NOG
DCXR	LGALS3
PFN2	SGTA
ABCC1	BCL2L11
ABCC1	ELAVL1
ABCC1	DNAJB11
ABCC1	PLEKHM2
ABCC1	KAT2B
TFDP3	RIC8B
FBXL17	NOG
KAT2B	ESRRG
KAT2B	HIST1H3F
KAT2B	HIST1H3G
KAT2B	NCF1
KAT2B	NFE2
KAT2B	ADIPOQ
KAT2B	TNFSF10
KAT2B	GSN
KAT2B	SLC5A1
KAT2B	AR
KRTAP6-2	GCM2
KRTAP6-2	RERE
HIST1H4D	ACACB
HIST1H4D	WDR5
HIST1H4D	AR
HIST1H4D	CEP250
HIST1H4D	HIST3H3
HIST1H4D	CALR
HIST1H4D	ACD
HIST1H4D	CREBBP
HIST1H4D	ATF2
HIST1H4D	TLE3
HIST1H4D	EHMT2
FGFR3	JAK2
FGFR3	RHOA
FGFR3	NOG
FGFR3	GPC5
ITGA4	CAPNS1
ITGA4	HIST1H2BC
ITGA4	SLC2A1
ITGA4	DDX5
ITGA4	HSPA1A
ITGA4	MDH2
ITGA4	PDHA1
ITGA4	HIST1H3F
PLPBP	SMS
KCNH2	KCNAB3
KCNH2	FXYD6
KCNH2	BAG2
KCNH2	AR
CHIA	RNF123
RPL4	SEC61B
RPL4	SEC24C
RPL4	SGF29
RPL4	SNW1
GPR137B	ZYG11B
DDX1	SAFB
DDX1	SEC24C
DDX1	HSPA1A
ADIPOQ	FOXM1
ADIPOQ	SGTA
ADIPOQ	BIN1
ADIPOQ	CREBBP
ADIPOQ	ERCC6
ADIPOQ	SLC5A1
ADIPOQ	ESRRG
EMC3	TPTE
HIST3H3	EHMT2
HIST3H3	JAK2
HIST3H3	HIST1H2BC
HIST3H3	AIRE
HIST3H3	RAD51D
HIST3H3	SGF29
TLE3	NOG
TLE3	AR
CDC42	ELAVL1
CDC42	SLC5A1
CDC42	CYFIP1
ASPA	GOT2
ASPA	AIMP1
EXOC8	PKD1
EXOC8	EHD1
BIN1	CTTN
BIN1	VAMP3
BIN1	SMN1
CBX4	HIST1H2AD
CBX4	HIST1H2BC
CBX4	EHMT2
F2	CREBBP
F2	POMC
F2	RLF
F2	DCD
F2	NOG
F2	SEC61B
ACD	HIST1H2BC
ALAD	NCF1
ALAD	HSPA1A
ALAD	DCD
CNN3	SGTA
CNN3	SMTN
CNN3	SEC24C
RLF	HIST1H2BC
RLF	TTR
RLF	SEC61B
RLF	OR3A2
RLF	TTPAL
RLF	CNOT1
SMN1	SLC5A1
SMN1	LGALS3
SMN1	RXRA
SMN1	WDR5
SMN1	AIMP1
SMN1	SNW1
SMN1	TPTE
SMN1	RALBP1
SMN1	TUBA1A
PRSS35	RUNX1
AR	LEP
AR	BCL2L11
AR	MCC
AR	GOT2
AR	HSPA1A
AR	HIST1H2BC
AR	LEPR
AR	CALR
AR	MEF2C
AR	HIST1H3G
