#tail	head
RABEP2	UBC
UBC	VCAM1
UBC	SRC
UBC	CDK1
UBC	BIRC3
UBC	TARDBP
UBC	PSMC6
UBC	PSMD7
UBC	KAT5
UBC	HLA-A
UBC	CBLC
UBC	RPL9P7
UBC	CDC20
UBC	PDGFRB
UBC	PPP2R5A
SNRNP200	SYF2
UBE2I	CDK1
UBE2I	E2F4
UBE2I	SMC1A
UBE2I	NOG
UBE2I	SLC2A1
UBE2I	PSME3
SRC	GNAO1
SRC	FGF1
SRC	HIST1H4D
SRC	GNA11
SRC	GAPDH
SRC	HSPA1A
SRC	YES1
SRC	ADAM12
SRC	PSMD7
SRC	HRAS
SRC	CD2AP
SRC	PTPMT1
SRC	JAK2
SRC	GNGT2
SRC	WASF2
MRPS16	PSMD7
MRPS16	MRPL39
CXCR2	RAB11A
CXCR2	JAK2
CXCR2	NOG
CXCR2	FGF1
CXCR2	GNA14
CXCR2	WNT5B
GNA11	HRAS
GNA11	GNGT2
GNA11	KISS1R
GNA11	GNB4
DYNLL2	DYNC1LI1
DYNLL2	CENPU
DYNLL2	DYNLT1
KRT6B	CTSL
PRPF19	EGLN3
PRPF19	PPM1G
PRPF19	TARDBP
PRPF19	SYF2
PRPF19	UBXN1
FBXW9	AMPD3
PTPRC	YES1
PTPRC	ALK
PTPRC	ROR2
PTPRC	STYK1
PTPRC	EZR
PTPRC	ATF3
PTPRC	GAPDH
RNF8	HIST1H4A
DNAJC3	HSPA1A
DNAJC3	NOG
PTK2	PTPMT1
PTK2	EZR
PTK2	CXCL12
PTK2	PTGS2
PTK2	GNAO1
PTK2	PDGFRB
PTK2	ATF3
PTK2	NFE2L2
PTK2	GAPDH
PTK2	HSPA1A
PTK2	SOD3
PTK2	VCAM1
PTK2	KAT5
PTK2	NOG
ENTPD5	PHKG1
ATF3	GNB4
ATF3	EZR
ATF3	MTSS1
ATF3	MRM3
ATF3	DUSP3
ATF3	GNG3
ATF3	TFCP2
AMPD3	ITCH
AMPD3	CTSL
AMPD3	CDC20
AMPD3	TRAF7
AMPD3	ADK
PSME3	PPP2R5A
PSME3	CDC25B
PSME3	CDK1
PSME3	VCAM1
PSME3	BIRC3
PSME3	CDC20
DDX42	VCAM1
DDX42	PHKG1
ROR2	NOG
CES2	PTGS2
HBP1	XBP1
HLA-A	PTGS2
ICAM1	EGF
ICAM1	PTGS2
ICAM1	HRAS
ICAM1	NCL
ICAM1	GAPDH
MRM3	MRPL39
HIST1H4D	SMC2
HIST1H4D	VCAM1
HIST1H4D	HIST1H2AB
HIST1H4D	ARFIP1
HIST1H4D	SMC1A
PPP2R5A	JAK2
PPP2R5A	NOG
PPP2R5A	EGF
PPP2R5A	DYNC1LI1
PPP2R5A	HRAS
PDS5B	CENPU
PTGS2	HIST1H4A
PTGS2	NOG
PTGS2	HRAS
PTGS2	COPS3
SMC2	CDK1
SMC2	UBE2M
CD2AP	WASHC5
CD2AP	YES1
CDC25B	HRAS
CDC25B	PDGFRB
CDC25B	STYK1
CDC25B	YES1
DYNC1LI1	RAB11A
DYNC1LI1	SOD2
DYNC1LI1	NOG
DYNC1LI1	CDC20
DYNC1LI1	DYNLT1
DYNC1LI1	CDK1
EGLN3	ANKLE2
EGLN3	SMC1A
EGLN3	CDC20
EGLN3	SLC2A1
EGLN3	C17orf75
EGLN3	LZTS2
EGLN3	EGF
CCL4L2	CXCL13
CCL4L2	GNB4
RAB11A	HSPA1A
RAB11A	TBXA2R
RAB11A	DYNLL1
E2F4	TFCP2
E2F4	MTHFD1
E2F4	GAPDH
GALNT2	DYNLL1
ERBB3	PCDH19
ERBB3	GNG3
ERBB3	GNB4
ERBB3	PTPMT1
ERBB3	CBLC
ERBB3	HSPA1A
ERBB3	EGF
ERBB3	IGKV1-33
EGF	RAB5A
EGF	PCDH19
EGF	GNGT2
EGF	DCD
EGF	HSPA1A
EGF	NOG
EGF	ADAM12
EGF	DUSP3
TARDBP	VCAM1
DYNLT1	DYNLL1
WNT5B	GNG3
VCAM1	NFE2L2
VCAM1	UBE2M
VCAM1	MTHFD1
VCAM1	GAPDH
VCAM1	EZR
VCAM1	HIST1H4A
VCAM1	SLC2A1
VCAM1	LYPLA1
DUSP3	TNNI3K
DUSP3	JAK2
DUSP3	YES1
GNAO1	HRAS
GNAO1	GNB4
GNAO1	GNGT2
GNAO1	SSTR2
PPM1G	HIST1H2AB
PPM1G	VPS52
PPM1G	PKN1
PPM1G	UBE2M
DPP4	CXCL12
WASF2	IGKV1-33
WASF2	FGF1
WASF2	HRAS
WASF2	GNB4
CBLC	ITCH
PDGFRB	FGF1
PDGFRB	YES1
PDGFRB	HRAS
PDGFRB	GNG3
PDGFRB	JAK2
PDGFRB	GNGT2
ARFIP1	NOG
PSMD7	BIRC3
PSMD7	ITCH
PSMD7	SLC2A1
PSMD7	NOG
STX11	VPS52
HSPA1A	EZR
HSPA1A	MTHFD1
HSPA1A	CDC20
HSPA1A	NOG
MTSS1	ITCH
GNA14	SSTR2
GNA14	HRAS
GNA14	GNGT2
GNA14	GNG3
ADK	NME3
DCD	CDK1
VPS52	CWF19L2
GNGT2	TBXA2R
GNGT2	IGKV1-33
GNGT2	YES1
GNGT2	ADCY2
ITCH	UBE2M
ITCH	MAPK9
KRT77	KRT39
MEF2A	HIST1H4A
MEF2A	NOG
MEF2A	COPS3
PTPRZ1	GAPDH
PTPRZ1	YES1
PTPRZ1	JAK2
PHKG1	MTHFD1
PHKG1	FBP2
NCL	UBE2M
NCL	SMC1A
NCL	KAT5
TTR	CTSL
DYNLRB1	DYNLL1
NME3	PDE7B
NME3	MTHFD1
NME3	SLC27A2
YES1	HRAS
YES1	GNG3
YES1	PTPMT1
LZTS2	KAT5
LZTS2	CWF19L2
CDC20	SLC2A1
CDC20	SMC1A
CDC20	DYNLL1
CDC20	CDK1
CXCL12	GNG3
CXCL12	GNB4
CXCL12	JAK2
GAPDH	HIST1H2AB
GAPDH	MTHFD1
GAPDH	SOD2
GAPDH	SLC2A1
GAPDH	COPS3
TNNI3K	PTPMT1
UBE2M	PSMC6
HIST1H2AB	KAT5
JAK2	MAPK9
JAK2	IGKV1-33
NOG	SLC27A2
NOG	NFE2L2
NOG	BIRC3
NOG	PPP1R1B
NOG	SSTR2
NOG	SLC2A1
NOG	CTSL
HIST1H4A	CDK1
HIST1H4A	SMC1A
HIST1H4A	KAT5
GNG3	CCL21
GNG3	SSTR2
GNG3	GNB4
NUDT2	PDE7B
WASHC5	WASH4P
PKN1	TBXA2R
PKN1	MAPK9
PKN1	ASH2L
PKN1	TFCP2
WASHC4	WASH4P
WASHC2C	WASH4P
WASHC2C	COMMD10
KAT5	TFCP2
CDCA5	SMC1A
CDCA5	DYNLL1
SYF2	CWF19L2
XBP1	SLC2A1
PCDH19	PKD1
MTHFD1	PTPMT1
CCL21	CXCL13
CENPU	DYNLL1
HK3	SLC2A1
CDK1	DYNLL1
CDK1	SOD2
TTC8	PKD1
DYNLL1	SMC1A
